business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"2RMG+8R8, Dende, Dende' Piongan Napo, North Toraja Regency, South Sulawesi 91862, Indonesia","{'location': {'lat': -2.966704, 'lng': 119.8270762}, 'viewport': {'northeast': {'lat': -2.965273070107278, 'lng': 119.8320904}, 'southwest': {'lat': -2.967972729892722, 'lng': 119.8254048}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek wisata Buntu Napo,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102963871329589401519"">A Google User</a>'], 'photo_reference': 'AUGGfZmDxl4lbBKSWFPoOz29wZ_GJv4z3XqYKJdB9S_MKZOjoGUyntYrL_0-nh-BfrR9ta9ZNCejtiWimy7SuLgWpyqQrkoKVFgRbiEYPlTRAnxL1FWNIdOlNxPjd9rcc1BJ4dVmVAmWTGeQX6PRS8p2w8N4cGWjJfuS7QozcI7W6SIrP-Ut', 'width': 3060}]",ChIJjQDZqS7Bky0RATumhlazxKI,5.0,ChIJjQDZqS7Bky0RATumhlazxKI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJjQDZqS7Bky0RATumhlazxKI
OPERATIONAL,"2RQC+H8C, Dende, Dende' Piongan Napo, North Toraja Regency, South Sulawesi 91862, Indonesia","{'location': {'lat': -2.9610534, 'lng': 119.8207615}, 'viewport': {'northeast': {'lat': -2.959750770107278, 'lng': 119.8221019298927}, 'southwest': {'lat': -2.962450429892722, 'lng': 119.8194022701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Napo,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111810751414537366636"">A Google User</a>'], 'photo_reference': 'AUGGfZnaAhp6C_UIyMZRYXc38VVkW4znjplbHUmQvRRKBM0Kof1kFookHkDmvL1qQ3786GU3SmYsv-_l8hrq2ZkIyyo4mO7s8Yg6RePEgYJS3zSfOo1BC8OYBGbjmq6eqfN4wEXoxRQ1DJU4-o81dP5IeuvZc8So5hTVXx9kUUTM31um0xAF', 'width': 719}]",ChIJdyDXfsHBky0R4_xhjjR2TuM,0.0,ChIJdyDXfsHBky0R4_xhjjR2TuM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJdyDXfsHBky0R4_xhjjR2TuM
OPERATIONAL,"XRR9+74, Piongan, Dende' Piongan Napo, North Toraja Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.0093448, 'lng': 119.8178414}, 'viewport': {'northeast': {'lat': -3.008024070107278, 'lng': 119.8191330798927}, 'southwest': {'lat': -3.010723729892722, 'lng': 119.8164334201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Nenek,,,ChIJR4YLQQDrky0RL96U_Uh2gYg,0.0,ChIJR4YLQQDrky0RL96U_Uh2gYg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJR4YLQQDrky0RL96U_Uh2gYg
OPERATIONAL,"XRV7+QP7, Piongan, Dende' Piongan Napo, North Toraja Regency, South Sulawesi 91862, Indonesia","{'location': {'lat': -3.005034, 'lng': 119.8140906}, 'viewport': {'northeast': {'lat': -3.00263955, 'lng': 119.81511425}, 'southwest': {'lat': -3.00583215, 'lng': 119.81101965}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuburan Erong,,,ChIJOf9iOQDrky0RtTkoXPjBfzM,0.0,ChIJOf9iOQDrky0RtTkoXPjBfzM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJOf9iOQDrky0RtTkoXPjBfzM
OPERATIONAL,"XRV7+QP7, Piongan, Dende' Piongan Napo, North Toraja Regency, South Sulawesi 91862, Indonesia","{'location': {'lat': -3.0055754, 'lng': 119.8142914}, 'viewport': {'northeast': {'lat': -3.00236885, 'lng': 119.81541545}, 'southwest': {'lat': -3.006644249999999, 'lng': 119.8109192500001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Salu Kata Waterfall,,"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117730956346072961866"">Chandra Maemo</a>'], 'photo_reference': 'AUGGfZmrjp2dA3zUhDnoWiNT-1DXj_uwgswLlCtD7x5uu8OH_ArIs5-vs3c3Wzn9nlDhmcdUGCxPWLJtQHu2z3-j7yGeX-UlwVu9sTpv3G6-KxSRZ1_2GNhy4F2lWdC1RMohgqCCd9yNIxFFsTuDEKdZDg-ZqEqftCotAMbM8TcL7oBTVO2s', 'width': 1932}]",ChIJGURbBR_rky0RgeX5XqJVsgI,4.2,ChIJGURbBR_rky0RgeX5XqJVsgI,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJGURbBR_rky0RgeX5XqJVsgI
OPERATIONAL,"XRHF+X8M BUTTULA'BI', Kapoloang, Kapolang, Kec. Dende' Piongan Napo, Kabupaten Toraja Utara, Sulawesi Selatan 91862, Indonesia","{'location': {'lat': -3.0200279, 'lng': 119.8233074}, 'viewport': {'northeast': {'lat': -3.018702320107277, 'lng': 119.8246418798927}, 'southwest': {'lat': -3.021401979892722, 'lng': 119.8219422201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Buttula'bi',,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115163485616687449860"">A Google User</a>'], 'photo_reference': 'AUGGfZl0X8_s3RMzCKiglxqKk9S6L79VgtrrGlU--lYAwXRKTuyuprdJqTtV0tjWI-LT45N7h2jFNcnqpJ412u2UH2cDf1kFrvyL3ywlSL4OsjDB4ov2i38khAhgql5Tv1oSrN5LaBHb5Nti9pC16OnNAPhzbH7TcrVwRWlxeE3F3fJon0pm', 'width': 1080}]",ChIJhy_pZcjrky0RKnXpjiaE6dM,3.3,ChIJhy_pZcjrky0RKnXpjiaE6dM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJhy_pZcjrky0RKnXpjiaE6dM
OPERATIONAL,"XRQJ+HRC, Buntu, Kapolang, Kec. Dende' Piongan Napo, Kabupaten Toraja Utara, Sulawesi Selatan 91862, Indonesia","{'location': {'lat': -3.0110566, 'lng': 119.8320273}, 'viewport': {'northeast': {'lat': -3.009730470107278, 'lng': 119.8328777798928}, 'southwest': {'lat': -3.012430129892723, 'lng': 119.8301781201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Buntu kapolang,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108700725616797785383"">A Google User</a>'], 'photo_reference': 'AUGGfZkdt-8N_o4gFfUlx-ZcF2QkmlxM54akD7Ov3rYkKDyhQZCxY8T75I9gcx21iyx7BSfIVNpulCohyk3GzOMREhS_7e8zIOx07KVE0XjbrrBMsDiobiyI9N5loRuxewgZQGy4Mh7VFAHMnoCNzhoKxBzs6aMeXyHOEoqCZsN0dB2qCmcn', 'width': 1280}]",ChIJKTJLZwDrky0Rk5eGB3kGd1k,4.7,ChIJKTJLZwDrky0Rk5eGB3kGd1k,"['tourist_attraction', 'point_of_interest', 'establishment']",10,,https://www.google.com/maps/place/?q=place_id:ChIJKTJLZwDrky0Rk5eGB3kGd1k
OPERATIONAL,"3R9Q+MHM, Kapala Pitu, North Toraja Regency, South Sulawesi 91854, Indonesia","{'location': {'lat': -2.9307853, 'lng': 119.8389319}, 'viewport': {'northeast': {'lat': -2.929513970107278, 'lng': 119.8402304298927}, 'southwest': {'lat': -2.932213629892723, 'lng': 119.8375307701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Dipomelo Pindan,{'open_now': True},"[{'height': 2080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108277865512320987663"">Christian Banna Toraya</a>'], 'photo_reference': 'AUGGfZk-T5boCUY2INE9F52PYZwjxFr9b3WLCkA3g_wKF_0X7Qph6MkceRtmqrf0Incuu6mQXMhMEBU5SlBHvccl4YUEyG6zga-eaPnPNNVBBw1sqdiA7wYlEzRcG-16Qz4GHqbqSlk_yLihPrU3_zIs7f2DxhGZ_k5Unjj53hgHAjNxs0j2', 'width': 4160}]",ChIJiegSuEzBky0R2DXeXKSCPSA,4.7,ChIJiegSuEzBky0R2DXeXKSCPSA,"['tourist_attraction', 'point_of_interest', 'establishment']",99,,https://www.google.com/maps/place/?q=place_id:ChIJiegSuEzBky0R2DXeXKSCPSA
OPERATIONAL,"2R7X+JJQ, Jalan poros, Salu, Dende Piongqn, Kabupaten Toraja Utara, Sulawesi Selatan, Indonesia","{'location': {'lat': -2.9859998, 'lng': 119.8491202}, 'viewport': {'northeast': {'lat': -2.984560570107277, 'lng': 119.8504547798927}, 'southwest': {'lat': -2.987260229892722, 'lng': 119.8477551201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Lo'ko' Mebali,,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106439447059382860853"">Krisnawati Ranteallo</a>'], 'photo_reference': 'AUGGfZlxwLkEzy_ANSdqHimJSE42pbDYBbXEMQ8ATTlbytAO1mf1UnVgwVBw-jMFDG5bikAhywZgCuooqsDgW5T4dFLfBArhBAhyAk-hYPn0oEpF09HzekZ-j6_SV9iRqkMi6-OPE0tUSweaxY1W7OCWAJSZSBO5bcZ79n0JXLrkMhL3mAdJ', 'width': 6000}]",ChIJT-A7NT_rky0ReDZLbSDLpNs,5.0,ChIJT-A7NT_rky0ReDZLbSDLpNs,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJT-A7NT_rky0ReDZLbSDLpNs
OPERATIONAL,"2R76+2R7, Piongan, Dende' Piongan Napo, North Toraja Regency, South Sulawesi 91862, Indonesia","{'location': {'lat': -2.9874534, 'lng': 119.8120521}, 'viewport': {'northeast': {'lat': -2.986232120107278, 'lng': 119.8177035}, 'southwest': {'lat': -2.988931779892722, 'lng': 119.8101683}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Arung Jeram Piongan,,"[{'height': 559, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113014515245675523518"">A Google User</a>'], 'photo_reference': 'AUGGfZnSP0ghk9OEduJ3Zjom2Ee0wud9adLwDMBAqDB3HcYZrg7BWFUJX0QkXRIOdazCAjNdtq9B09lacZ1YBexQDckRYvM3-FeRtOAs5v1QERRQj1nHTd0ZpyNrNYcpkSEHOjvlSixf4PePdKHRqS6oelIZwYz2gECwvfWCNy2QVWpGIWw', 'width': 820}]",ChIJh_qqxPbrky0RABZiy7SqfLY,0.0,ChIJh_qqxPbrky0RABZiy7SqfLY,"['park', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJh_qqxPbrky0RABZiy7SqfLY
