business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,permanently_closed,url
OPERATIONAL,"M3HM+GX8, Tiyuh, Setia Bumi, Kec. Gn. Terang, Kab. Tulang Bawang Barat, Lampung, Indonesia","{'location': {'lat': -4.3212222, 'lng': 105.0849687}, 'viewport': {'northeast': {'lat': -4.319789170107279, 'lng': 105.08957565}, 'southwest': {'lat': -4.322488829892722, 'lng': 105.08343305}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung way tijang,ChIJmyWGdAArPy4R9yfS4q1fvH0,0.0,ChIJmyWGdAArPy4R9yfS4q1fvH0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJmyWGdAArPy4R9yfS4q1fvH0
OPERATIONAL,"M37R+JWX, Setia Bumi, Gunung Terang, West Tulang Bawang Regency, Lampung 34683, Indonesia","{'location': {'lat': -4.335876, 'lng': 105.0923481}, 'viewport': {'northeast': {'lat': -4.334524570107278, 'lng': 105.0936912798927}, 'southwest': {'lat': -4.337224229892722, 'lng': 105.0909916201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Way Tijang,ChIJr4I2fS4tPy4RPYGH1SY1Ek4,4.0,ChIJr4I2fS4tPy4RPYGH1SY1Ek4,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110936429663806156681"">A Google User</a>'], 'photo_reference': 'AUGGfZkN4XPK8-xMLlTMPUHWJgnpBgrlgwrpBnQB0sG76g1f2rWiY5eXiGv_YYjDbb9mxd6ft7a5xdVCGBfd3bQRQqrP_2bC9dxh77jMU1-CNnUCKZDkSwXguPQo4FAyHB5tRzHYivQyyCH46Eq7I5jW0r1FL1ZceJhNtMQB4ofPRloHekun', 'width': 3072}]",,,https://www.google.com/maps/place/?q=place_id:ChIJr4I2fS4tPy4RPYGH1SY1Ek4
OPERATIONAL,"M3PV+FW3, Setia Bumi, Gunung Terang, West Tulang Bawang Regency, Lampung 34684, Indonesia","{'location': {'lat': -4.313867699999999, 'lng': 105.0948079}, 'viewport': {'northeast': {'lat': -4.312546720107278, 'lng': 105.0961450298927}, 'southwest': {'lat': -4.315246379892722, 'lng': 105.0934453701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Ikan Yogi & Kurni,ChIJ60ht6zcrPy4RBUqPYJS2B1E,5.0,ChIJ60ht6zcrPy4RBUqPYJS2B1E,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103039774217714721690"">Wahyu Diono</a>'], 'photo_reference': 'AUGGfZl5TjYzLgyzgMjiYkR6UC--pB3VY7roDAtB4NjPpmmjrnH18chaV5LS3s2YUofEKiQlw9sZl1xnSWFZBwPt2QHYPZJr3J6G1ZG0jbM-YWlluzfObR97FlwA-Rl-hJOXikLR94NNNLEy1D6bbvwT76uqAp6p4Q4CHT1W7m7CEm1S0xE', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ60ht6zcrPy4RBUqPYJS2B1E
OPERATIONAL,"M2G4+GG7, Margo mulyo, batu putih, Kab. Tulang Bawang Barat, Lampung 34785, Indonesia","{'location': {'lat': -4.3237165, 'lng': 105.0063581}, 'viewport': {'northeast': {'lat': -4.322365970107279, 'lng': 105.0077571298927}, 'southwest': {'lat': -4.325065629892722, 'lng': 105.0050574701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Band send's studio's,ChIJp6wa8EHVOC4R_o9ucCU8FyI,5.0,ChIJp6wa8EHVOC4R_o9ucCU8FyI,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106372196089910737439"">A Google User</a>'], 'photo_reference': 'AUGGfZlgRopBfV-LmC2tC4a2lxEBpjeQf-XUy5bLW1bGTEhgIJxeOffHN0pGyYc_xtuCs9yZWXhsb8zt2kW1lxCy9Low1nXlI91Ub474thlPWRQK-R9-AT6bCHrLceGIb8jKZqWIHtr9Glng1oJHLxMrxoP_Vg16o0211nqHbKf-iYb0k4JK', 'width': 4160}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJp6wa8EHVOC4R_o9ucCU8FyI
CLOSED_TEMPORARILY,"JXXV+8MJ, Marga Sari, Gunung Terang, West Tulang Bawang Regency, Lampung 34762, Indonesia","{'location': {'lat': -4.3516512, 'lng': 104.994129}, 'viewport': {'northeast': {'lat': -4.350329070107279, 'lng': 104.9954637798927}, 'southwest': {'lat': -4.353028729892722, 'lng': 104.9927641201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ADI JAYA,ChIJZZzUfgnTOC4RvLj3NcMcZwg,0.0,ChIJZZzUfgnTOC4RvLj3NcMcZwg,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116156708689810268944"">Supriyadi addy</a>'], 'photo_reference': 'AUGGfZlRLRq-4Fe9_zRgsoZ9Oy03uxsD7VOXCTX6HLdGQLiWvAc-ttzChbDVNEtShSjcVQMTyZ9DyUfGALmDnW02IYvO9OcgeVmAjj_EnzFQKNEyViqoxa5E6fWf910WOvwJlJV9SuzvcOJTY40zWVuU_zfnQz99k4Jm94eemJqvwj7TfZSy', 'width': 473}]",,True,https://www.google.com/maps/place/?q=place_id:ChIJZZzUfgnTOC4RvLj3NcMcZwg
OPERATIONAL,"J5R4+X2F, Unnamed Road, Gn. Sari, Kec. Lambu Kibang, Kab. Tulang Bawang Barat, Lampung 34388, Indonesia","{'location': {'lat': -4.357567, 'lng': 105.1550318}, 'viewport': {'northeast': {'lat': -4.356231470107278, 'lng': 105.1560205298927}, 'southwest': {'lat': -4.358931129892722, 'lng': 105.1533208701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Edukasi Dan Ekowisata Gunung Sari,ChIJofPfGlgvPy4RfyCUwGK8Xjw,4.7,ChIJofPfGlgvPy4RfyCUwGK8Xjw,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103974449989959366739"">Muhamad Aidin</a>'], 'photo_reference': 'AUGGfZl-5NWh2iepApuAqbqe94TXGu-ryGiFtQYYcXNJbag4x5yjh2CY1WQjTA2sVvlHaUyYTF_XvXnTWQoJIfJSLaEJ2u_rRsPPw7TzSnVjOJfNgpD8OeQVzJZK-tsHdb8TiWOU3zdE3BV1fXXOynQKW1gFmM2_MImb-yoWYAAwlZS4UqNa', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJofPfGlgvPy4RfyCUwGK8Xjw
OPERATIONAL,"H2CW+CFP, Pagar Iman, Negeri Besar, Way Kanan Regency, Lampung 34683, Indonesia","{'location': {'lat': -4.42891, 'lng': 105.0461892}, 'viewport': {'northeast': {'lat': -4.427628800000002, 'lng': 105.0478128298927}, 'southwest': {'lat': -4.432753599999999, 'lng': 105.0451131701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kalimanjung,ChIJEet8_EczPy4Rxcuc_Kuu1TA,4.8,ChIJEet8_EczPy4Rxcuc_Kuu1TA,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,"[{'height': 1520, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101214070904216695316"">bangkit adhani</a>'], 'photo_reference': 'AUGGfZmkyMlwJ1_rA59uRgyMA2Yqb2FSWghA6c3E62tV2sK9sZEwt_QEx8wzLGrcVXhiwJr9OSyxaA9-8ECx9YukPO1PnZax5ylndlUKsyVjbtpRzmb6dYDYbQ6jKBVsGtmtugVBI7Gc2IG1FF_INprSG_vwA9bFwRJWxR52CHvqazR-zmgs', 'width': 720}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJEet8_EczPy4Rxcuc_Kuu1TA
OPERATIONAL,"P4P3+PH5, Unnamed Road, Mulya Jaya, Kec. Gn. Agung, Kab. Tulang Bawang Barat, Lampung 34684, Indonesia","{'location': {'lat': -4.2632286, 'lng': 105.1039723}, 'viewport': {'northeast': {'lat': -4.261840120107278, 'lng': 105.1053218798927}, 'southwest': {'lat': -4.264539779892722, 'lng': 105.1026222201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Durian Mulya Jaya,ChIJySf0IAErPy4RLMKCNAJvV6I,3.8,ChIJySf0IAErPy4RLMKCNAJvV6I,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105307971552624966462"">gus prasta</a>'], 'photo_reference': 'AUGGfZl7VVPtcZQiMpueRjXX6JgHYESqg9vctx_eakaRwmvZWBTnwELjDjLEgYw5sg3u0gSyc5wVuMiQ8UJXZfIiLOxXG-MU8E33pfPTJoDCrGUrZgy-GJ-3X9pDOGR2inYvah4K1gLKCYPPQBHuR8q1RF4kpK-1krD5n1h5XZaTbm6z8dDP', 'width': 1840}]",,,https://www.google.com/maps/place/?q=place_id:ChIJySf0IAErPy4RLMKCNAJvV6I
,"Gunung Terang, West Tulang Bawang Regency, Lampung, Indonesia","{'location': {'lat': -4.3807085, 'lng': 105.096661}, 'viewport': {'northeast': {'lat': -4.310332, 'lng': 105.1083231}, 'southwest': {'lat': -4.410735, 'lng': 104.990367}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Terang,ChIJU-LV8tssPy4RybPhDMhMdXE,,ChIJU-LV8tssPy4RybPhDMhMdXE,"['administrative_area_level_4', 'political']",,,,,https://www.google.com/maps/place/?q=place_id:ChIJU-LV8tssPy4RybPhDMhMdXE
OPERATIONAL,"H299+W6Q, Umbul kelapa tiga, Tegal Mukti, Kec. Negeri Besar, Kabupaten Way Kanan, Lampung, Indonesia","{'location': {'lat': -4.4301537, 'lng': 105.0181158}, 'viewport': {'northeast': {'lat': -4.428803870107278, 'lng': 105.0194656298927}, 'southwest': {'lat': -4.431503529892722, 'lng': 105.0167659701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjakan bambu kuning,ChIJ8fmNMADNOC4RMGp1JBW4nWk,5.0,ChIJ8fmNMADNOC4RMGp1JBW4nWk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8fmNMADNOC4RMGp1JBW4nWk
