business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"P244+G2, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia","{'location': {'lat': -8.293733300000001, 'lng': 112.0050895}, 'viewport': {'northeast': {'lat': -8.292351370107278, 'lng': 112.0064068298927}, 'southwest': {'lat': -8.295051029892722, 'lng': 112.0037071701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pucanglaban,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118438974704709032325"">tio diki</a>'], 'photo_reference': 'AUGGfZkInN6q3AlU7q_5F2W9TCVN4fDVRm3HPQH3d3UKPgX1CSkdvGmFclmwdwD8utH3ugwj4kz6kn17Ic5zKT7XU41eej_gJJj269lLFvTeQtnfZ0vQXOB2ZZMMQOLYJ3IJz5Cynym4KGtea4StmIagg3X8SPb2rUPQ62X4IRw2RCv4-pdJ', 'width': 4096}]",ChIJWU3wn0_beC4R5cG4g45mgIw,5.0,ChIJWU3wn0_beC4R5cG4g45mgIw,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJWU3wn0_beC4R5cG4g45mgIw
OPERATIONAL,"PX3W+MJJ, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia","{'location': {'lat': -8.295780299999999, 'lng': 111.9965202}, 'viewport': {'northeast': {'lat': -8.294317120107278, 'lng': 111.9980333798927}, 'southwest': {'lat': -8.297016779892722, 'lng': 111.9953337201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,jls pucanglaban,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101731704589915093273"">A Google User</a>'], 'photo_reference': 'AUGGfZlVtL5dk1Ghn7ZjAnySgAKEjDTnMcWdh9QUsqBM8wb6ggPrM9idu2du-HUCKTyw1KucdsahNjlgEmU_VNWn3R_AYCc3Skavegf1M3EMsxciStrbXA742fEBS8V0pY9dv_yirGo_yb39wqzV5-ZnEpk8jRmgBF-XbAdOKjMpKlYebUKL', 'width': 1080}]",ChIJKWDEdQDbeC4RXdzLf-hLisM,4.6,ChIJKWDEdQDbeC4RXdzLf-hLisM,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJKWDEdQDbeC4RXdzLf-hLisM
OPERATIONAL,"R2H8+63J, Jl. Demuk, Kasrepan, Demuk, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia","{'location': {'lat': -8.171912599999999, 'lng': 112.0151545}, 'viewport': {'northeast': {'lat': -8.170562870107277, 'lng': 112.0165321298927}, 'southwest': {'lat': -8.173262529892721, 'lng': 112.0138324701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lok 9 Watu Buto,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108213329736803702835"">A Google User</a>'], 'photo_reference': 'AUGGfZlL8GBDNt8fZiXtNUlioZ3AQ0yIxTDknebRsYRn75UgKGPUZrOsnuAqkspXPM-9OEBjHH6xIxx_TctZHT8Z2TGtVzZZnBRwcE2_ArPpY8wyL-YG3OKSWC9pUZMlTO898H3B8OvDCXcxb0gQafhRQ8dAHEqO3EgBEIatvuJjmBNmxdU_', 'width': 3120}]",ChIJR0pxornneC4RqymiJquqfg8,4.8,ChIJR0pxornneC4RqymiJquqfg8,"['tourist_attraction', 'point_of_interest', 'establishment']",17,,,https://www.google.com/maps/place/?q=place_id:ChIJR0pxornneC4RqymiJquqfg8
OPERATIONAL,"R2H9+MG4, jalan stasiun relay tvri, Area Sawah, Demuk, Pucanglaban, Tulungagung Regency, East Java 66293, Indonesia","{'location': {'lat': -8.170873499999999, 'lng': 112.0188218}, 'viewport': {'northeast': {'lat': -8.169561520107278, 'lng': 112.0201794798927}, 'southwest': {'lat': -8.172261179892722, 'lng': 112.0174798201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panorama Bukit Lok Songo,"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103978781259634626352"">Bagus Aditya</a>'], 'photo_reference': 'AUGGfZn6yJrhDsYF3bnmFXAzRzv_6K7K1tyE2b-JetglCFoQuU9LUtpy2EGxOQ8xTItTlC3xS4P-DJEwAbIOLBI_5GNf2iKDbcuedEuMra6h1CJW_a6SCZ_D0FzQ3ZR59jy7-Q-DuubTCSAVBjjciNUZAhit0b1MQP8GPzwvql5ezJfTYGZw', 'width': 3998}]",ChIJtzrZ8bnneC4RqVzksmLWJJ0,4.4,ChIJtzrZ8bnneC4RqVzksmLWJJ0,"['tourist_attraction', 'point_of_interest', 'establishment']",713,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJtzrZ8bnneC4RqVzksmLWJJ0
OPERATIONAL,"M2W6+M46, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia","{'location': {'lat': -8.3033462, 'lng': 112.0102501}, 'viewport': {'northeast': {'lat': -8.301285650000002, 'lng': 112.0122306298927}, 'southwest': {'lat': -8.304033050000001, 'lng': 112.0095309701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Kedung Tumpang,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100930291978812050209"">JemKris Video</a>'], 'photo_reference': 'AUGGfZmwRKkLSxeWFeHMzw4y1fUuNw3H3EQi1FVYdRbhKzLm9eEK-xooHQXEjaOYqw30qbemLWQkdtLNAX1nWwaA6hJR6gxtu-DrnBZBoAHTcWtxHtam8goxw5ZnoDPs6Naeoj4Eo-P03zrhLt6IuEGrMUB0dYP1Kjtk5N3hyl5LFdy8RbW_', 'width': 4160}]",ChIJ37CTqZ3beC4RARKYjTO4_iM,4.5,ChIJ37CTqZ3beC4RARKYjTO4_iM,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1950,,,https://www.google.com/maps/place/?q=place_id:ChIJ37CTqZ3beC4RARKYjTO4_iM
OPERATIONAL,"M2X6+93X, Kedung Tumpang, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia","{'location': {'lat': -8.301503, 'lng': 112.0102223}, 'viewport': {'northeast': {'lat': -8.300215070107278, 'lng': 112.0122257798927}, 'southwest': {'lat': -8.302914729892722, 'lng': 112.0095261201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,air terjun pucuk sewu,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108213422259541587069"">A Google User</a>'], 'photo_reference': 'AUGGfZmuHi3UwoTWwnNmi5VshGKQPHkdaBwOkawzMUxwkV2m_WemW5TgYZSZ-SFoh7gi3MFYLKRdkruEuY-KgbzAMUg3vP_4EoGSZ48kZssbfYTVVurF3uAM1QLflKGWrKK9X532c7-C33ZEQuyrZ3b-8wqbE66_WdcxwJagwZumyLjfi_oF', 'width': 2592}]",ChIJg8U6vETbeC4RljxYIDkckpM,5.0,ChIJg8U6vETbeC4RljxYIDkckpM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJg8U6vETbeC4RljxYIDkckpM
OPERATIONAL,"M2QH+557, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur, Indonesia","{'location': {'lat': -8.3120807, 'lng': 112.0279091}, 'viewport': {'northeast': {'lat': -8.310445420107277, 'lng': 112.0291509798927}, 'southwest': {'lat': -8.31314507989272, 'lng': 112.0264513201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Molang,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117367982440567673509"">Anik Gamon</a>'], 'photo_reference': 'AUGGfZkP9hJhsqt6DkAawvZXas1bDPIVCcFTF_6jMdUTXnsRghEJnOh-rVSw9U_KI30sDNEeajj9kKenplyIqMMm4WpQi5-rSF1Qqa37H3tLDhzsCp78WYBViA7k28cX9kQ8svi7qI82kubNVr71xWSUmjJTmPw3uX6r4-meXSGomPRV5paB', 'width': 5504}]",ChIJ9ceIwTzbeC4R1hedqbUZGEQ,4.3,ChIJ9ceIwTzbeC4R1hedqbUZGEQ,"['tourist_attraction', 'point_of_interest', 'establishment']",628,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ9ceIwTzbeC4R1hedqbUZGEQ
OPERATIONAL,"R2HF+JVJ, Kasrepan, Demuk, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia","{'location': {'lat': -8.170925, 'lng': 112.0246308}, 'viewport': {'northeast': {'lat': -8.169546070107279, 'lng': 112.0259644798927}, 'southwest': {'lat': -8.172245729892722, 'lng': 112.0232648201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Gunung Banon (WGB),"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106498417448083947191"">A Google User</a>'], 'photo_reference': 'AUGGfZm7VWCUE25X_icp7lLUn1xcwAP9Gm21BYay-zc1OBRNPy6c44RP6OgVFQGmhHpuevSPYUIlhqkgN4sBd4SyIdeu4W0O4SlZqVScla6otudLOKmrg0bQLuJAk4od_pp8U8ki7vNJ3-EJqe0QaRcMaSqW7sVkGr80cpy4Gyotocd54VO6', 'width': 3468}]",ChIJA7PUTITneC4RwFWM1oZSCvo,4.5,ChIJA7PUTITneC4RwFWM1oZSCvo,"['tourist_attraction', 'point_of_interest', 'establishment']",60,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJA7PUTITneC4RwFWM1oZSCvo
OPERATIONAL,"Area Perkebunan Dan P, Pucanglaban, Tulungagung Regency, East Java 66284, Indonesia","{'location': {'lat': -8.3070417, 'lng': 112.0240484}, 'viewport': {'northeast': {'lat': -8.305661970107277, 'lng': 112.0254723298927}, 'southwest': {'lat': -8.30836162989272, 'lng': 112.0227726701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Pacar,"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114014523191139897520"">usman Petualang</a>'], 'photo_reference': 'AUGGfZlzxn3K1zqBUP2pkprKxr8uwaOJDM43_mGO4fS1u3iRHEGVvZpSmGx_S_fQqJi1dnOpufF4EGZmCiLhpiOkBbUMJa0qhFj6PExa08CjB1OLhiut4zbekwQJXEPAhhBd8U58FAKoLeLiuHOHNVZiSpXBjjx6xLcZAeWJQ-mrFhuMeyhb', 'width': 3998}]",ChIJMyntCD7beC4R1Oj9zQ9yuEQ,4.5,ChIJMyntCD7beC4R1Oj9zQ9yuEQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2467,{'open_now': True},"{'compound_code': 'M2VF+5J Pucanglaban, Tulungagung Regency, East Java, Indonesia', 'global_code': '6P3JM2VF+5J'}",https://www.google.com/maps/place/?q=place_id:ChIJMyntCD7beC4R1Oj9zQ9yuEQ
OPERATIONAL,"M2X5+RFP, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia","{'location': {'lat': -8.3004015, 'lng': 112.0086991}, 'viewport': {'northeast': {'lat': -8.299444920107279, 'lng': 112.0130656}, 'southwest': {'lat': -8.302144579892722, 'lng': 112.0072436}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Glogok / Salapan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113869949491338948914"">colopokxx a aww</a>'], 'photo_reference': 'AUGGfZlat3uYoiEXkaprESLeaqstEsBwS0lID0AAe2iLfpRWjWMZOnivumZTPSaIeEDRIEXA4Qh9cZhc4jJpWyoZTkIaGiR0G2gQz3nQaXH_K62N3pyKJ5GMMP99Fkq5tDnmljXlZl1cGpU9BoOpakkBRZVJqI_HqZC67TtR0n-sVOsVSZt5', 'width': 4160}]",ChIJM8H4s3PbeC4RZcQ8R_noars,4.2,ChIJM8H4s3PbeC4RZcQ8R_noars,"['tourist_attraction', 'point_of_interest', 'establishment']",24,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJM8H4s3PbeC4RZcQ8R_noars
