business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,permanently_closed,url
OPERATIONAL,"4265+C3G, Palahidu, Binongko, Wakatobi Regency, South East Sulawesi, Indonesia","{'location': {'lat': -5.8889281, 'lng': 124.0077174}, 'viewport': {'northeast': {'lat': -5.887909370107278, 'lng': 124.0089847798927}, 'southwest': {'lat': -5.890609029892722, 'lng': 124.0062851201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Palahidu,ChIJCUI9YKsJpy0R6ND0UsmVcWM,5.0,ChIJCUI9YKsJpy0R6ND0UsmVcWM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJCUI9YKsJpy0R6ND0UsmVcWM
OPERATIONAL,"32RR+HHR, Unnamed Road, Kampo-Kampo, Binongko, Kabupaten Wakatobi, Sulawesi Tenggara 93794, Indonesia","{'location': {'lat': -5.9085092, 'lng': 124.0413912}, 'viewport': {'northeast': {'lat': -5.907259070107278, 'lng': 124.0425903298927}, 'southwest': {'lat': -5.909958729892722, 'lng': 124.0398906701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Yella,ChIJWdKBXNinpy0R87sANLVkgRs,5.0,ChIJWdKBXNinpy0R87sANLVkgRs,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102753834608826287328"">Raflin Ibrahim</a>'], 'photo_reference': 'AUGGfZmxwiu6xqobZzwKIiGUtWr92RSLQCQ1wErg3sdrGSn0wNH8gn44ovT0pNPeWvHFKjVQlRHW3o2a12zIP92SccrcLsNS8R1ILKfNEELzk50Xm5lTuz4Rgf3K9fRLz3G-5JkuXiZGzGUOmH-aqhckABPDO5Dw_Yr-6acZch8cR-7BN2b_', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJWdKBXNinpy0R87sANLVkgRs
,"Binongko, Wakatobi Regency, South East Sulawesi, Indonesia","{'location': {'lat': -5.9144277, 'lng': 124.0307246}, 'viewport': {'northeast': {'lat': -5.716143, 'lng': 124.6219021}, 'southwest': {'lat': -6.1324429, 'lng': 123.9728621}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Binongko,ChIJXVV8Y42cpy0Rinw9VbphjIc,,ChIJXVV8Y42cpy0Rinw9VbphjIc,"['administrative_area_level_3', 'political']",,"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101159254141262917488"">Akhmad Asyraf</a>'], 'photo_reference': 'AUGGfZlaH0gI--XtUjHTJrxWu9IEi_Uri1vRFPzaH3Xaw3qdAbUGp1MR4MnwTze7n85bwBzxm-GSxflVuiwui2u4K-hRjhsUaOQWiCawa5MLPB8-f01w1xlvMWp6rKZo7EEjH9mJYI_CdQGK7xOjuUP0GbKLaYJO5hE5kz_9AcIpPdAcJmQl', 'width': 4618}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJXVV8Y42cpy0Rinw9VbphjIc
OPERATIONAL,"7V6V+2GG, Desa, Kollo Soha, Tomia, Kabupaten Wakatobi, 93793, Indonesia","{'location': {'lat': -5.7399315, 'lng': 123.8938137}, 'viewport': {'northeast': {'lat': -5.737425899999998, 'lng': 123.8953800298927}, 'southwest': {'lat': -5.740766700000001, 'lng': 123.8926803701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Hondue,ChIJV0dlUz8bpy0RGQVpQMFHA24,4.6,ChIJV0dlUz8bpy0RGQVpQMFHA24,"['tourist_attraction', 'point_of_interest', 'establishment']",16.0,"[{'height': 1955, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117281688449290363851"">Daniel Jezak</a>'], 'photo_reference': 'AUGGfZkHbpDmunG9zxC5rgPRVdOMkIi_K3DJaMQqiVdvDyFioRB98i5DE6PwLSN8tERXGjAztproFdYl94DGD1yuvF1kWQmfU7H5gIIM_NPgxhBJ7WLe3aggOm66a92W4h2ho-CKTecEipN0oPNbiSAgkW6RGlmAXQdfKzw1LwwzgPkpsmkh', 'width': 3479}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJV0dlUz8bpy0RGQVpQMFHA24
OPERATIONAL,"Wawaotimu, Tomia Timur, Wakatobi Regency, South East Sulawesi 93797, Indonesia","{'location': {'lat': -5.7511717, 'lng': 123.9638929}, 'viewport': {'northeast': {'lat': -5.749821870107278, 'lng': 123.9652368798927}, 'southwest': {'lat': -5.752521529892721, 'lng': 123.9625372201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kampung Adat Lagole,ChIJEc73-IkFpy0RVy3ahfUCBAc,0.0,ChIJEc73-IkFpy0RVy3ahfUCBAc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105744618402319927770"">A Google User</a>'], 'photo_reference': 'AUGGfZkv6d6zAfWSzwj8C6pUDT3R6TyXd-XNNA2PGKrfm3DNzlDbUMlT4GAeqf5kM3v4lJlCRFZP8ZVe6nzL35lrs52WAMIqfTLn47lqXthXf6kgjEza_co1PaAEZwmI25J2p13bwoBTw3QirdP2TZ6qanz7VHMVXNfwOiRuuI4JaQf3Yhr1', 'width': 3060}]","{'compound_code': '6XX7+GH Wawaotimu, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q656XX7+GH'}",,,https://www.google.com/maps/place/?q=place_id:ChIJEc73-IkFpy0RVy3ahfUCBAc
OPERATIONAL,"Kulati, Tomia Timur, Wakatobi Regency, South East Sulawesi 93797, Indonesia","{'location': {'lat': -5.754980199999999, 'lng': 123.9911392}, 'viewport': {'northeast': {'lat': -5.753880970107277, 'lng': 123.9919456298927}, 'southwest': {'lat': -5.756580629892721, 'lng': 123.9892459701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Hongaha,ChIJL5vZkBoPpy0R6lihlcZiPrI,5.0,ChIJL5vZkBoPpy0R6lihlcZiPrI,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101337480086639633065"">benarivo tp</a>'], 'photo_reference': 'AUGGfZk_oPTJy534kja5fsnFlcHkkoyDEKsjfW8uYnHBtMVVO8AcqBvyVZiLdhVDJTW2diJqiVlmJ588PENgi5SiXI2ucfcueZWZ0jbCzSLES9UGHhsGLtUEC0F0TcJS-S977pJItiipCxoIHRdXJudk45WUzqD1qX4usZ_781ujIshF_f4x', 'width': 2268}]","{'compound_code': '6XWR+2F Kulati, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q656XWR+2F'}",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJL5vZkBoPpy0R6lihlcZiPrI
OPERATIONAL,"Kahiyanga, Tomia Timur, Wakatobi Regency, South East Sulawesi 93797, Indonesia","{'location': {'lat': -5.7496798, 'lng': 123.95132}, 'viewport': {'northeast': {'lat': -5.748375720107279, 'lng': 123.9529161298927}, 'southwest': {'lat': -5.751075379892723, 'lng': 123.9502164701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Kahianga (Dewi Kahyangan),ChIJad_vtMwbpy0RxB5QETkn-Xk,4.9,ChIJad_vtMwbpy0RxB5QETkn-Xk,"['tourist_attraction', 'point_of_interest', 'establishment']",32.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100659157079471677245"">Ridha Khair</a>'], 'photo_reference': 'AUGGfZkMp31FDN8gjuY8n26cyftzKsI06seUAAlWSMcyDGJpB6jcsyJpdnOQjmFL03f3g4mIIbZm_VRL29NPnVh3p3DyfLFAVMdornNgaY_--ayc0KCf-ta0Tm3agDX0OkcWLsco8p-BNVRMjq5ahomZ8NxFu6RwOCX8watGZ6RWZlG4Uig', 'width': 4000}]","{'compound_code': '7X22+4G Kahiyanga, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q657X22+4G'}",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJad_vtMwbpy0RxB5QETkn-Xk
OPERATIONAL,"62R4+43W, Kulati, Tomia Timur, Wakatobi Regency, South East Sulawesi 93793, Indonesia","{'location': {'lat': -5.7596399, 'lng': 124.0052001}, 'viewport': {'northeast': {'lat': -5.758377220107278, 'lng': 124.0065024798927}, 'southwest': {'lat': -5.761076879892721, 'lng': 124.0038028201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Huntete,ChIJ4aa2g8YPpy0RxkGcI22BkHo,4.5,ChIJ4aa2g8YPpy0RxkGcI22BkHo,"['tourist_attraction', 'point_of_interest', 'establishment']",21.0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102011037044158407753"">fauzi kojel</a>'], 'photo_reference': 'AUGGfZkdUXdbSma3Y8Wv-wTjp6Jps621wcsTnMrQbJKZPexNUWHcUneKVquStr2QAaUKuIil3noayQGUsu4Hg3HqWnpad1lQR15e8URDST7D0WDNut0MRGE_i7-guBoKdKbbvSvIMcUfDkrC4Z7m6_-orjGena7nALLkrMNvMfH-J2ziGs5x', 'width': 2250}]",,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ4aa2g8YPpy0RxkGcI22BkHo
OPERATIONAL,"Jl. Encik Sulaiman, Desa Kahianga, Kec. Tomia Tim., Kabupaten Wakatobi, Sulawesi Tenggara 93797, Indonesia","{'location': {'lat': -5.7603205, 'lng': 123.9406553}, 'viewport': {'northeast': {'lat': -5.759283870107279, 'lng': 123.9420530798927}, 'southwest': {'lat': -5.761983529892722, 'lng': 123.9393534201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puri Kahyangan Tomia,ChIJZbyEFqwFpy0RLHb19D8pago,4.6,ChIJZbyEFqwFpy0RLHb19D8pago,"['tourist_attraction', 'point_of_interest', 'establishment']",18.0,"[{'height': 580, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105724323808071463006"">A Google User</a>'], 'photo_reference': 'AUGGfZm6vtiIEjLcCR_qXcwA52yoY_M4TgyHvH2qXhurQNNm4z6hFuodYpCoA6EGcGy3qqmJ1W6JJRFIIZGyFj0YZSXC4zQIGig_yRJnk8aTY3953qfdA5SmEakikdrhRWV83jzhnHl4PXChRY1vsjWO_AMV0w7QlhpIe7xLN7EI9qMwHai8', 'width': 736}]","{'compound_code': '6WQR+V7 Tongano Barat, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q656WQR+V7'}",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJZbyEFqwFpy0RLHb19D8pago
,"Binongko Island, Wakatobi Regency, South East Sulawesi, Indonesia","{'location': {'lat': -5.9503049, 'lng': 124.0307246}, 'viewport': {'northeast': {'lat': -5.875959, 'lng': 124.091538}, 'southwest': {'lat': -6.041593, 'lng': 123.9728621}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Binongko Island,ChIJ0UBzZ52mpy0R1_n_P2H9LTk,4.4,ChIJ0UBzZ52mpy0R1_n_P2H9LTk,"['natural_feature', 'establishment']",112.0,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105789814056427096765"">anthon derato</a>'], 'photo_reference': 'AUGGfZlOnslmDvn7AOPN-9v5se8sUI8DuFXYrCUJbpfBuaGAOXTy-wQO4DniOSmQQ5qAfGk7NV0FUXK1aIY-xNI5WsY41XA2mCQT5niVvDZS0hYRmKShSLDxHJT16wLAx4vHEUqm41oq8aRYWU37I-UZ1jobpn0t5PrZ9GsP1Pn3LC1-XxJQ', 'width': 2048}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ0UBzZ52mpy0R1_n_P2H9LTk
