business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"MGJM+QW2, Jl. Poros Wandoka Lingk. Teekosapi, Pongo, Kec. Wangi-Wangi, Kabupaten Wakatobi, Sulawesi Tenggara 93791, Indonesia","{'location': {'lat': -5.318101, 'lng': 123.5347544}, 'viewport': {'northeast': {'lat': -5.316811470107276, 'lng': 123.5361743798927}, 'southwest': {'lat': -5.31951112989272, 'lng': 123.5334747201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Goa Air Kontamale,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112031630309086286801"">Lisman Adi</a>'], 'photo_reference': 'AUGGfZmaa5NpqeDjMVQYPSJ0tDEa0mLc68WUB_PKxAzDhBxZ8ndB1nbJHk4uy6RdKoSzo53UHSXRZH8xAV4DENV73eVAk8PEALM6dHzCwM4GlYnJ54yZdKeJGhv-ZROQWY4q4Fd39GDXwcPZF3GxnbPIbhWg6dgu8_g_mdZKz8F7vhtECkA', 'width': 3000}]",ChIJoefGjHszoS0RRZbKItzZJ2k,4.4,ChIJoefGjHszoS0RRZbKItzZJ2k,"['tourist_attraction', 'point_of_interest', 'establishment']",544.0,,,https://www.google.com/maps/place/?q=place_id:ChIJoefGjHszoS0RRZbKItzZJ2k
OPERATIONAL,"PGHC+29W, Sombu, South Wangi-Wangi, Wakatobi Regency, South East Sulawesi 93791, Indonesia","{'location': {'lat': -5.2723976, 'lng': 123.5209467}, 'viewport': {'northeast': {'lat': -5.270963020107278, 'lng': 123.5225901798927}, 'southwest': {'lat': -5.273662679892722, 'lng': 123.5198905201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Wambuliga,,"[{'height': 2095, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107732295816990812409"">LuQman Man</a>'], 'photo_reference': 'AUGGfZkC_Ij7otfldB6q9Xn8XqRqCVivkfCDE06ExrLfWUDoM8kVPHfH5FlxMTEqZiTuNujcbL4OZnjmgB91Ky0Sv4OIOKbmEyv-u2Tg-IZfgaiOm4RoP7Jz7mMqlHakdNuQsf21hxlpy9z6kHH2xoHPRy0PQddqnQzuKv8NL4E-EjmBlXTv', 'width': 3726}]",ChIJQciY2ys3oS0RMq3AUgkwZLE,4.5,ChIJQciY2ys3oS0RMq3AUgkwZLE,"['tourist_attraction', 'point_of_interest', 'establishment']",221.0,,,https://www.google.com/maps/place/?q=place_id:ChIJQciY2ys3oS0RMq3AUgkwZLE
OPERATIONAL,"Jl. Ir. Soekarno, Kec. Wangi-Wangi, Kabupaten Wakatobi, Sulawesi Tenggara 93791, Indonesia","{'location': {'lat': -5.2486742, 'lng': 123.588182}, 'viewport': {'northeast': {'lat': -5.247706120107278, 'lng': 123.5892830298927}, 'southwest': {'lat': -5.250405779892722, 'lng': 123.5865833701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Moli'i Sahatu beach,,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113333902449339542631"">A Google User</a>'], 'photo_reference': 'AUGGfZknCPuEBvudEQ27V7rQpFEI8X1rkhokzpMYs8ZhBVW4cReI9RrICEeLtxnYU_YCFFwV37BNxPcnZdndZecD_LsIQ1WNVJYOg8lfD8I_MyNV-XIBIUPty0BWzQMWbCd-z7GQiHE5MF9xBDfIMd8s9Ut9k4g9B9fBzpL8AuoUDeALkNvd', 'width': 4128}]",ChIJscqE108xoS0RlbAr-gEc5uI,4.8,ChIJscqE108xoS0RlbAr-gEc5uI,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,"{'compound_code': 'QH2Q+G7 Patuno, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q65QH2Q+G7'}",,https://www.google.com/maps/place/?q=place_id:ChIJscqE108xoS0RlbAr-gEc5uI
OPERATIONAL,"Jl. Jend. Ahmad Yani No.140, Kabupaten Wakatobi, Sulawesi Tenggara 93791, Indonesia","{'location': {'lat': -5.3232995, 'lng': 123.5321275}, 'viewport': {'northeast': {'lat': -5.322005470107278, 'lng': 123.5335634798927}, 'southwest': {'lat': -5.324705129892722, 'lng': 123.5308638201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Marina Togo Mowondu Wakatobi,,"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113616669438848209843"">A Google User</a>'], 'photo_reference': 'AUGGfZmXAI9vZ7dTzcKpYJS3Hd0VAbzncIk5CCVSUg5uvYGGdfvL7CQPhCKsS4oWVDEu1M9dNp_bvSH-xG05AQoI23kez8ootq-vlDonJ7kjbs4lgWWtcsOoLS2pZqur0GEyAElq2rGtHmKC31y_DlKOQiY8SFevropBtQvwBAyVt4VjNug0', 'width': 4160}]",ChIJ7bIeSLIzoS0R0-i_DphxzKc,4.5,ChIJ7bIeSLIzoS0R0-i_DphxzKc,"['tourist_attraction', 'point_of_interest', 'establishment']",106.0,"{'compound_code': 'MGGJ+MV Pongo, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q65MGGJ+MV'}",,https://www.google.com/maps/place/?q=place_id:ChIJ7bIeSLIzoS0R0-i_DphxzKc
OPERATIONAL,"Waelumu, South Wangi-Wangi, Wakatobi Regency, South East Sulawesi 93791, Indonesia","{'location': {'lat': -5.2502651, 'lng': 123.5616922}, 'viewport': {'northeast': {'lat': -5.249030320107278, 'lng': 123.5630504798927}, 'southwest': {'lat': -5.251729979892722, 'lng': 123.5603508201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI WAIKESA,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103662379323757547994"">Lim Muchtarum Hafid</a>'], 'photo_reference': 'AUGGfZkd761QriFTIgZnqVjyfp6hhaHoascaTIEjQQkYszr7NvL4qC97xgOzEGmAW8VW1hA8ArQK0PitXsv1SZqTc7FKymOwyQZunBv4BfiFS_2jf7_1aFWSpscBfxErwtK_VpJuNOWr-9GVgDcn7lz6ih2eRKX3CNYrz7y3XCWN3hosEGsq', 'width': 4000}]",ChIJJQjyDw8xoS0Rjgb0NjLoLYM,4.3,ChIJJQjyDw8xoS0Rjgb0NjLoLYM,"['tourist_attraction', 'point_of_interest', 'establishment']",95.0,"{'compound_code': 'PHX6+VM Waelumu, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q65PHX6+VM'}",,https://www.google.com/maps/place/?q=place_id:ChIJJQjyDw8xoS0Rjgb0NjLoLYM
OPERATIONAL,"Matto, Jl. Haji Idris, Kec. Wangi-Wangi, Kabupaten Wakatobi, Sulawesi Tenggara 93795, Indonesia","{'location': {'lat': -5.3439695, 'lng': 123.5401809}, 'viewport': {'northeast': {'lat': -5.342615870107277, 'lng': 123.5415340298927}, 'southwest': {'lat': -5.345315529892721, 'lng': 123.5388343701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mola Village,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107365330035657061229"">Ray Aristo</a>'], 'photo_reference': 'AUGGfZkRmgiW9pyia1CPU7isz5gi0EPKiICuVgm1ar8ng0oPKiAZASTp7gvhKbvic6jlFlwr5tAhPPKjlTdZwzHXc0-A4RgbsCP6E72amX8szIAUbETyCJKkQt-ZtkZ8HYhUPWVy8Etxk99ObCXfVWKapeYLB5LFk-qnEZ3vGXK0GN9-F3jy', 'width': 4160}]",ChIJk9tShk0zoS0RQkgBIOyisuE,4.4,ChIJk9tShk0zoS0RQkgBIOyisuE,"['tourist_attraction', 'point_of_interest', 'establishment']",139.0,"{'compound_code': 'MG4R+C3 Mandati III, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q65MG4R+C3'}",,https://www.google.com/maps/place/?q=place_id:ChIJk9tShk0zoS0RQkgBIOyisuE
OPERATIONAL,"MG7R+HP4, Mandati I, South Wangi-Wangi, Wakatobi Regency, South East Sulawesi 93795, Indonesia","{'location': {'lat': -5.3361124, 'lng': 123.5418421}, 'viewport': {'northeast': {'lat': -5.334723570107278, 'lng': 123.5431857298927}, 'southwest': {'lat': -5.337423229892722, 'lng': 123.5404860701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemandian Kali Topa Air,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100659157079471677245"">Ridha Khair</a>'], 'photo_reference': 'AUGGfZlFzoshcvd8gPiDExXmuSOkq_QNIExcMbeWkMSMMIpsLc5F-IJ3dDuU-mr6Q-izBHojmV6MOqGN-PfKcXxdqRQHEFq3A_tBbGm5bughBhkLSy_R06K7cCowdGfB83_BeFS8BXEvjx3EgRLn11NkWSIPH_DwYK5iBg-SxKCTyuDRyV8', 'width': 4000}]",ChIJ0wTV-EQzoS0RQsAVI0Zk-kE,4.1,ChIJ0wTV-EQzoS0RQsAVI0Zk-kE,"['tourist_attraction', 'point_of_interest', 'establishment']",79.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0wTV-EQzoS0RQsAVI0Zk-kE
OPERATIONAL,"Jl. Waopu Jenggo, Mandati II, Wangi-Wangi Sel., Kabupaten Wakatobi, Sulawesi Tenggara 93795, Indonesia","{'location': {'lat': -5.3291762, 'lng': 123.5390889}, 'viewport': {'northeast': {'lat': -5.327849720107278, 'lng': 123.5403403298927}, 'southwest': {'lat': -5.330549379892722, 'lng': 123.5376406701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wakatobi Dive Adventure,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115383937107242719578"">A Google User</a>'], 'photo_reference': 'AUGGfZkxzHfUtt6lmg3Y-IqW-wzSb8QTcjrln6Ud13NPVbAIMSqO5gCL5HOrc9G9BgFyhgRAgPkJJpNET21LtLJKp4DnKNb23E7NOr1o3_3w0OhQO9bDlUaPetgcJxzDHPZShNLW_yUOip3q2QN05QM1HnKbsqHI2RSXkDXm3a_MFsMozNMt', 'width': 4160}]",ChIJke4F42czoS0RfpCcVO4EfUc,4.3,ChIJke4F42czoS0RfpCcVO4EfUc,"['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",220.0,"{'compound_code': 'MGCQ+8J Mandati II, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q65MGCQ+8J'}",,https://www.google.com/maps/place/?q=place_id:ChIJke4F42czoS0RfpCcVO4EfUc
OPERATIONAL,"PGXG+3CX, Waha, Sombu, Wangi-Wangi, Wapia-pia, Wakatobi, Kabupaten Wakatobi, Sulawesi Tenggara 93793, Indonesia","{'location': {'lat': -5.252261, 'lng': 123.5261157}, 'viewport': {'northeast': {'lat': -5.25090637010728, 'lng': 123.5274605798927}, 'southwest': {'lat': -5.253606029892723, 'lng': 123.5247609201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waha Tourism Community,,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109049320162098604411"">A Google User</a>'], 'photo_reference': 'AUGGfZkS8J6VMcYMF6AGsBU7qSa1wEyLp1XGW5fIkOAQvtGG74JupN7ijZce0UQpQi4FJTe9sf5PfriQnnJMyufcFd2HeoV3jiNmWC_WdCzH5K6YHpePWuP5gYFM5ZDGJiMsVnLuBT_F-cju2cniSGUcQgKfrRISoYXl8W6ZcmcDuNiCsGUS', 'width': 4128}]",ChIJ6RIFwVExoS0RQwOS5RFoUQY,4.4,ChIJ6RIFwVExoS0RQwOS5RFoUQY,"['point_of_interest', 'establishment']",60.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ6RIFwVExoS0RQwOS5RFoUQY
OPERATIONAL,"Jl. La Ruku No. 11 Kompleks Perkantoran Motika,, Wangi-Wangi Selatan, Mandati I, Wangi-Wangi Sel., Kabupaten Wakatobi, Sulawesi Tenggara 93795, Indonesia","{'location': {'lat': -5.3332649, 'lng': 123.5454486}, 'viewport': {'northeast': {'lat': -5.332007770107279, 'lng': 123.5467909298927}, 'southwest': {'lat': -5.334707429892723, 'lng': 123.5440912701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wakatobi Tourism & Creative Economy Authority,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105112226725335897787"">A Google User</a>'], 'photo_reference': 'AUGGfZlKF39GblJW2IaIGpCgJ4lPg-_vxsNGPOCKhoNQJDHT7XNzlh-buP_o17yAn5onK9asS7FPltIPdli3sU-2lB4omvfCGx9V98ktnnKTx8vESCFWPBi8LyDxjN6Ofq-oYbaMIvWtojgbT9yFzgcwgKiBUH47RyZxC8vPTpg3vx81GLuh', 'width': 3264}]",ChIJo19IXUEzoS0RFYER9qLxpFo,4.2,ChIJo19IXUEzoS0RFYER9qLxpFo,"['travel_agency', 'point_of_interest', 'establishment']",21.0,"{'compound_code': 'MG8W+M5 Mandati I, Wakatobi Regency, South East Sulawesi, Indonesia', 'global_code': '6Q65MG8W+M5'}",,https://www.google.com/maps/place/?q=place_id:ChIJo19IXUEzoS0RFYER9qLxpFo
