business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"Q948+2F3, Waren Dua, Waropen Bawah, Waropen Regency, Papua 98261, Indonesia","{'location': {'lat': -2.2449788, 'lng': 136.3661765}, 'viewport': {'northeast': {'lat': -2.243628970107277, 'lng': 136.3675263298927}, 'southwest': {'lat': -2.246328629892722, 'lng': 136.3648266701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PantaisewanAyomi'KING',"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105295197919828738648"">A Google User</a>'], 'photo_reference': 'AUGGfZm5SsktWKn0spd6FHVZz49kZ06U7DzWs8k1OnttxrQ6b10iU0y0jzsFkw0OvznVukzGkpBs6_1YSZSGAkIrtEMim4IhG45QzlRCk1wKhK0Ll92Lk7621LcVQxhGwJKmJijTIR4gucL0d5KlYLQNcK6UFJoM4z9TjjijCOcJS0lSHYQN', 'width': 3456}]",ChIJb31EA4KdG2gREjHbmqHiemk,5.0,ChIJb31EA4KdG2gREjHbmqHiemk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJb31EA4KdG2gREjHbmqHiemk
OPERATIONAL,"4J5J+CM, Sooh, Kirihi, Waropen Regency, Papua, Indonesia","{'location': {'lat': -2.891488, 'lng': 136.6317396}, 'viewport': {'northeast': {'lat': -2.890138170107278, 'lng': 136.6330894298927}, 'southwest': {'lat': -2.892837829892723, 'lng': 136.6303897701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Asiwa,,ChIJdVo0LQBvGWgRT6ayN_pBSCw,0.0,ChIJdVo0LQBvGWgRT6ayN_pBSCw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJdVo0LQBvGWgRT6ayN_pBSCw
OPERATIONAL,"Kampung Kali Baru, Distrik Masirei, Waropen Regency, Papua 98261, Indonesia","{'location': {'lat': -2.2117638, 'lng': 136.4416254}, 'viewport': {'northeast': {'lat': -2.210415320107278, 'lng': 136.4429704798928}, 'southwest': {'lat': -2.213114979892723, 'lng': 136.4402708201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tajung Kali Baru,"[{'height': 405, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112309008936037000844"">A Google User</a>'], 'photo_reference': 'AUGGfZlpgwakwp7b5Oaf4v_FyvywCHd9ZyL4sJmxT09i-mtxac-YXVFhUGDQxuAQFyto9c1Mw0AjKYJ-1AnFbJfPc4AS7DhiXSpDjAdD-CIFIQFWA2sKFjfpYao2c2Gn3Pr_Cz3mxJbJIFonullFRAbo2oIeoMucOMW8Imi_a8ifpbeBtjMP', 'width': 720}]",ChIJdYJASRJ1G2gR7Y24dR9YU44,5.0,ChIJdYJASRJ1G2gR7Y24dR9YU44,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},"{'compound_code': 'QCQR+7M Urei Faisei Dua, Waropen Regency, Papua, Indonesia', 'global_code': '6Q9RQCQR+7M'}",,https://www.google.com/maps/place/?q=place_id:ChIJdYJASRJ1G2gR7Y24dR9YU44
OPERATIONAL,"2F8H+R4C, Syewa/Mirare, Wapoga, Waropen Regency, Papua, Indonesia","{'location': {'lat': -2.9829392, 'lng': 136.4777687}, 'viewport': {'northeast': {'lat': -2.981589370107277, 'lng': 136.4791185298927}, 'southwest': {'lat': -2.984289029892722, 'lng': 136.4764188701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tribe BAUZI,,ChIJXWvYXdA_GWgRqFsd594VKT8,0.0,ChIJXWvYXdA_GWgRqFsd594VKT8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJXWvYXdA_GWgRqFsd594VKT8
OPERATIONAL,"47V6+PR, Syewa/Mirare, Wapoga, Waropen Regency, Papua, Indonesia","{'location': {'lat': -2.8556917, 'lng': 136.2621056}, 'viewport': {'northeast': {'lat': -2.854341870107278, 'lng': 136.2634554298927}, 'southwest': {'lat': -2.857041529892723, 'lng': 136.2607557701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yali Camp,,ChIJ2dBfCQBNGWgR0eC_93eBNXk,0.0,ChIJ2dBfCQBNGWgR0eC_93eBNXk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2dBfCQBNGWgR0eC_93eBNXk
OPERATIONAL,"HH75+F2, Wobari, Risei Sayati, Waropen Regency, Papua, Indonesia","{'location': {'lat': -2.4363199, 'lng': 136.5575256}, 'viewport': {'northeast': {'lat': -2.434970070107278, 'lng': 136.5588754298927}, 'southwest': {'lat': -2.437669729892722, 'lng': 136.5561757701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan Botawa,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102227150107904238827"">Aris machrus Ali</a>'], 'photo_reference': 'AUGGfZl5DnjDijr7LSjduJivtomp_ydPlD9kcrclU18z-AP-UnzjNL3aDcgEYrCS0FDxCYQd8C_-vcJtX_qtwwRcgwv8n4Sw1AhVNcGr3xvssEX0d-954fLdDr27Wqiid_WChv7s3S_oDygVd8Rxh0cmxwJErm2f0QblMmcUEzmepwx_OhOM', 'width': 4160}]",ChIJTUieAMK_G2gRdfK6B0LQTbQ,5.0,ChIJTUieAMK_G2gRdfK6B0LQTbQ,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJTUieAMK_G2gRdfK6B0LQTbQ
OPERATIONAL,"Q7M8+5W, Nau, Waropen Regency, Papua, Indonesia","{'location': {'lat': -2.2174798, 'lng': 136.2672462}, 'viewport': {'northeast': {'lat': -2.216129970107278, 'lng': 136.2685960298927}, 'southwest': {'lat': -2.218829629892722, 'lng': 136.2658963701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SILO NAU DIVE POIN,"[{'height': 865, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107099543564994949078"">A Google User</a>'], 'photo_reference': 'AUGGfZkicNYjLk_LI6DnozEJthUtAbZcMlTxHkJLUvfzXVdBosnJss_Ienac4yNcLn5N0xdwmzvcv8ZnPEAM29fRA2pi-VoeY4rNRRLv7CjIo-BzdUS1plDDYgZmdU6-666N6PdDu5xgeLPilPMhUGgrIyBlWeKQJuWd4fp3SUEteWaD3ek', 'width': 1590}]",ChIJKXCTfRZ_G2gRT9cMu2iD-Mc,5.0,ChIJKXCTfRZ_G2gRT9cMu2iD-Mc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJKXCTfRZ_G2gRT9cMu2iD-Mc
OPERATIONAL,"QCQ6+6CC, Kemon Jaya Sp V, Urei Faisei, Waropen Regency, Papua 98261, Indonesia","{'location': {'lat': -2.2119479, 'lng': 136.4110049}, 'viewport': {'northeast': {'lat': -2.210671170107277, 'lng': 136.4123749798927}, 'southwest': {'lat': -2.213370829892722, 'lng': 136.4096753201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Ronggaiwa,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116644508670993775839"">brayon Jr jr</a>'], 'photo_reference': 'AUGGfZnAq6pT3Or1J3qNiFluSdcVF1RNLmxKw7uho3DRPllnLMBFj0jta6-jJ408vXc_iFKd5XD26UR9_WRQab_rDAiqpJNlnRLlSEjmRfGSqsKO92I2G29iBGZ4YHkCo8CMoP_ypLNZ9k6yd4VAz2c2I8g_TDv-vxw6KByzrl7X5ULp96vw', 'width': 4608}]",ChIJa-vk3bZ3G2gRegLlgu43rLo,4.2,ChIJa-vk3bZ3G2gRegLlgu43rLo,"['tourist_attraction', 'point_of_interest', 'establishment']",20,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJa-vk3bZ3G2gRegLlgu43rLo
OPERATIONAL,"Q938+X82, Waren Dua, Waropen Bawah, Waropen Regency, Papua 98261, Indonesia","{'location': {'lat': -2.2451228, 'lng': 136.3657553}, 'viewport': {'northeast': {'lat': -2.243772970107277, 'lng': 136.3671051298927}, 'southwest': {'lat': -2.246472629892722, 'lng': 136.3644054701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sewanayomi,,ChIJuRUaAQCdG2gR4uypXm-q9hs,0.0,ChIJuRUaAQCdG2gR4uypXm-q9hs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJuRUaAQCdG2gR4uypXm-q9hs
OPERATIONAL,"4F7V+MX, Bareraipi, Yapen Islands Regency, Papua, Indonesia","{'location': {'lat': -1.8857921, 'lng': 136.4949775}, 'viewport': {'northeast': {'lat': -1.884442270107278, 'lng': 136.4963273298928}, 'southwest': {'lat': -1.887141929892723, 'lng': 136.4936276701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Widaimpi,,ChIJo6SYCQBJG2gRvRcK1ZmCMHU,0.0,ChIJo6SYCQBJG2gRvRcK1ZmCMHU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJo6SYCQBJG2gRvRcK1ZmCMHU
OPERATIONAL,"5PPJ+RPJ, Mereruni, Yapen Timur, Yapen Islands Regency, Papua, Indonesia","{'location': {'lat': -1.8129026, 'lng': 136.7317572}, 'viewport': {'northeast': {'lat': -1.811796220107278, 'lng': 136.7327793298927}, 'southwest': {'lat': -1.814495879892722, 'lng': 136.7300796701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali dawai,,ChIJRZClyi4tG2gRFnW6TCR0FL0,0.0,ChIJRZClyi4tG2gRFnW6TCR0FL0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJRZClyi4tG2gRFnW6TCR0FL0
OPERATIONAL,"4GR9+GMC, I, Randawaya, Distrik Tlk. Ampimoi, Kabupaten Kepulauan Yapen, Papua, Indonesia","{'location': {'lat': -1.8586985, 'lng': 136.5191286}, 'viewport': {'northeast': {'lat': -1.857348670107277, 'lng': 136.5204784298927}, 'southwest': {'lat': -1.860048329892722, 'lng': 136.5177787701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Moro,,ChIJB9byOgA3G2gRsD2LoS-sB18,0.0,ChIJB9byOgA3G2gRsD2LoS-sB18,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJB9byOgA3G2gRsD2LoS-sB18
OPERATIONAL,"5P76+XM, Nunsembai, Yapen Timur, Yapen Islands Regency, Papua, Indonesia","{'location': {'lat': -1.833972, 'lng': 136.7119038}, 'viewport': {'northeast': {'lat': -1.832622170107278, 'lng': 136.7132536298927}, 'southwest': {'lat': -1.835321829892722, 'lng': 136.7105539701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Goa tengkorak,,ChIJMaJGZAAtG2gR-fvHefMA6TQ,0.0,ChIJMaJGZAAtG2gR-fvHefMA6TQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJMaJGZAAtG2gR-fvHefMA6TQ
OPERATIONAL,"4G2P+MG, Karoaipi, Teluk Ampimoi, Yapen Islands Regency, Papua, Indonesia","{'location': {'lat': -1.8983377, 'lng': 136.5362801}, 'viewport': {'northeast': {'lat': -1.896987870107278, 'lng': 136.5376299298927}, 'southwest': {'lat': -1.899687529892722, 'lng': 136.5349302701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Amirompi,,ChIJafFlbwA3G2gROkE7NJMIfDU,0.0,ChIJafFlbwA3G2gROkE7NJMIfDU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJafFlbwA3G2gROkE7NJMIfDU
OPERATIONAL,"4GV2+25P, Ampimoi, Teluk Ampimoi, Yapen Islands Regency, Papua 98252, Indonesia","{'location': {'lat': -1.8574173, 'lng': 136.5004499}, 'viewport': {'northeast': {'lat': -1.856067470107277, 'lng': 136.5017997298928}, 'southwest': {'lat': -1.858767129892722, 'lng': 136.4991000701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,S. Werendai,,ChIJ4W-EbgBJG2gRBB74rwxY9kY,0.0,ChIJ4W-EbgBJG2gRBB74rwxY9kY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4W-EbgBJG2gRBB74rwxY9kY
OPERATIONAL,"4GV2+M2Q, Ampimoi, Teluk Ampimoi, Yapen Islands Regency, Papua 98252, Indonesia","{'location': {'lat': -1.8557978, 'lng': 136.5001054}, 'viewport': {'northeast': {'lat': -1.854447970107278, 'lng': 136.5014552298927}, 'southwest': {'lat': -1.857147629892722, 'lng': 136.4987555701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Worirei,,ChIJ-wDcawBJG2gRMrW9mlAUxPg,0.0,ChIJ-wDcawBJG2gRMrW9mlAUxPg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-wDcawBJG2gRMrW9mlAUxPg
OPERATIONAL,"4GX2+22F, Ampimoi, Teluk Ampimoi, Yapen Islands Regency, Papua 98252, Indonesia","{'location': {'lat': -1.852444, 'lng': 136.5000416}, 'viewport': {'northeast': {'lat': -1.851094170107278, 'lng': 136.5013914298927}, 'southwest': {'lat': -1.853793829892722, 'lng': 136.4986917701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,S. Finggameni,,ChIJ8dQzIQBJG2gR5AQaUhwc_9o,0.0,ChIJ8dQzIQBJG2gR5AQaUhwc_9o,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8dQzIQBJG2gR5AQaUhwc_9o
