business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"HQQR+GQ5, Dusun II, Sukoharjo, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.411245999999998, 'lng': 109.7919969}, 'viewport': {'northeast': {'lat': -7.410290370107278, 'lng': 109.7927906298927}, 'southwest': {'lat': -7.412990029892722, 'lng': 109.7900909701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KEDUNG LO,ChIJQXNAGwCnei4RlNgsempTgEs,0.0,ChIJQXNAGwCnei4RlNgsempTgEs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQXNAGwCnei4RlNgsempTgEs
OPERATIONAL,"JQ3C+X4, Karangsari, Karanganyar, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah, Indonesia","{'location': {'lat': -7.3950345, 'lng': 109.7702951}, 'viewport': {'northeast': {'lat': -7.393471470107277, 'lng': 109.7721193798927}, 'southwest': {'lat': -7.396171129892721, 'lng': 109.7694197201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tersana Park,ChIJlYoT2danei4RTLank7AeJt4,0.0,ChIJlYoT2danei4RTLank7AeJt4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlYoT2danei4RTLank7AeJt4
OPERATIONAL,"JR89+7V, Jaksan, Gunungtugel, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah, Indonesia","{'location': {'lat': -7.384297699999999, 'lng': 109.8197349}, 'viewport': {'northeast': {'lat': -7.382934220107277, 'lng': 109.8210948798927}, 'southwest': {'lat': -7.385633879892721, 'lng': 109.8183952201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mbasir,ChIJiSCeW2Knei4Rq8E3_gWTOMw,0.0,ChIJiSCeW2Knei4Rq8E3_gWTOMw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJiSCeW2Knei4Rq8E3_gWTOMw
OPERATIONAL,"JQXV+MH5, Kenanga, Jebengplampitan, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.3508739, 'lng': 109.7939738}, 'viewport': {'northeast': {'lat': -7.346654999999997, 'lng': 109.7949292298927}, 'southwest': {'lat': -7.352280200000001, 'lng': 109.7922295701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Wora Wari,ChIJt38WBLynei4R6uXc4spic2Q,4.0,ChIJt38WBLynei4R6uXc4spic2Q,"['tourist_attraction', 'point_of_interest', 'establishment']",54,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114868576832713339935"">Setiono No</a>'], 'photo_reference': 'AUGGfZmMhs7joV_wd47YXbvKt2xYeTFBLt-hSDknL9Mps22T6n2eqGknhMfEtXhVnn0DJWz7J2-2lYt8ye2zTceDmjaOb2eWiHEplHVKQn4hetN5336Q0NMuQPls2R_sEgikN5APnWxrXQ0BiHpKxd-pfcMZXfylzDJNvDJ_arL00hnVTHes', 'width': 1280}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJt38WBLynei4R6uXc4spic2Q
OPERATIONAL,"JR37+R6, Menganti, Gunungtugel, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.3954551, 'lng': 109.8131038}, 'viewport': {'northeast': {'lat': -7.394105270107279, 'lng': 109.8144536298927}, 'southwest': {'lat': -7.396804929892723, 'lng': 109.8117539701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kedung Ace,ChIJ-RneR4Knei4Rh0XMhfGEOLY,4.0,ChIJ-RneR4Knei4Rh0XMhfGEOLY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108475437557381074650"">A Google User</a>'], 'photo_reference': 'AUGGfZkcAiWYjpX8F44WTmhSJRUFx46XYWZcY9hCSTiPqY5Yt4PjdVGj_Ot2GIUzj8xJzMp_nMqktSnQmzvhvzHcu4k3HV62u9UDay8QuA9cCNGLy_E0Recp4jZzOkcNKS45SQ4gxElv1TU_FDdcOale4I5MYfInwQeOHUfEbAy770XUhiAT', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ-RneR4Knei4Rh0XMhfGEOLY
OPERATIONAL,"JRF7+G7Q, RT.14/RW.05, Tunggulangin, Gunungtugel, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.376161199999999, 'lng': 109.8132208}, 'viewport': {'northeast': {'lat': -7.374900970107279, 'lng': 109.8146505798927}, 'southwest': {'lat': -7.377600629892723, 'lng': 109.8119509201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KLANCENG JAYA,ChIJr0RoZEqnei4Rp-gXHIlTwV8,3.0,ChIJr0RoZEqnei4Rp-gXHIlTwV8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 5056, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112425724908727961848"">A Google User</a>'], 'photo_reference': 'AUGGfZlTSSYTyWchyUSoqMR336qyy34LQKNKFs2bSu4ixn_ffBr49sXX__gVCPKFhWbcSyZHnBACWgoLvWi76LjMavTX1pY-uDYbj80Z7dn5CboWSiy5Yzz5Rmv0O4qnxtKfxsVum2KuQnxuB4Zo96pO_955cbzVRdH5PaZU4u1MnktQrSL8', 'width': 3792}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJr0RoZEqnei4Rp-gXHIlTwV8
OPERATIONAL,"JQWQ+RCH, Gunungsari, Jebengplampitan, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.352938300000001, 'lng': 109.7886112}, 'viewport': {'northeast': {'lat': -7.351663670107278, 'lng': 109.7897559298927}, 'southwest': {'lat': -7.354363329892722, 'lng': 109.7870562701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pucung jebengplampitan,ChIJNZ6pmW-nei4RNbBN1kiBM3w,4.5,ChIJNZ6pmW-nei4RNbBN1kiBM3w,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,,https://www.google.com/maps/place/?q=place_id:ChIJNZ6pmW-nei4RNbBN1kiBM3w
OPERATIONAL,"Jl. Raya Sukoharjo No.70, Sukawera, Rogojati, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.403295099999999, 'lng': 109.7821652}, 'viewport': {'northeast': {'lat': -7.401660320107277, 'lng': 109.7836255798927}, 'southwest': {'lat': -7.404359979892721, 'lng': 109.7809259201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Raganala Water Park,ChIJZfQ03g2nei4Ra4XRuktU0A4,4.4,ChIJZfQ03g2nei4Ra4XRuktU0A4,"['tourist_attraction', 'point_of_interest', 'establishment']",107,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109483750864728076755"">teguh ardi</a>'], 'photo_reference': 'AUGGfZlM8QhNB0eF-klURryK4WuiaNLfvDL7Sj3jHQAjRqSjihjCDyJW-YTjEYzHDFnXAYEnc2ztcUx98U6Nk842m_HlPTwQI2eYBUTYZ6HScmck7_DPZuQuG60dZv6ME44sndIfa30hGZepNmvsudMqNQRM7EGm0q0pGUqBtACrFj_mq-IO', 'width': 3264}]",{'open_now': False},"{'compound_code': 'HQWJ+MV Rogojati, Wonosobo Regency, Central Java, Indonesia', 'global_code': '6P4FHQWJ+MV'}",,https://www.google.com/maps/place/?q=place_id:ChIJZfQ03g2nei4Ra4XRuktU0A4
CLOSED_TEMPORARILY,"JR29+3JX, Kupangan, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.399755300000001, 'lng': 109.8191071}, 'viewport': {'northeast': {'lat': -7.398403870107276, 'lng': 109.8203482798927}, 'southwest': {'lat': -7.40110352989272, 'lng': 109.8176486201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yeye,ChIJj101Tsenei4RygABqAKvgws,5.0,ChIJj101Tsenei4RygABqAKvgws,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,True,https://www.google.com/maps/place/?q=place_id:ChIJj101Tsenei4RygABqAKvgws
CLOSED_TEMPORARILY,"JR85+JWC, Gerdiah, Gunungtugel, Kec. Sukoharjo, Kabupaten Wonosobo, Jawa Tengah 56362, Indonesia","{'location': {'lat': -7.383433800000001, 'lng': 109.8097683}, 'viewport': {'northeast': {'lat': -7.38198662010728, 'lng': 109.8113514798927}, 'southwest': {'lat': -7.384686279892724, 'lng': 109.8086518201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Buh Baser,ChIJGQxMtmWnei4Ro0g80WfEpI4,0.0,ChIJGQxMtmWnei4Ro0g80WfEpI4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,True,https://www.google.com/maps/place/?q=place_id:ChIJGQxMtmWnei4Ro0g80WfEpI4
