business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,plus_code,price_level,permanently_closed,url
OPERATIONAL,"QXP8+GP4, Manggar Baru, Balikpapan Timur, Balikpapan City, East Kalimantan 76117, Indonesia","{'location': {'lat': -1.2137165, 'lng': 116.9668352}, 'viewport': {'northeast': {'lat': -1.212363170107278, 'lng': 116.9681890798928}, 'southwest': {'lat': -1.215062829892722, 'lng': 116.9654894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pusat pengembangan kelinci pedaging di Manggar baru Balikpapan timur,{'open_now': True},ChIJqcN2Le1P8S0R93iUsrMffE4,5.0,ChIJqcN2Le1P8S0R93iUsrMffE4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJqcN2Le1P8S0R93iUsrMffE4
OPERATIONAL,"Sei Manggar Teluk 1000, Manggar Baru, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur 76116, Indonesia","{'location': {'lat': -1.2017327, 'lng': 116.9632262}, 'viewport': {'northeast': {'lat': -1.200352870107278, 'lng': 116.9647470298927}, 'southwest': {'lat': -1.203052529892722, 'lng': 116.9620473701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA BAHARI Teluk 1000,{'open_now': True},ChIJDa2OhndP8S0RWIU89Gf1oO8,5.0,ChIJDa2OhndP8S0RWIU89Gf1oO8,"['tourist_attraction', 'point_of_interest', 'establishment']",8,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110963993231747438685"">A Google User</a>'], 'photo_reference': 'AUGGfZmdVUzqTEf38MCCFGQ0uu2FnD67eGSuTuwwRhzXG_fziLeFPcJv94yfh6hSXtvytbMUNJnoMynSe3iQnAXbtM7AxxYKwdKUGnnv8T0ic8iu1NLw6hJS9s_MFV_c79TJ86bzoUwyU7vZYAcjbSHx_7tkHTpkzi0_85k3R1FOFAg3MtFI', 'width': 4032}]","{'compound_code': 'QXX7+87 Manggar Baru, Balikpapan City, East Kalimantan, Indonesia', 'global_code': '6PCRQXX7+87'}",,,https://www.google.com/maps/place/?q=place_id:ChIJDa2OhndP8S0RWIU89Gf1oO8
OPERATIONAL,"QXWG+RXQ, Gg. Kangkung, Lamaru, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur 76117, Indonesia","{'location': {'lat': -1.2029566, 'lng': 116.9774689}, 'viewport': {'northeast': {'lat': -1.201608420107278, 'lng': 116.9788174798927}, 'southwest': {'lat': -1.204308079892722, 'lng': 116.9761178201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kampoeng Kenangan,{'open_now': True},ChIJKw63iItP8S0Rq9_lGv4r8Vc,4.6,ChIJKw63iItP8S0Rq9_lGv4r8Vc,"['tourist_attraction', 'point_of_interest', 'establishment']",18,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110898080269539446058"">Andri Fahriza</a>'], 'photo_reference': 'AUGGfZnSp_vcxLKYKDCDtbGeEIwdF4rJCKPuQeOrxmIjAaT6xc4-rMuCgpPwUS5n-AIYZsgiMdxPVdVvhopYONQXDzjvRuuaoPtmifOARf7Z6j9vt4wXotFBeNJxeQHBTrOhxscMpd7_YpOTqBmKqqhaHL4tgnp990UwUT3qByPyVaKAwQ9L', 'width': 2048}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJKw63iItP8S0Rq9_lGv4r8Vc
OPERATIONAL,"QWPR+9G, Manggar, Balikpapan Timur, Balikpapan City, East Kalimantan 76116, Indonesia","{'location': {'lat': -1.2136058, 'lng': 116.9415752}, 'viewport': {'northeast': {'lat': -1.211782920107278, 'lng': 116.9428654298927}, 'southwest': {'lat': -1.214482579892722, 'lng': 116.9401657701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kalasenja Outdoors,{'open_now': True},ChIJ59jhkeVP8S0Rhu-LptY2g_E,5.0,ChIJ59jhkeVP8S0Rhu-LptY2g_E,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109417823848187621824"">A Google User</a>'], 'photo_reference': 'AUGGfZm-JRpXEnke4HP72wJf5Z76SYqLMp5q0-deUc4zVRGGKy-dgCzcfYsiD0sj4L-p3YkCpZQhufS-xUNBClMa3dZwScrBjoj7MVACHfoaIyJ1APO32Hsv_R0cCX2dWijlvWwQd1DlhrLjbmMZ099IYOhlSQguGvBWgiVviW_nStAChdPo', 'width': 4624}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ59jhkeVP8S0Rhu-LptY2g_E
OPERATIONAL,"QXP5+9W5, Kebun Lape, Manggar, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur, Indonesia","{'location': {'lat': -1.2141217, 'lng': 116.9598648}, 'viewport': {'northeast': {'lat': -1.212644970107278, 'lng': 116.9611690298927}, 'southwest': {'lat': -1.215344629892722, 'lng': 116.9584693701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Titik,,ChIJmcQiXlVP8S0RyrpiNABJpe8,0.0,ChIJmcQiXlVP8S0RyrpiNABJpe8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJmcQiXlVP8S0RyrpiNABJpe8
OPERATIONAL,"QWWP+65Q, Manggar, Balikpapan Timur, Balikpapan City, East Kalimantan 76117, Indonesia","{'location': {'lat': -1.2044125, 'lng': 116.9354844}, 'viewport': {'northeast': {'lat': -1.203028670107278, 'lng': 116.9369002298927}, 'southwest': {'lat': -1.205728329892722, 'lng': 116.9342005701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sunset Point The Peak,{'open_now': True},ChIJ-Sa4MwBP8S0RVm0y3qsMUQU,5.0,ChIJ-Sa4MwBP8S0RVm0y3qsMUQU,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101572441893931096256"">Yan Hansel Lauw</a>'], 'photo_reference': 'AUGGfZk4lLsJGbNOVgNM_ZRYKWy4rlzaKBu7u1C8lxNAaDlUR7Gp8WJPxlKO3to2oE7ZQJ4FmqTHoZ23LHDcp8HIaHu7lHOyVwpM_WbG95H4z7l30vriGW4KHfZsiRS-6aqEKnd00y9Ox5iZ7Wt7yLqUIUrdf2BPe3-kKu8NbeC4tkN3BdNM', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ-Sa4MwBP8S0RVm0y3qsMUQU
OPERATIONAL,"QXF9+RMF, Jl. Lumba - Lumba, Manggar Baru, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur, Indonesia","{'location': {'lat': -1.2259928, 'lng': 116.969723}, 'viewport': {'northeast': {'lat': -1.224530770107278, 'lng': 116.9709560798927}, 'southwest': {'lat': -1.227230429892722, 'lng': 116.9682564201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gazebo Mama Lika,{'open_now': True},ChIJa5qUKwBF8S0Rmdw_anXUCro,5.0,ChIJa5qUKwBF8S0Rmdw_anXUCro,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJa5qUKwBF8S0Rmdw_anXUCro
OPERATIONAL,"RWHV+RJ6, Lamaru, Balikpapan Timur, Balikpapan City, East Kalimantan 76117, Indonesia","{'location': {'lat': -1.1704631, 'lng': 116.9440033}, 'viewport': {'northeast': {'lat': -1.169113270107278, 'lng': 116.9453531298927}, 'southwest': {'lat': -1.171812929892722, 'lng': 116.9426534701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun dan ternak nabawi,{'open_now': True},ChIJ5bMTNnVP8S0R-k76ooVlVOc,0.0,ChIJ5bMTNnVP8S0R-k76ooVlVOc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 767, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107639583465919542385"">Amelia anawai</a>'], 'photo_reference': 'AUGGfZl-DT99tPNMUIG8NOUwQRYo7ZIBFy0eL3pkrl_GtTn2C0UDXUthrv1ZJpbZjGNBpReBRiz-d-i-bTaMr730QBU6ncw4au4t_ckhSHVbcjCDHDUush7EYPt0il8ggRkJfm7kAUvv61vUXu_WqL8GiNGfTf-S_MHStJi5P-J4v5QLmuIt', 'width': 767}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ5bMTNnVP8S0R-k76ooVlVOc
OPERATIONAL,"RXG5+P7, Lamaru, Balikpapan Timur, Balikpapan City, East Kalimantan 76117, Indonesia","{'location': {'lat': -1.1739117, 'lng': 116.9584133}, 'viewport': {'northeast': {'lat': -1.172564570107278, 'lng': 116.9597586798927}, 'southwest': {'lat': -1.175264229892722, 'lng': 116.9570590201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Budidaya lebah kelulut,{'open_now': True},ChIJ468kbPBP8S0RmOxnN9BaPB4,0.0,ChIJ468kbPBP8S0RmOxnN9BaPB4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102136992478170331794"">A Google User</a>'], 'photo_reference': 'AUGGfZmXXvPKVjLV3W6kyQymTWv47WuNiNta9r0kUl0kGbtaSsGpGJ98d94Pqnfkg5646Ngh0ZVsQwXC_1WwGQWS_pCdj5enxUgCx-VXI_710_ylI80mS_ZnqqrHk4tDdvt_Ye1ufKmdt8eCn9Br1Y5Pgq-UD8OJOhlhJ9pj_gYe7uU7T2B4', 'width': 3264}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ468kbPBP8S0RmOxnN9BaPB4
OPERATIONAL,"QXX7+88G, Manggar Baru, Balikpapan Timur, Balikpapan City, East Kalimantan 76117, Indonesia","{'location': {'lat': -1.2017417, 'lng': 116.9633983}, 'viewport': {'northeast': {'lat': -1.200372220107278, 'lng': 116.9648339798927}, 'southwest': {'lat': -1.203071879892722, 'lng': 116.9621343201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Teluk 1000,{'open_now': True},ChIJXfLfO41P8S0RQm6VJkC6P4c,5.0,ChIJXfLfO41P8S0RQm6VJkC6P4c,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111212167630163221229"">Brams Sejati</a>'], 'photo_reference': 'AUGGfZnTK-CwnoQTH055agS6OnW-4pGk6uJ2Rx6F5I764Lyer5GDJhp2Woy-Emj7W4hovoTsGXkNB9stRTynhdXtsqO-q7yk5CS-Bs7o4PCPOCGdq7Uiizf6P1iPE0DSlt-JmA3ut9gT00rzIOiuEJF7a9FJ37zQMzTsXvMESOBKFmkmFOpx', 'width': 4096}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJXfLfO41P8S0RQm6VJkC6P4c
