business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,opening_hours,url
OPERATIONAL,"Indonesia, Peunyeurat, Kec. Banda Raya, Kota Banda Aceh, Aceh 23117, Indonesia","{'location': {'lat': 5.5300479, 'lng': 95.32332129999999}, 'viewport': {'northeast': {'lat': 5.531428079892722, 'lng': 95.32450232989274}, 'southwest': {'lat': 5.528728420107278, 'lng': 95.32180267010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Tiongkok,ChIJWeiqCvM5QDARqgnfDyXgExI,"{'compound_code': 'G8JF+28 Peunyeurat, Banda Aceh City, Aceh, Indonesia', 'global_code': '6MQQG8JF+28'}",4.0,ChIJWeiqCvM5QDARqgnfDyXgExI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJWeiqCvM5QDARqgnfDyXgExI
OPERATIONAL,"G8V3+CV4, Jl. Cot Aron I, Punge Blang Cut, Kec. Jaya Baru, Kota Banda Aceh, Aceh 23116, Indonesia","{'location': {'lat': 5.5435192, 'lng': 95.30471469999999}, 'viewport': {'northeast': {'lat': 5.544879179892722, 'lng': 95.30606207989271}, 'southwest': {'lat': 5.542179520107278, 'lng': 95.30336242010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Warung bang Nazar,ChIJtfa5ZPExQDARAiFk44vJAE8,,5.0,ChIJtfa5ZPExQDARAiFk44vJAE8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111174668185733419100"">A Google User</a>'], 'photo_reference': 'AUGGfZlOM8CsrduDCVvMWqpM2xWzd9EfNpesFfDxxxF8xZRpXxN9WUuENcrvJLSFaphXncNnFx6_40_BSavm-Ff4nEJToaHgcCZ_BT_ZF_7ST_VeUpOyl3JsTB0nouu2jGLCeWCFV6lh4cRuQZoXtWqd29ChNX0ib1oCiixJoUJE9DaD3wxZ', 'width': 2988}]",,https://www.google.com/maps/place/?q=place_id:ChIJtfa5ZPExQDARAiFk44vJAE8
OPERATIONAL,"Kampung Baru, Baiturrahman, Banda Aceh City, Aceh 23116, Indonesia","{'location': {'lat': 5.5502495, 'lng': 95.31725259999999}, 'viewport': {'northeast': {'lat': 5.551592029892721, 'lng': 95.31869392989272}, 'southwest': {'lat': 5.548892370107277, 'lng': 95.31599427010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,The Park Of Kings - بستان السلاطين - Bustan Al Salatin,ChIJXU88P043QDARua57FhzQcmA,"{'compound_code': 'H828+3W Kampung Baru, Banda Aceh City, Aceh, Indonesia', 'global_code': '6MQQH828+3W'}",4.3,ChIJXU88P043QDARua57FhzQcmA,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1429,"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104549268547231377299"">Dodi Kurniawan</a>'], 'photo_reference': 'AUGGfZn2unepJJhyYlPvvmBHjAhfde6SqJgpVSPP11wA673_Ybirc2T52CgX6KodQ0sRYz8UP-adJLGYOVkeYIRrTPvlM9r7UB0ONU9rzrp8AS5jxXfKZbLQuUkpdkowjLLuI3fKsa456QTrSbxcbPJ3Vgu9zm-iV2j47hw8_xa9uQHL731c', 'width': 9000}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJXU88P043QDARua57FhzQcmA
OPERATIONAL,"Bitai, Jaya Baru, Banda Aceh City, Aceh, Indonesia","{'location': {'lat': 5.5379974, 'lng': 95.2919879}, 'viewport': {'northeast': {'lat': 5.539348479892721, 'lng': 95.29333792989272}, 'southwest': {'lat': 5.536648820107277, 'lng': 95.29063827010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Museum Puspiatur,ChIJv1WaotY7QDAREuZdYKTqnLE,"{'compound_code': 'G7QR+5Q Bitai, Banda Aceh City, Aceh, Indonesia', 'global_code': '6MQQG7QR+5Q'}",0.0,ChIJv1WaotY7QDAREuZdYKTqnLE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 2016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109746254188758045084"">A Google User</a>'], 'photo_reference': 'AUGGfZlfxNC586cw8hrtUOk0K8WrHCn2AZtaluuyR1awpH0wX5imTxe4XwBFEEIe3LOuJoOwUygPL_HHHrXOTjn7udLxFyvLnAZwjaTClY5d9z8_Rvcxk6oGEkSTRjcmtG5xXLuZlUgfXrQqCj9Qwp6lR7PMLyPVFeEPI0IvQM1e_fvFRUej', 'width': 1008}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJv1WaotY7QDAREuZdYKTqnLE
OPERATIONAL,"madon km 8 sp kramat, Jl. Cot Raya, Gampong Baro, Kec. Meuraxa, Kota Banda Aceh, Aceh, Indonesia","{'location': {'lat': 5.5478663, 'lng': 95.3000261}, 'viewport': {'northeast': {'lat': 5.549220179892722, 'lng': 95.30140727989273}, 'southwest': {'lat': 5.546520520107278, 'lng': 95.29870762010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok cabe indah bukit cinta,ChIJCf8n8NUxQDARfA3XxCnDvms,,0.0,ChIJCf8n8NUxQDARfA3XxCnDvms,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJCf8n8NUxQDARfA3XxCnDvms
OPERATIONAL,"H8M7+2MR, Gampong Pande, Kuta Raja, Banda Aceh City, Aceh, Indonesia","{'location': {'lat': 5.5826227, 'lng': 95.3141429}, 'viewport': {'northeast': {'lat': 5.584016879892721, 'lng': 95.31555527989273}, 'southwest': {'lat': 5.581317220107278, 'lng': 95.3128556201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Titik Nol | Kota Banda Aceh,ChIJ____Py83QDARo8wpaLNJLNQ,,4.4,ChIJ____Py83QDARo8wpaLNJLNQ,"['tourist_attraction', 'point_of_interest', 'establishment']",522,"[{'height': 3048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103528729955179533609"">Tototo Tatata</a>'], 'photo_reference': 'AUGGfZlgaSQWcK1OryeaYidGrzNKBPHDy2KAN_d-YAJE8ackxpsUcmaY_y_YqF6ZTNjMuL_7EhPpe_G_pSi7V7cpqM1OWBSTkxJBKk8F6pBfgtb01KRAh3heeafQAKQKAKHYqgq84V0992ZXPqp0tC9H-9cNywpWwZKOkItfv-rJQUsQyfge', 'width': 4064}]",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ____Py83QDARo8wpaLNJLNQ
OPERATIONAL,"Jl. Merapi No.37, Sukaramai, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116, Indonesia","{'location': {'lat': 5.5460001, 'lng': 95.3162545}, 'viewport': {'northeast': {'lat': 5.547349929892722, 'lng': 95.31760432989272}, 'southwest': {'lat': 5.544650270107279, 'lng': 95.31490467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Putroe Phang Park,ChIJwbMCg1E3QDAR0SsOQ8cmaHk,"{'compound_code': 'G8W8+CG Sukaramai, Banda Aceh City, Aceh, Indonesia', 'global_code': '6MQQG8W8+CG'}",4.4,ChIJwbMCg1E3QDAR0SsOQ8cmaHk,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",813,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107288325584872301752"">djamal sharief</a>'], 'photo_reference': 'AUGGfZlyY-_0-MCHPL1W5L-cI7F8o3ekzUPtPjksZKY42WTNDy64ft54m3V_oNm4QfqlrWmTqZ5HsaSE9f6rQmh_BqiXOXVYYXJm1QWrEPRpZV51zpfCpk2tRe07GuPRNsJ34DRR9JVvoK_jFnouS6mjuEbP4tahr7BzlsZws9pRN-xa7K3z', 'width': 4128}]",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJwbMCg1E3QDAR0SsOQ8cmaHk
OPERATIONAL,"Jl. Sultan Iskandar Muda No.16, Kp. Baru, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116, Indonesia","{'location': {'lat': 5.5491063, 'lng': 95.31295039999999}, 'viewport': {'northeast': {'lat': 5.550362879892721, 'lng': 95.31428047989273}, 'southwest': {'lat': 5.547663220107277, 'lng': 95.31158082010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monumen Pesawat Pertama Indonesia,ChIJfRmAGQA3QDARtdc05ATGi-I,"{'compound_code': 'G8X7+M5 Kampung Baru, Banda Aceh City, Aceh, Indonesia', 'global_code': '6MQQG8X7+M5'}",0.0,ChIJfRmAGQA3QDARtdc05ATGi-I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJfRmAGQA3QDARtdc05ATGi-I
OPERATIONAL,"H827+43W, Lap. Blang Padang, Balai Kota, Kp. Baru, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116, Indonesia","{'location': {'lat': 5.5503502, 'lng': 95.3127038}, 'viewport': {'northeast': {'lat': 5.551677429892722, 'lng': 95.31412827989271}, 'southwest': {'lat': 5.548977770107278, 'lng': 95.31142862010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Aceh Thanks to the World Monument,ChIJJ2ViCE03QDARZLd73QLHQP4,,4.7,ChIJJ2ViCE03QDARZLd73QLHQP4,"['tourist_attraction', 'point_of_interest', 'establishment']",121,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114492877112565521501"">Irfan Mnur</a>'], 'photo_reference': 'AUGGfZkYhe_l2F7gDDduiC35SS4QCxL1NiN-jITYA-YwXpowwX0FLFRyjybdhZjYG54dRnnJdBtK4_3UOdUZv3gObaYPDc4z5ezqohJnhJ4Ore37CIcrrgfNix_O7aHgxR70pKLnZaZHk3YhYFyZQsre_TSxnB_Do4LgWMzCmyzGzGWx1Dfv', 'width': 2048}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJJ2ViCE03QDARZLd73QLHQP4
OPERATIONAL,"G8W8+QJM, Kampung Baru, Baiturrahman, Banda Aceh City, Aceh 23116, Indonesia","{'location': {'lat': 5.546820299999999, 'lng': 95.3164705}, 'viewport': {'northeast': {'lat': 5.548142429892722, 'lng': 95.31792717989273}, 'southwest': {'lat': 5.545442770107278, 'lng': 95.31522752010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Hutan kota,ChIJPZEjWRQ3QDARsBYYpvEsr8o,,4.3,ChIJPZEjWRQ3QDARsBYYpvEsr8o,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108335143570283749404"">Maswanto Aceh</a>'], 'photo_reference': 'AUGGfZnQe7_i2JODnLzX3UQ0s5PZPR8HGWi6Z3hGpa2WXWfpYrwFQDhzMt-1-Hzwc7quw1p-4DZ3fsSyRUXMKydtNee7JLZB0JYC87ebbP-rM4K1tGbw7zJgF7k9bVFenf47sZGScbQAxVI3a53Ic8tiwj20FZAIhwQ4FbeXpWFgELkaVUHt', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJPZEjWRQ3QDARsBYYpvEsr8o
OPERATIONAL,"G8XF+472, Peuniti, Baiturrahman, Banda Aceh City, Aceh, Indonesia","{'location': {'lat': 5.5477627, 'lng': 95.32312739999999}, 'viewport': {'northeast': {'lat': 5.549118579892721, 'lng': 95.32444222989271}, 'southwest': {'lat': 5.546418920107278, 'lng': 95.32174257010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Banda aceh,ChIJM5zHj_k3QDARXUQ_MnfYvsk,,5.0,ChIJM5zHj_k3QDARXUQ_MnfYvsk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJM5zHj_k3QDARXUQ_MnfYvsk
OPERATIONAL,"G8XC+P66, Peuniti, Baiturrahman, Banda Aceh City, Aceh 23127, Indonesia","{'location': {'lat': 5.5492757, 'lng': 95.3205176}, 'viewport': {'northeast': {'lat': 5.550622829892721, 'lng': 95.32195567989271}, 'southwest': {'lat': 5.547923170107278, 'lng': 95.31925602010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Krueng Daroy,ChIJ6YQZiEU3QDARSBDoINzCqDw,,4.4,ChIJ6YQZiEU3QDARSBDoINzCqDw,"['tourist_attraction', 'point_of_interest', 'establishment']",41,"[{'height': 272, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105769300316425381208"">Fauzi Pasar Atjeh</a>'], 'photo_reference': 'AUGGfZmEDnQ7pRrUqlyb8Agf27H7p5r6xZnpAf9faDYz5cXgpPNREegnYACjGEXYVqEYs7m6olliiXz80Q4yZLV0h3ZVmmRiKY_PIyAbOQHgSXTfllVJmDMSHC7a93vLK8J9Csm9Audju5iQ-cOrubgps9kRSJsmYtHIpdDGhASq9NbGooMm', 'width': 470}]",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ6YQZiEU3QDARSBDoINzCqDw
OPERATIONAL,"Lampeot, Jl. Soekarno - Hatta No.02, Kec. Banda Raya, Kota Banda Aceh, Aceh 23239, Indonesia","{'location': {'lat': 5.518354, 'lng': 95.31286519999999}, 'viewport': {'northeast': {'lat': 5.519742979892722, 'lng': 95.31422372989272}, 'southwest': {'lat': 5.517043320107278, 'lng': 95.31152407010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rental bus pariwisata banda aceh || Sultan tour,ChIJYxDl4C03QDARehWeTFSZS5k,"{'compound_code': 'G897+84 Lam Ara, Banda Aceh City, Aceh, Indonesia', 'global_code': '6MQQG897+84'}",4.9,ChIJYxDl4C03QDARehWeTFSZS5k,"['tourist_attraction', 'point_of_interest', 'establishment']",36,"[{'height': 854, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100920363468015284788"">A Google User</a>'], 'photo_reference': 'AUGGfZn485mMKv6VHMWcBhSBuSRLZfdm4EP2FCwii7YSf9slp4-Cx59HQlarp_ycAeiZxcEGpH30qSXuBjrVuX0XwDHzfBrqx585pHmU8g3XIMhs3t4JxF12Awp-US7kmNRrYtrIXwsyW_q8052huFREu3T6rIBjiqTEPjLYlhd5_rk5G7P2', 'width': 1280}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJYxDl4C03QDARehWeTFSZS5k
OPERATIONAL,"H829+MPP, Kampung Baru, Baiturrahman, Banda Aceh City, Aceh 23127, Indonesia","{'location': {'lat': 5.5517191, 'lng': 95.3193261}, 'viewport': {'northeast': {'lat': 5.553042279892722, 'lng': 95.32063397989272}, 'southwest': {'lat': 5.550342620107278, 'lng': 95.31793432010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monument of Steam Loc ( Kikansha - 機関車 ) Nippon Sharyo BB84,ChIJZ1u-Ek83QDAR0cyoCkVCQcM,,4.1,ChIJZ1u-Ek83QDAR0cyoCkVCQcM,"['tourist_attraction', 'point_of_interest', 'establishment']",82,"[{'height': 3739, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104665921325893443367"">Dhikril Hakim</a>'], 'photo_reference': 'AUGGfZm9Fyaa40YqHOFmGaO8OKdmeoy9z5alxSrINgZ-K9zdsvjSMPo2cplSfZvi2JWD6qhzFt49rsfebPnDnDjw1in6XpPrxOiHjmtxPvjRANu0K9ULE2t5C2O5MIwZ2P3TTSVmzwAC0MLI75lntfdjgQ-vDTdulx_5JGHA96ovTroQrvG3', 'width': 2637}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJZ1u-Ek83QDAR0cyoCkVCQcM
OPERATIONAL,"H854+JXP, Lampaseh Aceh, Meuraxa, Banda Aceh City, Aceh, Indonesia","{'location': {'lat': 5.559098199999999, 'lng': 95.3074419}, 'viewport': {'northeast': {'lat': 5.56044567989272, 'lng': 95.30861077989272}, 'southwest': {'lat': 5.557746020107277, 'lng': 95.30591112010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mau bearangkt,ChIJ5wlqRgAxQDAR85uZzRzWtWc,,0.0,ChIJ5wlqRgAxQDAR85uZzRzWtWc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ5wlqRgAxQDAR85uZzRzWtWc
OPERATIONAL,"H889+QF3, Mulia, Kuta Alam, Banda Aceh City, Aceh 23123, Indonesia","{'location': {'lat': 5.566882, 'lng': 95.3184619}, 'viewport': {'northeast': {'lat': 5.568234079892722, 'lng': 95.31977447989273}, 'southwest': {'lat': 5.565534420107278, 'lng': 95.31707482010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Andi Saputra,ChIJJYwgsaQ3QDAROS_yLu9XEUo,,5.0,ChIJJYwgsaQ3QDAROS_yLu9XEUo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 983, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109658089918577968777"">Andi Saputra</a>'], 'photo_reference': 'AUGGfZknM-hH-7PE4FrVDvZgicaHXe1e6oLtH2SBPmgX9cxHnfNvGa3H87QTaBAWe_0FSFdQ85qy65JU8qL6pkVQ7dRZdv8F3DuHIqvDnNKK1DcDXJh8uiGE7HdrZRd3GPd-mG9gaSWhXlFwuNtykVYerSq9O0_4v-UKM953Zo0-_w-6T2V9', 'width': 692}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJJYwgsaQ3QDAROS_yLu9XEUo
OPERATIONAL,"G8XF+8G6, Peuniti, Baiturrahman, Banda Aceh City, Aceh 23127, Indonesia","{'location': {'lat': 5.5482887, 'lng': 95.3237741}, 'viewport': {'northeast': {'lat': 5.549629329892722, 'lng': 95.32517162989271}, 'southwest': {'lat': 5.546929670107278, 'lng': 95.32247197010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Adat Aceh,ChIJI0PTTHI3QDAR1KbWWvuM4kQ,,3.8,ChIJI0PTTHI3QDAR1KbWWvuM4kQ,"['tourist_attraction', 'point_of_interest', 'establishment']",8,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110288242350608241049"">A Google User</a>'], 'photo_reference': 'AUGGfZmKbUtE9eLvHDzSACi20ryRGno5h9uuZfSBIGMOTJhvE9gEFEIF7F1dUfJ8bItRPHUAuDbAj4uIw0mTYsZGK2LX3PNeULQDgXvKsAcYbAgRCeHYrDkVbaY54Hcbal0hiZSzU_Z4K5gIaiGrh5_Srzxw3Tmk4fHJprYei2yzIOy5H3In', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJI0PTTHI3QDAR1KbWWvuM4kQ
