business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"H6HH+R98, Jl. PB. Marga, Sukadana Ham, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35215, Indonesia","{'location': {'lat': -5.4204737, 'lng': 105.2284425}, 'viewport': {'northeast': {'lat': -5.419093070107277, 'lng': 105.2297268798927}, 'southwest': {'lat': -5.421792729892721, 'lng': 105.2270272201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Mas,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116057938131868776740"">Ricky Irwanto</a>'], 'photo_reference': 'AUGGfZmQazEC_SL7-rTfDUGC89f3llptVr31jdheMYZcRC7q0RZjnLlQWebZ8Yjn1WhnQhpGF6_dxq6h7TQJVBlJ9rh0_68qjQ-54tNVNwz2NuwCy0pokPoyJTQoUkLRAIFm9Bk9Vpq8SAMK6Ew2iYeRPbkd2RK6cWZgbmtcRU9lBmCgpdnA', 'width': 4000}]",ChIJW8B8_HDaQC4RCr0rInFVx0U,4.4,ChIJW8B8_HDaQC4RCr0rInFVx0U,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",12908,,,https://www.google.com/maps/place/?q=place_id:ChIJW8B8_HDaQC4RCr0rInFVx0U
OPERATIONAL,"H6HJ+6M5, Jl. H. Hasan Rais, Sukadana Ham, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35116, Indonesia","{'location': {'lat': -5.4219867, 'lng': 105.2317225}, 'viewport': {'northeast': {'lat': -5.420660420107278, 'lng': 105.2330692798927}, 'southwest': {'lat': -5.423360079892722, 'lng': 105.2303696201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alam Wawai,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109790633475241886565"">Fella Supazaein</a>'], 'photo_reference': 'AUGGfZm7J_J8wpf-aeaIlEBZy_DlksqOSXiJpQcjk8gu0KlnmqMu7hgVvIwHCF-b1cl90Zpr3RmPBqB-rMDvFcXXcmR4lWEIypwwISUziijQl8sWKr1vdF_D6_BZGDqYm0Ivg3zE4cc3ae4iyv4xFix_7gtVnWzPMEFFqM4-PPW7BztP8SFL', 'width': 4160}]",ChIJYauXhHvaQC4RYlyMOq8BbO4,4.2,ChIJYauXhHvaQC4RYlyMOq8BbO4,"['tourist_attraction', 'point_of_interest', 'establishment']",278,,,https://www.google.com/maps/place/?q=place_id:ChIJYauXhHvaQC4RYlyMOq8BbO4
OPERATIONAL,"H6PJ+7V5, Sukadana Ham, Tanjungkarang Barat, Bandar Lampung City, Lampung 35116, Indonesia","{'location': {'lat': -5.414356499999999, 'lng': 105.2322331}, 'viewport': {'northeast': {'lat': -5.412938370107279, 'lng': 105.2337457298927}, 'southwest': {'lat': -5.415638029892722, 'lng': 105.2310460701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Lembah Hijau,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118013481584174687520"">A Google User</a>'], 'photo_reference': 'AUGGfZlRvoRbrLu4cz30AAmoTmIngu0RFJdGaTXY1jKvSdNqUYfTSgk3X4VwOYOoA3TId94f0drHns_SvAvsySHP69-nYdrlxnr9eaWI9AEFjQO4kkh6gzsQsbCetp1hB5qnhh2nRFr5pq72KbPLdnua6Xv0jswGE_sShkW9R4dX9dzMRolt', 'width': 3016}]",ChIJSXS6uGTaQC4Rkm507-U-92Y,4.2,ChIJSXS6uGTaQC4Rkm507-U-92Y,"['tourist_attraction', 'point_of_interest', 'establishment']",908,,,https://www.google.com/maps/place/?q=place_id:ChIJSXS6uGTaQC4Rkm507-U-92Y
OPERATIONAL,"H6F9+38M, Sukadana Ham, Tanjungkarang Barat, Bandar Lampung City, Lampung 35156, Indonesia","{'location': {'lat': -5.427283399999999, 'lng': 105.2182887}, 'viewport': {'northeast': {'lat': -5.426510570107278, 'lng': 105.2194233}, 'southwest': {'lat': -5.429210229892722, 'lng': 105.2148849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Putu Waterfall,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107450539494023282788"">Usman Rizal</a>'], 'photo_reference': 'AUGGfZkwiqtfLgXkQxRTXVgFdGEbUanCbeVOH2_NbLAxosOP5XY8ygPAYVN2h-XI-nv0ubWXrA7N24d32OwrITQ95Qc9JujJKHyN7e4zquhYpoRluP0iXpDarCyoTa90T7YW7s2bLDQUCliGFQC3XbIS-bDbepPfWwGVuz3pK4Zdj0Tf5pYF', 'width': 4160}]",ChIJrTqzzAraQC4RfzFmbvOlRnQ,4.0,ChIJrTqzzAraQC4RfzFmbvOlRnQ,"['tourist_attraction', 'point_of_interest', 'establishment']",376,,,https://www.google.com/maps/place/?q=place_id:ChIJrTqzzAraQC4RfzFmbvOlRnQ
OPERATIONAL,"Jl. Raden Imba Kusuma Ratu No.21, Sukadana Ham, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 52473, Indonesia","{'location': {'lat': -5.4157651, 'lng': 105.2307269}, 'viewport': {'northeast': {'lat': -5.414418570107277, 'lng': 105.2320847298927}, 'southwest': {'lat': -5.417118229892722, 'lng': 105.2293850701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lembah Hijau,{'open_now': False},"[{'height': 364, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101544092889588906365"">Mandiri Kemang</a>'], 'photo_reference': 'AUGGfZlAZI-7DvKOk55BYbD4cOBYxFFSrJd-6dwNYfPUn68ebGECkWTKV-GlvKbbihUe8KKIfu1Y015BA79RNL_6hITDQadSOOkjJsIbV1BnGvxrVbTr1A16xld5RzKTIFQwGr4wit4aVlZGl50HHicMIbbnUn68OTfrd-ufaSE6y6zsO-c', 'width': 656}]",ChIJqTP3TW3bQC4RY3c6du0M7-o,4.3,ChIJqTP3TW3bQC4RY3c6du0M7-o,"['tourist_attraction', 'point_of_interest', 'establishment']",4477,"{'compound_code': 'H6MJ+M7 Sukadana Ham, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67H6MJ+M7'}",,https://www.google.com/maps/place/?q=place_id:ChIJqTP3TW3bQC4RY3c6du0M7-o
OPERATIONAL,"Segala Mider, Tanjungkarang Barat, Bandar Lampung City, Lampung 35118, Indonesia","{'location': {'lat': -5.399044600000001, 'lng': 105.2412023}, 'viewport': {'northeast': {'lat': -5.398253370107278, 'lng': 105.2429008298927}, 'southwest': {'lat': -5.400953029892722, 'lng': 105.2402011701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Kucing,{'open_now': True},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112518836493326445890"">A Google User</a>'], 'photo_reference': 'AUGGfZnwljq55QJdWV8eaDZWITs8VMsxUhagDUv7symqKEPkbGqf_zKz2BqcG5pVV6xFI8bIiZbgqKjJlmUXcZpsIU5s03MjTUlh9WETSF8JJFCWT4Iiy1cpQoV1NXXxpdgIRMmEclA5HJ0I5JoX7hTyTegBHbDsdP2u2aUjUicPN-CxuhJ-', 'width': 4624}]",ChIJ6Z3KVNvbQC4R8T9LmXCp1lE,4.5,ChIJ6Z3KVNvbQC4R8T9LmXCp1lE,"['tourist_attraction', 'point_of_interest', 'establishment']",35,"{'compound_code': 'J62R+9F Segala Mider, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J62R+9F'}",,https://www.google.com/maps/place/?q=place_id:ChIJ6Z3KVNvbQC4R8T9LmXCp1lE
OPERATIONAL,"H6RJ+8C6, Sukadana Ham, Tanjungkarang Barat, Bandar Lampung City, Lampung 35116, Indonesia","{'location': {'lat': -5.4097655, 'lng': 105.2308377}, 'viewport': {'northeast': {'lat': -5.408040270107278, 'lng': 105.23150815}, 'southwest': {'lat': -5.410739929892721, 'lng': 105.22863875}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pentas Satwa Lembah Hijau,{'open_now': False},"[{'height': 1776, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108018254328905493813"">mala diana</a>'], 'photo_reference': 'AUGGfZkVIzKzFHlU_f82lUQsX1E3dKKITsLjvMq3fU7qF7NWiRz6pCz1tMbuQgCVsWvgW7i6gyzWwkWKlPe7NM5jqfHkeL4QGHx17X0WBDghcK2LAPlaVFttiJV5uka_21663-pZopx_H-qOX_72AQPNms9ltORjSdmLtDY7tnHi9UXDmHea', 'width': 1472}]",ChIJA4XOScHbQC4Rh-Q_Bu34Hxs,4.6,ChIJA4XOScHbQC4Rh-Q_Bu34Hxs,"['tourist_attraction', 'point_of_interest', 'establishment']",61,,,https://www.google.com/maps/place/?q=place_id:ChIJA4XOScHbQC4Rh-Q_Bu34Hxs
OPERATIONAL,"Gg. Lestari No.36b, Segala Mider, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35111, Indonesia","{'location': {'lat': -5.3967066, 'lng': 105.2345573}, 'viewport': {'northeast': {'lat': -5.395357770107278, 'lng': 105.2359068298927}, 'southwest': {'lat': -5.398057429892722, 'lng': 105.2332071701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Haji Rudi Djalil,,,ChIJD3eNSgDbQC4RBZMzo7hUQJM,5.0,ChIJD3eNSgDbQC4RBZMzo7hUQJM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"{'compound_code': 'J63M+8R Segala Mider, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J63M+8R'}",,https://www.google.com/maps/place/?q=place_id:ChIJD3eNSgDbQC4RBZMzo7hUQJM
OPERATIONAL,"H7W3+59C, Jl. Tamin, Pasir Gintung, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35121, Indonesia","{'location': {'lat': -5.4045701, 'lng': 105.2533139}, 'viewport': {'northeast': {'lat': -5.403302720107278, 'lng': 105.2547302798927}, 'southwest': {'lat': -5.406002379892722, 'lng': 105.2520306201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Teropong Kota Bukit Sindy,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105666060270849377165"">A Google User</a>'], 'photo_reference': 'AUGGfZnqQ_0G1AF7iw0fwpPkjLguj1v3EZVKL4AunHY-3-GqJZ8WxsMBY1AAtHy6mpp7tXKFhet--XHVBERh5IpMoUSHFtxqkL_d72IWQzJ07Khwu2S0vRsaIcLzFDHJt26KmX4rd8z1OnYgsenGsWNA5uW1l0ouTasoNCmk-WitCVdQfJGM', 'width': 3264}]",ChIJC0q3c_faQC4RrvCviWwZgCM,4.2,ChIJC0q3c_faQC4RrvCviWwZgCM,"['tourist_attraction', 'point_of_interest', 'establishment']",4474,,,https://www.google.com/maps/place/?q=place_id:ChIJC0q3c_faQC4RrvCviWwZgCM
OPERATIONAL,"H7V6+72G, Gunung Sari, Tanjungkarung Pusat, Bandar Lampung City, Lampung, Indonesia","{'location': {'lat': -5.4067767, 'lng': 105.2604496}, 'viewport': {'northeast': {'lat': -5.405409370107278, 'lng': 105.2617091298927}, 'southwest': {'lat': -5.408109029892722, 'lng': 105.2590094701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan tanjung karang,,"[{'height': 4144, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111462385682144745218"">A Google User</a>'], 'photo_reference': 'AUGGfZma03slDTFliI531CxKHXsvmDrjnBFtiHuyDGQ1dV5sjnUzSqraYQI73-VDj1pcPmtYZL6mHGl7kCnTGeKEv-JNL94V0qVVvUzLTOvARE6lVpeyjArljcGcepXeMaLJNsTHNOHcwXjQNiX22_FAjJOW_92TahgdVsLUxelwQyL99ZAO', 'width': 1968}]",ChIJQXb2JwDbQC4R79oTYBsP9uo,0.0,ChIJQXb2JwDbQC4R79oTYBsP9uo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJQXb2JwDbQC4R79oTYBsP9uo
