formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,url
"Bandung, Bandung City, West Java, Indonesia","{'location': {'lat': -6.9174639, 'lng': 107.6191228}, 'viewport': {'northeast': {'lat': -6.839277999999999, 'lng': 107.7387141}, 'southwest': {'lat': -6.9676209, 'lng': 107.547601}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bandung,"[{'height': 675, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102776370490485010826"">A Google User</a>'], 'photo_reference': 'AUGGfZkdbIZXfjWLPvIgcI83CP6dqzCHx48P7KotGAcA0Ypv5K0aKjCktdh7lugTL6l9Yw0mJin996_uvgqez6s-iMM04WH9auZBgHq9a99Ua3kp7DX1B3vEc7R-WVAEnsayMdRLCPq4lKYgw5Df7aON3M_He6pQfR0mrJY4oP7mU_b0qVHr', 'width': 1200}]",ChIJf0dSgjnmaC4RshXo05MfahQ,ChIJf0dSgjnmaC4RshXo05MfahQ,"['locality', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJf0dSgjnmaC4RshXo05MfahQ
"Cibeunying Kidul, Bandung City, West Java, Indonesia","{'location': {'lat': -6.90069, 'lng': 107.6458487}, 'viewport': {'northeast': {'lat': -6.8836049, 'lng': 107.6656489}, 'southwest': {'lat': -6.91347, 'lng': 107.630105}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cibeunying Kidul,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103929511558624045372"">Dody Irawan</a>'], 'photo_reference': 'AUGGfZkRsS3W0Y05dv64hbFPz4pWeEfXPpLqAc_ZFIwCdq8EjfLfZvagYqTgc-Iq7EFvafHd8N4LTfEC1OHsj-lOyZzRtEtRIdyEf8U-0wZMTHVY16fJd39WNNzRYVr-Rg1nAQt147KF31_TFgsqC8FiKp9uea50o3OshMjcs65TbYwZeUc0', 'width': 1968}]",ChIJtSm-VJbnaC4R92elmRinbaI,ChIJtSm-VJbnaC4R92elmRinbaI,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJtSm-VJbnaC4R92elmRinbaI
"3JXC+49W, Cisangkuy St, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia","{'location': {'lat': -6.9021326, 'lng': 107.6209387}, 'viewport': {'northeast': {'lat': -6.900397599999997, 'lng': 107.62235625}, 'southwest': {'lat': -6.9038348, 'lng': 107.61962765}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Lansia,"[{'height': 1148, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117367716826197986320"">Hras Sitrus</a>'], 'photo_reference': 'AUGGfZmXqMwICYZDKwXSB-ye6f5RiOWKxVwin0HaCYgm_DQwWO0r7ILe0Ywu3VBzUrtNFsYrvA5LddL25vSWhls4GbXvE5V-EOYy_FVvqCKAWDMpDf-SSXTnb7l6ZIYIxYD3-e0aFuGiXirwD3WFgVISvs-yQ953n3itywnQWVLYWfByrrtr', 'width': 720}]",ChIJoQd1OLDnaC4RcsJIJXr8ytY,ChIJoQd1OLDnaC4RcsJIJXr8ytY,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,11376.0,,,https://www.google.com/maps/place/?q=place_id:ChIJoQd1OLDnaC4RcsJIJXr8ytY
"Jl. Taman Cibeunying Utara, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia","{'location': {'lat': -6.9044943, 'lng': 107.6241329}, 'viewport': {'northeast': {'lat': -6.903293720107278, 'lng': 107.6255779298927}, 'southwest': {'lat': -6.905993379892722, 'lng': 107.6228782701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Cibeunying,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111300868012760003231"">A Google User</a>'], 'photo_reference': 'AUGGfZkBEK3hYD_7r8fdDeWClewfmHHE3ZON-vYGq9pigbJQQasH-8B-Oq23neOnBfwJlD_TkuBqb3p9_HAHn-frUun6vDz4kJgZLmlRm-l536MVAh-kEak-NDhfT4i6cBB5kMsnzwwmKlF6W8daXMyvVTety--bCFEgz6kW2NutCTsuCwPn', 'width': 4160}]",ChIJZ4oPAbXnaC4ReIbiUW7xtu0,ChIJZ4oPAbXnaC4ReIbiUW7xtu0,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,8303.0,{'open_now': False},"{'compound_code': '3JWF+6M Cihapit, Bandung City, West Java, Indonesia', 'global_code': '6P593JWF+6M'}",https://www.google.com/maps/place/?q=place_id:ChIJZ4oPAbXnaC4ReIbiUW7xtu0
"Jl. Aceh No.53, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia","{'location': {'lat': -6.910122299999999, 'lng': 107.6102605}, 'viewport': {'northeast': {'lat': -6.908698620107277, 'lng': 107.6115101298927}, 'southwest': {'lat': -6.911398279892721, 'lng': 107.6088104701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Sejarah Bandung,"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105808220947290541727"">Fash Fahish Shofhal Jamil</a>'], 'photo_reference': 'AUGGfZnEESFUndEQE888I4RBmKdXeClHYIL3bjeuAiy6wqsZbizhoZccnvihmjFbE5aJ2y3Ie_XBdc3eLzUBUWjlrkYQ8jB6w7dFfmgjOkdHGiY3Pin8KkRrZgZUvPVWTumpBHuX4rXAzekKKlIZ5JdgbqyNcyaWAxTtrQdtmIovN8sbLN2O', 'width': 4160}]",ChIJ64KigjfmaC4RYmNYyYqAV0k,ChIJ64KigjfmaC4RYmNYyYqAV0k,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,4.6,4460.0,{'open_now': True},"{'compound_code': '3JQ6+X4 Babakanciamis, Bandung City, West Java, Indonesia', 'global_code': '6P593JQ6+X4'}",https://www.google.com/maps/place/?q=place_id:ChIJ64KigjfmaC4RYmNYyYqAV0k
"3JH5+XG9, Jl. Dr. Ir. Sukarno, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia","{'location': {'lat': -6.9200921, 'lng': 107.6088457}, 'viewport': {'northeast': {'lat': -6.918876320107278, 'lng': 107.6102280298927}, 'southwest': {'lat': -6.921575979892721, 'lng': 107.6075283701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Plaza Cikapundung River Spot,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106399646367119073208"">A Google User</a>'], 'photo_reference': 'AUGGfZlkqLBTGFkH8D-yHoK36JArGfXJm2gAuLb3_CxE5djhENc1_D5sCw0C_TB3LovPwzqOGPr3AkxfLl33hcAcodG5YOE_A9fkq6Ut3PF21Zo44N6RUarLCQ6jwgcMa-F3T4MDbTmY-P7a-t7EepiT-mKfiVDjNFdSrof_6zmCaXqjPOnx', 'width': 4160}]",ChIJSZh4eiXmaC4RAUPOmyG32uk,ChIJSZh4eiXmaC4RAUPOmyG32uk,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,5353.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJSZh4eiXmaC4RAUPOmyG32uk
"4J5Q+8XX, Neglasari, Cibeunying Kaler, Bandung City, West Java 40124, Indonesia","{'location': {'lat': -6.8916349, 'lng': 107.639971}, 'viewport': {'northeast': {'lat': -6.890274770107279, 'lng': 107.6412861298927}, 'southwest': {'lat': -6.892974429892723, 'lng': 107.6385864701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA TERAS CIDURIAN,"[{'height': 959, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100757582728622698767"">ernawati panjaitan</a>'], 'photo_reference': 'AUGGfZnVLbi4FBM4fWLu4deHtsv21M-h6_VSMJynseT0f_ilNwFwONPGz2mZUZcbmFtMH86OS6tNodJj1dPPbfbFy9YVzcZLW1zqSUAO4ko_DrzEOSrzoZIGDC8vsxVx72wiV7zyvThjl-QKWdbPN0N7WD4b9NBnB96TjLQdnz-X858DxwiS', 'width': 991}]",ChIJ08rgucPnaC4RdoBETgPszIA,ChIJ08rgucPnaC4RdoBETgPszIA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.6,12.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ08rgucPnaC4RdoBETgPszIA
"Jl. Peta No.229, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40242, Indonesia","{'location': {'lat': -6.931545, 'lng': 107.588444}, 'viewport': {'northeast': {'lat': -6.930077470107277, 'lng': 107.5899452298927}, 'southwest': {'lat': -6.932777129892721, 'lng': 107.5872455701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Peta Park,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112087267551465209882"">Prima Hastama</a>'], 'photo_reference': 'AUGGfZnNZ3A0wqRlVdmt8c7Mj9zRpW5zvyKDn5O-WV34Rn9PwoBEd7RUMfy3S7WdKlOV0G0QwWveecQysO3salETa0Lb02cE8dpC0WAjrzKTfOYzeh3sQnywNHuo_FcbrOSfv9LhZmP0RlWmfYRxE5NUZNvbRCX1VnpWWMjTro0cLV4lzSY9', 'width': 4096}]",ChIJcd4jrKfoaC4RpokEfBFEQM0,ChIJcd4jrKfoaC4RpokEfBFEQM0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,5083.0,{'open_now': False},"{'compound_code': '3H9Q+99 Suka Asih, Bandung City, West Java, Indonesia', 'global_code': '6P593H9Q+99'}",https://www.google.com/maps/place/?q=place_id:ChIJcd4jrKfoaC4RpokEfBFEQM0
"Jl. Belitung No.1, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia","{'location': {'lat': -6.911211, 'lng': 107.6133389}, 'viewport': {'northeast': {'lat': -6.90947605, 'lng': 107.6144834798927}, 'southwest': {'lat': -6.913387449999998, 'lng': 107.6117838201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ade Irma Suryani Nasution Traffic Garden,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113449775636341248694"">orocx 85ch</a>'], 'photo_reference': 'AUGGfZnhdIKPXmnZeGXMUyk0rqw1DB8uGr3C-UPhcCudltP8CkiGXyEvfFf_IDPlCqWetVZtAiXyv0Qwbf777ZrU1Y6tZuHJiS6N9w8znVrIme01MSWht3OQxTmyhJwEf_c-MbAp502_GTYHx1-Fm5Wu58hAcSNMVrLg7oUfvEQMo04hYGNg', 'width': 4160}]",ChIJm4jH6DbmaC4Rn67rnw95h9o,ChIJm4jH6DbmaC4Rn67rnw95h9o,"['amusement_park', 'tourist_attraction', 'school', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,13315.0,{'open_now': False},"{'compound_code': '3JQ7+G8 Merdeka, Bandung City, West Java, Indonesia', 'global_code': '6P593JQ7+G8'}",https://www.google.com/maps/place/?q=place_id:ChIJm4jH6DbmaC4Rn67rnw95h9o
"Jl. Diponegoro No.57, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122, Indonesia","{'location': {'lat': -6.9016344, 'lng': 107.61873}, 'viewport': {'northeast': {'lat': -6.900103220107278, 'lng': 107.6200787798927}, 'southwest': {'lat': -6.902802879892722, 'lng': 107.6173791201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Air Mancur Gasibu,"[{'height': 1367, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113627008247865492426"">cep budhi darma</a>'], 'photo_reference': 'AUGGfZmOptomJMeuBBCHWJ0Fdh5GKWVxmm8gDNnFDIkU3Usklptl9FzvrJSvE8p54WHCkeVuVMk21fdnPuO7zvELjVeZlTIntbw05W-V5ylMS6_vU7fKIH-iYl7aCSsV6Sx7ghRHEsbjF4y8vlCyzna7tNXjisyphT9RsEFnD63KesOAr4Ao', 'width': 2048}]",ChIJ5QEqikzmaC4RuyXv0qXO69Y,ChIJ5QEqikzmaC4RuyXv0qXO69Y,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,62.0,{'open_now': True},"{'compound_code': '3JX9+8F Cihaur Geulis, Bandung City, West Java, Indonesia', 'global_code': '6P593JX9+8F'}",https://www.google.com/maps/place/?q=place_id:ChIJ5QEqikzmaC4RuyXv0qXO69Y
