business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Dr. Setiabudi No.293-295, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia","{'location': {'lat': -6.8516591, 'lng': 107.5955534}, 'viewport': {'northeast': {'lat': -6.850378220107277, 'lng': 107.5974600298927}, 'southwest': {'lat': -6.853077879892721, 'lng': 107.5947603701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Amazing Artgames,{'open_now': False},"[{'height': 594, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110574138953579436619"">A Google User</a>'], 'photo_reference': 'AUGGfZmxWZjcftw61CLmBx6jiSOKVBDnq1zKVJFOtUV9gGUluC7bE9AW9FYG78yEfbFdRpwVw5C0rQ5PChzZBUbUbqAMEcIY3v8Kks4DiknQwUMFyEdDMeIBTXHmhfUcOvZuGiIPSkyW_9AFM1xG7rVX5ycFYdpUoGk_f3V4SV_2etI2Ppr3', 'width': 596}]",ChIJJxuuu7fmaC4RJ3PO4pMZDwU,"{'compound_code': '4HXW+86 Isola, Bandung City, West Java, Indonesia', 'global_code': '6P594HXW+86'}",4.5,ChIJJxuuu7fmaC4RJ3PO4pMZDwU,"['tourist_attraction', 'art_gallery', 'museum', 'point_of_interest', 'establishment']",6203,https://www.google.com/maps/place/?q=place_id:ChIJJxuuu7fmaC4RJ3PO4pMZDwU
OPERATIONAL,"Isola, Sukasari, Bandung City, West Java 40154, Indonesia","{'location': {'lat': -6.8582499, 'lng': 107.5880897}, 'viewport': {'northeast': {'lat': -6.856900070107279, 'lng': 107.5894395298927}, 'southwest': {'lat': -6.859599729892722, 'lng': 107.5867398701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Sigay,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111842344879757245353"">Yan Dharma</a>'], 'photo_reference': 'AUGGfZkdhQbOa_svw3o7uYc8x_6jCjokZKEnJWKZdioijF7QmzaNNxxRZ3G1wagfqP_IytWcb-IIufv2mAwDfTEJH0z3_wUu9__Z_GwWhYFEmtBZbLFz9DArVifLGOlTsTe80UPQfQqtj84ADpzpH8MbKiie1pe83dF-CptOcCFbBayY5j-t', 'width': 3120}]",ChIJj9LTkrrmaC4R4e6iAadnajI,"{'compound_code': '4HRQ+P6 Isola, Bandung City, West Java, Indonesia', 'global_code': '6P594HRQ+P6'}",3.9,ChIJj9LTkrrmaC4R4e6iAadnajI,"['tourist_attraction', 'point_of_interest', 'establishment']",174,https://www.google.com/maps/place/?q=place_id:ChIJj9LTkrrmaC4R4e6iAadnajI
OPERATIONAL,"Jl. Dr. Setiabudi No.191B, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153, Indonesia","{'location': {'lat': -6.8659962, 'lng': 107.5933298}, 'viewport': {'northeast': {'lat': -6.864508070107277, 'lng': 107.5947303798927}, 'southwest': {'lat': -6.867207729892721, 'lng': 107.5920307201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Setiabudhi,,,ChIJieRnW7XnaC4RghYawiX33eA,"{'compound_code': '4HMV+J8 Gegerkalong, Bandung City, West Java, Indonesia', 'global_code': '6P594HMV+J8'}",0.0,ChIJieRnW7XnaC4RghYawiX33eA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJieRnW7XnaC4RghYawiX33eA
OPERATIONAL,"4HXR+FFV, Isola, Sukasari, Bandung City, West Java, Indonesia","{'location': {'lat': -6.851272, 'lng': 107.5911589}, 'viewport': {'northeast': {'lat': -6.849951270107277, 'lng': 107.5924910298927}, 'southwest': {'lat': -6.852650929892721, 'lng': 107.5897913701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Belokan Jl. Terusan Sersan Bajuri,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118091733993761158839"">feri_entrance@yahoo.com</a>'], 'photo_reference': 'AUGGfZlLZqAPRdz-j8bNI7ko2sT0php7B-k3111cyS5_GuiypjdfVvquT130VqpsKmIXKZiAYyq53Y59ja-_aFEPcWfYbL5BcTe1EsR7cPh7W4VQNJFW2YOxxQNvwOuOGbKAkXR6urubvEyMD-AfdwtiqowQJhD91l9XhTDM_EpbuNfsWF_E', 'width': 2240}]",ChIJgXOH2wnnaC4RLNFz9Yy15k8,,5.0,ChIJgXOH2wnnaC4RLNFz9Yy15k8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJgXOH2wnnaC4RLNFz9Yy15k8
OPERATIONAL,"Jl. Geger Arum Baru No.37, Curug Sigai, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia","{'location': {'lat': -6.8586277, 'lng': 107.5879442}, 'viewport': {'northeast': {'lat': -6.857735220107277, 'lng': 107.5891056798927}, 'southwest': {'lat': -6.860434879892721, 'lng': 107.5864060201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug alit,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118091733993761158839"">feri_entrance@yahoo.com</a>'], 'photo_reference': 'AUGGfZn6cluWT7jJxHnGPmfK0mmvOopbTEOOBIlIwFAviY2M-Ot3MqPvO5Wi9qn2GPK6iyNvkGhERHSGc_95C49suIvz9YcBoOIlJMh_v28Fe2FXn7cW1Bf5wmzO3MyndvBcBFB9oJ0D5bSLmLjRY9aYK-9ZdjITS1S9Fx1wxZaoN9hAEGNM', 'width': 1836}]",ChIJDz8MPQDnaC4RiYf_EB3lASY,"{'compound_code': '4HRQ+G5 Isola, Bandung City, West Java, Indonesia', 'global_code': '6P594HRQ+G5'}",5.0,ChIJDz8MPQDnaC4RiYf_EB3lASY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJDz8MPQDnaC4RiYf_EB3lASY
OPERATIONAL,"4HCF+C5G, Sarijadi, Sukasari, Bandung City, West Java 40151, Indonesia","{'location': {'lat': -6.8782856, 'lng': 107.5728581}, 'viewport': {'northeast': {'lat': -6.876664570107278, 'lng': 107.5740620798927}, 'southwest': {'lat': -6.879364229892722, 'lng': 107.5713624201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Aleh,,"[{'height': 421, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100347557452260863809"">A Google User</a>'], 'photo_reference': 'AUGGfZkBvJmLQeLGFPg_mYTNfuBK8hsF6yi_eIKIYLnRtBrvn5ypPPgpDdIH1Ym2gZehbXRP7j6xLiJYmXgKmPH9X0FDiYyBOlhnBSjgQzp8WMh0wbaG9sOMuvmky_h3QQVvmSqC33i-tLl0pKsA0buMk0iFcb7VJ9XU1_mnDafDZ7l-t5XG', 'width': 750}]",ChIJbznOuLjlaC4RycnGsL8fcC4,,4.3,ChIJbznOuLjlaC4RycnGsL8fcC4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,https://www.google.com/maps/place/?q=place_id:ChIJbznOuLjlaC4RycnGsL8fcC4
OPERATIONAL,"4HPQ+Q6H, Kp madang, Sukasari, Bandung City, West Java, Indonesia","{'location': {'lat': -6.863068699999999, 'lng': 107.588093}, 'viewport': {'northeast': {'lat': -6.861718420107278, 'lng': 107.5894432298927}, 'southwest': {'lat': -6.864418079892721, 'lng': 107.5867435701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Bah Yoyo,,,ChIJK10pXQDnaC4RDlLZsrB5XbM,,0.0,ChIJK10pXQDnaC4RDlLZsrB5XbM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJK10pXQDnaC4RDlLZsrB5XbM
OPERATIONAL,"4HQV+6QQ, Isola, Sukasari, Bandung City, West Java 40154, Indonesia","{'location': {'lat': -6.8619185, 'lng': 107.5944847}, 'viewport': {'northeast': {'lat': -6.860536820107278, 'lng': 107.5959737298927}, 'southwest': {'lat': -6.863236479892722, 'lng': 107.5932740701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Bareti UPI Bandung,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108122039167204656709"">Utami Dewi R</a>'], 'photo_reference': 'AUGGfZmUgZa0ehHpks1tWOXFiCdKgLcnAj-qUfXCIzNm-dWZ2uiIwOlRd6RmVnb1SHhxFVsohS9TgE55bUJTHxmHNt6JgMPtzWT3nBu9g6fbrK886T7Sr_iLgRka5Mvjc6wpJuVFELXg2r5p8NTBy2vk4WdgoPMwihezvFiZQtmyg3S--xRu', 'width': 2352}]",ChIJCSVQ077maC4RAYKfdLfESbY,,4.8,ChIJCSVQ077maC4RAYKfdLfESbY,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",177,https://www.google.com/maps/place/?q=place_id:ChIJCSVQ077maC4RAYKfdLfESbY
OPERATIONAL,"Jl. Raya Lembang No.108, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","{'location': {'lat': -6.832968999999999, 'lng': 107.6056183}, 'viewport': {'northeast': {'lat': -6.831253870107278, 'lng': 107.6068435298927}, 'southwest': {'lat': -6.833953529892722, 'lng': 107.6041438701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Farmhouse Susu Lembang,{'open_now': False},"[{'height': 9280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113063710484721891765"">Dwi Haryanto</a>'], 'photo_reference': 'AUGGfZksanlwAoUityColnopbpj2NTl0i0H2G5XEr6Cg3LHI7CkkNQGBwMAD3I5SRhZmfiDOEtLjNRttCJ9D-3iYh-oj2eSgtvrPYNoDzSizG_FfeKXDLWEmntwSiKWyYMPDz_xeEb2FG23cTMkNIWxv4_7aJfL3CBjV6GM3h1_2sUy8YT0F', 'width': 6944}]",ChIJia31vjvhaC4RcSMrAu3razU,"{'compound_code': '5J84+R6 Gudangkahuripan, West Bandung Regency, West Java, Indonesia', 'global_code': '6P595J84+R6'}",4.4,ChIJia31vjvhaC4RcSMrAu3razU,"['tourist_attraction', 'point_of_interest', 'establishment']",65979,https://www.google.com/maps/place/?q=place_id:ChIJia31vjvhaC4RcSMrAu3razU
OPERATIONAL,"Jl. Cilandak No.71a, Sarijadi, Kec. Sukajadi, Kota Bandung, Jawa Barat 40151, Indonesia","{'location': {'lat': -6.875073299999999, 'lng': 107.5810193}, 'viewport': {'northeast': {'lat': -6.873702170107278, 'lng': 107.5822434798927}, 'southwest': {'lat': -6.876401829892722, 'lng': 107.5795438201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tukang Outbond,{'open_now': False},,ChIJO58oWgDnaC4R_OzH0PDDtyY,"{'compound_code': '4HFJ+X9 Sarijadi, Bandung City, West Java, Indonesia', 'global_code': '6P594HFJ+X9'}",0.0,ChIJO58oWgDnaC4R_OzH0PDDtyY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJO58oWgDnaC4R_OzH0PDDtyY
