business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"MH3V+X3, Area Sawah / Kebun, Panulisan Tim., Kec. Dayeuhluhur, Kabupaten Cilacap, Jawa Tengah, Indonesia","{'location': {'lat': -7.345081800000001, 'lng': 108.5926514}, 'viewport': {'northeast': {'lat': -7.343731970107279, 'lng': 108.5940012298927}, 'southwest': {'lat': -7.346431629892723, 'lng': 108.5913015701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapak mancing citanduy pangereban,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101849324565117808706"">A Google User</a>'], 'photo_reference': 'AUGGfZmN54eJnCUkrrsTa9lsscmyyDI8ZJlKAMszi_xpnCr75hqtzF2LoekikGKo1hL2iOyqFCpIv5dJuiy3C4Ijaa8nIfuy_W5eP_bvr_WXcas-7iIFB-N0poI6a4659XesZ-j0k7zelrqqWT8cHGwbOteNzErBANuTiUgmiomPH_DRqQQa', 'width': 3264}]",ChIJg8b9nOJjby4R1njMqIuCn3E,0.0,ChIJg8b9nOJjby4R1njMqIuCn3E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJg8b9nOJjby4R1njMqIuCn3E
OPERATIONAL,"4FP3+J9Q, Unnamed Road, Randobawagirang, Kec. Mandirancan, Kabupaten Kuningan, Jawa Barat 45558, Indonesia","{'location': {'lat': -6.8634134, 'lng': 108.4534689}, 'viewport': {'northeast': {'lat': -6.862069420107278, 'lng': 108.4548293798927}, 'southwest': {'lat': -6.864769079892722, 'lng': 108.4521297201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Lambosir hill, Travel Camping Sites","[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111806126604281250334"">Franky Tasno</a>'], 'photo_reference': 'AUGGfZle1hqfNHaHrOzDBb4yuwdvmDXK6JZAozMuNqRPTDTvYuw7umiF0v7PUEygXHnbg4HxDOCZM-v945F5B3QOniXoOhi0dBGpswSdcBbmIwCJ1JaiSsexwBOeVhOdJ2-gptmruFnO9eQuQVSztY51LqD0KlOr5a_gkljbBaEWtZJNMeuv', 'width': 2048}]",ChIJHdP1tUIYby4R7qlJQpEtsow,4.4,ChIJHdP1tUIYby4R7qlJQpEtsow,"['tourist_attraction', 'point_of_interest', 'establishment']",123,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJHdP1tUIYby4R7qlJQpEtsow
OPERATIONAL,"Randobawagirang, Mandirancan, Kuningan Regency, West Java 45558, Indonesia","{'location': {'lat': -6.847695, 'lng': 108.4712181}, 'viewport': {'northeast': {'lat': -6.846362920107278, 'lng': 108.4725413298927}, 'southwest': {'lat': -6.849062579892721, 'lng': 108.4698416701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Teras Cibulakan,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111726600376128399349"">Yayan Ruhyana</a>'], 'photo_reference': 'AUGGfZkANtvMPOuuCLxHS2NYeElv0cqUHQrPSYeTsJYO2XLnbhVZJyAySvC9y35cKNdhKgoFJI5kvrtlfCaqSb1h5tWAn9ds0szHlSyp7OQv-5Y4ELZdH_Qlk5GOu38WK8OAZD7u4q_A5RT3T3WWlZaLq3q6-z7ubkaDrSi-WNjYDpWWdHvd', 'width': 4624}]",ChIJvZotL1MZby4RbW9TaVX9yFY,4.5,ChIJvZotL1MZby4RbW9TaVX9yFY,"['tourist_attraction', 'point_of_interest', 'establishment']",699,{'open_now': False},"{'compound_code': '5F2C+WF Randobawagirang, Kuningan Regency, West Java, Indonesia', 'global_code': '6P5C5F2C+WF'}",https://www.google.com/maps/place/?q=place_id:ChIJvZotL1MZby4RbW9TaVX9yFY
OPERATIONAL,"Desa, Trijaya, Kec. Mandirancan, Kabupaten Kuningan, Jawa Barat 45556, Indonesia","{'location': {'lat': -6.8445601, 'lng': 108.4622777}, 'viewport': {'northeast': {'lat': -6.843250070107278, 'lng': 108.4637426798927}, 'southwest': {'lat': -6.845949729892722, 'lng': 108.4610430201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Buper Huludayeh Trijaya,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105456526802061098677"">A Google User</a>'], 'photo_reference': 'AUGGfZlkgT937VZJ0hJpj2bio_BdMLlNp_g3TTtqMDPQYdo9hAgIEe3QapxoBtG6iC8uUOeBK3PMu1Gri0B6MeOS4wzMOMyf7dBU0bLO7TDIXlTJA-BI_e0XL_SQ_rLAaP4Z1TVn58YyfLgZEbZxMJbgxPgCaWZJwss4gwU94p2L93DlwaR3', 'width': 4000}]",ChIJgcONH_AYby4Rikvhb1jKWXU,4.4,ChIJgcONH_AYby4Rikvhb1jKWXU,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1244,{'open_now': False},"{'compound_code': '5F46+5W Trijaya, Kuningan Regency, West Java, Indonesia', 'global_code': '6P5C5F46+5W'}",https://www.google.com/maps/place/?q=place_id:ChIJgcONH_AYby4Rikvhb1jKWXU
OPERATIONAL,"5F46+XMH, Trijaya, Mandirancan, Kuningan Regency, West Java, Indonesia","{'location': {'lat': -6.842564400000001, 'lng': 108.4617302}, 'viewport': {'northeast': {'lat': -6.841163570107278, 'lng': 108.4635514798927}, 'southwest': {'lat': -6.843863229892722, 'lng': 108.4608518201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bumi perkemahan trijaya kuningan jawabarat,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116935504199683925969"">A Google User</a>'], 'photo_reference': 'AUGGfZnqD47ejI0y9D2jx8-NbhxDRq98DmXB3e4Vv9cS5k9DgPuymWjVakxixO-BU5HAmjDab8AlstWylHALktXrSviicOY9fbZ-gEiWDhbta2mrcBhi4Px0GFcfTdYbNyfZg-9ti3Jd6AwhkXrzgqM4sYq8Qh0ht_-bB0x8Cz1W2qte7Klw', 'width': 720}]",ChIJh-JXuO0Zby4RtmVuOrY3eh4,5.0,ChIJh-JXuO0Zby4RtmVuOrY3eh4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJh-JXuO0Zby4RtmVuOrY3eh4
OPERATIONAL,"5F46+5VP, Trijaya, Mandirancan, Kuningan Regency, West Java, Indonesia","{'location': {'lat': -6.8445255, 'lng': 108.4621979}, 'viewport': {'northeast': {'lat': -6.843232770107279, 'lng': 108.4637027798927}, 'southwest': {'lat': -6.845932429892723, 'lng': 108.4610031201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JASA FOTO HULDAY TRIJAYA,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112345190293026236513"">Rizky Maulana</a>'], 'photo_reference': 'AUGGfZk-oW0thqaCwj2g9sca-pjvDgERCFuYVvfTBY6Hj0rWDyc6hCyAX35AOKZnb8pk73EgVQlu4pnRhrZ89NHtbC4BSe5SGullky7qv5jnQMTRYAYfxbPHb0P7wOsrEEhzuen_oPYNcgme10LMC7_bUlCjzQNzUjh67MCuQx_dOkvJ8mJG', 'width': 4800}]",ChIJS-aZC8MZby4RjILAL9gcydA,5.0,ChIJS-aZC8MZby4RjILAL9gcydA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJS-aZC8MZby4RjILAL9gcydA
OPERATIONAL,"JHJ9+HFJ, Pataruman, Banjar City, West Java, Indonesia","{'location': {'lat': -7.368543799999999, 'lng': 108.5686316}, 'viewport': {'northeast': {'lat': -7.367296420107277, 'lng': 108.5699495298927}, 'southwest': {'lat': -7.36999607989272, 'lng': 108.5672498701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan irigasi kongkur kalo hujan ngga kabur,,ChIJUYGIeABjby4RNuq-LtiIrvM,0.0,ChIJUYGIeABjby4RNuq-LtiIrvM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJUYGIeABjby4RNuq-LtiIrvM
OPERATIONAL,"JG49+9P7, Binangun, Pataruman, Banjar City, West Java 46316, Indonesia","{'location': {'lat': -7.393937299999999, 'lng': 108.5185584}, 'viewport': {'northeast': {'lat': -7.392760770107278, 'lng': 108.5195515798927}, 'southwest': {'lat': -7.395460429892721, 'lng': 108.5168519201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GOODTRUST CAMP.,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117788291022816569286"">Ibnu Faisal</a>'], 'photo_reference': 'AUGGfZmlHFEITqy67JQDuHZvG_cWAn0hUWcaVAaHmU7CSG8Zlp1fHGRfWDHyiNwzIfQBu43cS-yqTPzdGo_M9qYhCkYudPSHQkyLPPrNfdEgctUYEBIzINIpHw853kAQajMYvZTNGS2L8W19ZPHUZMt_44hxF54QlpA57-esrM_eI2cC5VyX', 'width': 2322}]",ChIJz1HOqvqLZS4RO9KL89lkKWQ,0.0,ChIJz1HOqvqLZS4RO9KL89lkKWQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJz1HOqvqLZS4RO9KL89lkKWQ
OPERATIONAL,"5FG3+5C, Seda, Mandirancan, Kuningan Regency, West Java, Indonesia","{'location': {'lat': -6.8245625, 'lng': 108.4535591}, 'viewport': {'northeast': {'lat': -6.823035620107278, 'lng': 108.4543859}, 'southwest': {'lat': -6.825735279892722, 'lng': 108.4510787}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Desa Sukasari, Kecamatan Mandirancan, Kabupaten Kuningan, Provinsi Jawa Barat",,ChIJb0_v9B0Zby4RsET3BHVDsRs,0.0,ChIJb0_v9B0Zby4RsET3BHVDsRs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJb0_v9B0Zby4RsET3BHVDsRs
OPERATIONAL,"5F7G+Q2X, Randobawailir, Mandirancan, Kuningan Regency, West Java 45558, Indonesia","{'location': {'lat': -6.8355144, 'lng': 108.4750964}, 'viewport': {'northeast': {'lat': -6.833730570107278, 'lng': 108.4769978298927}, 'southwest': {'lat': -6.836430229892722, 'lng': 108.4742981701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Hawu,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114260177559919778704"">Andi Suwwandana</a>'], 'photo_reference': 'AUGGfZnZVmn5pH_pza2bBJ7NaJbED1fF3QMvoqhKVKez9DJK8IYqsZaI5XW6H0CiHhItNke9MyurDkgIc9Do-i2qyT1cFnjbf-tETb10PhLcpBtZJeJIkYcbVNPEEjwonr4T8IoEPWKAaYuIN3K3rdTdYKscnZF74TXttfxPYV6Om9PBWsMP', 'width': 4160}]",ChIJF9Z81R8Zby4R0V26BDk08vo,4.3,ChIJF9Z81R8Zby4R0V26BDk08vo,"['tourist_attraction', 'point_of_interest', 'establishment']",79,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJF9Z81R8Zby4R0V26BDk08vo
