business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Teluk Tering, Batam Kota, Batam City, Riau Islands 29444, Indonesia","{'location': {'lat': 1.1222745, 'lng': 104.0534482}, 'viewport': {'northeast': {'lat': 1.123345279892722, 'lng': 104.0544705298927}, 'southwest': {'lat': 1.120645620107278, 'lng': 104.0517708701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Welcome to Batam Sign,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115240875636662687058"">Sherab Tenzin</a>'], 'photo_reference': 'AUGGfZn38TAhi-n_hJILqLae-LPvCtUzDLrCtx0IuQLnbw9jVrtPMlnKyLd8KqhraqnmYIQ90Z2Xggr7eT85QZyA6F1M0VkSEvrO5G1ccWV_RcyIlAPqjRFarQIgPOnvJ4EESpfoIAgsDi2qPqHHVqKCKsiirJAhnFTP03dMxE1i_jw47uAE', 'width': 6000}]",ChIJsz6nOx6J2TERpqumlxKiWQ8,"{'compound_code': '43C3+W9 Teluk Tering, Batam City, Riau Islands, Indonesia', 'global_code': '6PH643C3+W9'}",4.5,ChIJsz6nOx6J2TERpqumlxKiWQ8,"['tourist_attraction', 'point_of_interest', 'establishment']",6768,,https://www.google.com/maps/place/?q=place_id:ChIJsz6nOx6J2TERpqumlxKiWQ8
OPERATIONAL,"Kampung tua batu besar no 71, RT.003/RW.008, Kota Batam, Kepulauan Riau 29466, Indonesia","{'location': {'lat': 1.1448445, 'lng': 104.1431569}, 'viewport': {'northeast': {'lat': 1.146167129892722, 'lng': 104.1444729798927}, 'southwest': {'lat': 1.143467470107278, 'lng': 104.1417733201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Arsadi beach,{'open_now': False},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105679193604529415063"">Al Fian</a>'], 'photo_reference': 'AUGGfZnaELr0wU0QlaXeDT7TX9TjE5yJuodNhLYloALTZMYUosMjp3hjSLGetFIT9BfeqmcR0fpvQJPLDciF3nVQ53EyRtCY95tr2bGTIY6HcA8srpMgACne0VVVU5opzlluWLCjgCsJ2ENtc1H5-MCNKGwrvo-VAQ1BQ9ggYjroJ8GUInN_', 'width': 960}]",ChIJEzLDwcmH2TERauwkgN8sJqE,"{'compound_code': '44VV+W7 Batu Besar, Batam City, Riau Islands, Indonesia', 'global_code': '6PH644VV+W7'}",4.5,ChIJEzLDwcmH2TERauwkgN8sJqE,"['tourist_attraction', 'point_of_interest', 'establishment']",66,,https://www.google.com/maps/place/?q=place_id:ChIJEzLDwcmH2TERauwkgN8sJqE
OPERATIONAL,"44RW+XXQ, Batu Besar, Nongsa, Batam City, Riau Islands 29466, Indonesia","{'location': {'lat': 1.1424595, 'lng': 104.1474891}, 'viewport': {'northeast': {'lat': 1.143836729892722, 'lng': 104.1488346798927}, 'southwest': {'lat': 1.141137070107278, 'lng': 104.1461350201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sekilak Beach Tourism Batam,,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110852088248010613793"">Didik Darmadi</a>'], 'photo_reference': 'AUGGfZmK2lf-lDddRUw67aXUX0PmlbbaJF8Bu2ZZmOexXCyy_-GLb-SQbSg-nGHaM6fcyAXvm0bRy8HjV2rzsmqi5nPF3XoEWA_m9DXwP-kKFgpsknsvhSwCZfIHvT5oKPHR7mO9IN5NgNm0BJ17x-K-9X09dI27M27DP7j5DxXh5SLrPUXF', 'width': 3648}]",ChIJTdnYyACH2TERA3Px8xnsHEo,,4.1,ChIJTdnYyACH2TERA3Px8xnsHEo,"['tourist_attraction', 'point_of_interest', 'establishment']",284,,https://www.google.com/maps/place/?q=place_id:ChIJTdnYyACH2TERA3Px8xnsHEo
OPERATIONAL,"Batu Besar, Nongsa, Batam City, Riau Islands 29466, Indonesia","{'location': {'lat': 1.1466432, 'lng': 104.1057449}, 'viewport': {'northeast': {'lat': 1.148115229892722, 'lng': 104.1067471798927}, 'southwest': {'lat': 1.145415570107278, 'lng': 104.1040475201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam AVJ Mangrove,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104239415616153021752"">Kirman Sukirman</a>'], 'photo_reference': 'AUGGfZnecNdx5AZzKlqnYAcB3kLqgHayNNj2__zj2cDQerSavvGbPuK7b3J78ud5IUA_W8_4MGDPknD-JMZUW6JOqjAgwmn2T6PWdtGiHg5N2rahrM1vaGb4VRxg1KMk1Z66_2bAJUDlwEs8_W-MBEJcAdKb4rcrqqei9v357a37L1WMIFg', 'width': 4608}]",ChIJxeKoS9eH2TERqQjkMPo1CkU,"{'compound_code': '44W4+M7 Batu Besar, Batam City, Riau Islands, Indonesia', 'global_code': '6PH644W4+M7'}",4.1,ChIJxeKoS9eH2TERqQjkMPo1CkU,"['tourist_attraction', 'point_of_interest', 'establishment']",146,,https://www.google.com/maps/place/?q=place_id:ChIJxeKoS9eH2TERqQjkMPo1CkU
OPERATIONAL,"44WV+72W, Pantai Melayu Batu Besar Batam, Unnamed Road, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29467, Indonesia","{'location': {'lat': 1.1457325, 'lng': 104.1425918}, 'viewport': {'northeast': {'lat': 1.147038029892722, 'lng': 104.1438725798927}, 'southwest': {'lat': 1.144338370107278, 'lng': 104.1411729201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Melayu Batu Besar,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110630353012742005573"">gusti balukh</a>'], 'photo_reference': 'AUGGfZkrY9nCVGPzjZ7ufVStXatWKcubUBW9AGVTvtAIrrS5OB1sb31BpIgxrRnpogExCAhF-6bSxa7Lm6ZTvUtVD7oczzJMI5HFMTfcGFXhTFVAzA6gkJHJ0V2XGBBbjJL96BSEES8foHnjR0z_TTgB3pZjL9JznFv5RuifJoV879fBy16_', 'width': 4096}]",ChIJO5wcxRaH2TER2kbvmtJrJY0,,5.0,ChIJO5wcxRaH2TER2kbvmtJrJY0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJO5wcxRaH2TER2kbvmtJrJY0
OPERATIONAL,"44VX+PMH Pantai Sekilak, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29466, Indonesia","{'location': {'lat': 1.1443022, 'lng': 104.1492209}, 'viewport': {'northeast': {'lat': 1.145292979892722, 'lng': 104.1499464798927}, 'southwest': {'lat': 1.142593320107278, 'lng': 104.1472468201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Kedabang,{'open_now': False},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108330854536518569564"">Edie Nurdy - View Sudut Batam</a>'], 'photo_reference': 'AUGGfZnW2j4IFNNI7eAoymLA_ipRE_ye5eDQGF2drJTKnY8g_1TuENctROQYjjNWT0Mih4RkRHQ7gKpphB1O7TdzNGHFpPk_qHLLE7m-1gA8uuZxCwoqT0PuUzeY1XVicDQ0-ft9ZPjeHco-SiuGwlN-AZRAKECOG7NZQALSLEx8UvRigAUQ', 'width': 1280}]",ChIJ1cJrHAeH2TERbn2IX18FqgI,,4.6,ChIJ1cJrHAeH2TERbn2IX18FqgI,"['tourist_attraction', 'point_of_interest', 'establishment']",24,,https://www.google.com/maps/place/?q=place_id:ChIJ1cJrHAeH2TERbn2IX18FqgI
OPERATIONAL,"53VV+FR9, Unnamed Road, Sambau, Nongsa, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.1936603, 'lng': 104.0946215}, 'viewport': {'northeast': {'lat': 1.194925329892722, 'lng': 104.0960004798927}, 'southwest': {'lat': 1.192225670107278, 'lng': 104.0933008201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Bahagia,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101159707324050704264"">Chris Agung</a>'], 'photo_reference': 'AUGGfZlZtBrUPVsCcGa7YOb_-E5U9Z1Zlf0JbfRE8y-DBgH89pJ9i4PzvpqHZqpOeXKh3302J3zvTpFO6BDYLwxbfrIV7SlV3aJKaejttmdEbUk6FXvDZndIAooZMOBMWSMpBYpBcEg4hkGHt7kWy8gxbV9fhvxt6GFQqdqFAhrTIN3lKcXL', 'width': 4000}]",ChIJbb0082In2jERskfxnCGHx78,,4.3,ChIJbb0082In2jERskfxnCGHx78,"['tourist_attraction', 'point_of_interest', 'establishment']",319,,https://www.google.com/maps/place/?q=place_id:ChIJbb0082In2jERskfxnCGHx78
OPERATIONAL,"44HW+WQ7, Batu Besar, Batam Kota, Batam City, Riau Islands 29466, Indonesia","{'location': {'lat': 1.1297875, 'lng': 104.1469095}, 'viewport': {'northeast': {'lat': 1.13058295, 'lng': 104.14772025}, 'southwest': {'lat': 1.12740115, 'lng': 104.14447725}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bahari kembang jaya,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110669315852495107245"">Muhammad Said</a>'], 'photo_reference': 'AUGGfZk_YmL1lpfwS9OTpqf-ZwCwbbmDeSjO9nJIAbI_qy6OUEAmwmcD76PR4xBTq-JFM7ls44_hzizu-N76PfPMdFc_O2N6R9hDPQjF-JDNFe4lDe7MZazCTsgPvNbkzRmKnI2SUg8MlD9Z-z7wF8AZoRoibnLEexV7a-r3s23mK3DUgmBz', 'width': 1920}]",ChIJFacY9hiH2TERT3xadVrqM2c,,5.0,ChIJFacY9hiH2TERT3xadVrqM2c,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJFacY9hiH2TERT3xadVrqM2c
OPERATIONAL,"43XR+WG4, Kampung Kelembak, Kel, SamA, bau, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465, Indonesia","{'location': {'lat': 1.1499109, 'lng': 104.0925514}, 'viewport': {'northeast': {'lat': 1.151243979892722, 'lng': 104.0939028298927}, 'southwest': {'lat': 1.148544320107278, 'lng': 104.0912031701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wisata Kelembak,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106873978993939641588"">Rully Impiani</a>'], 'photo_reference': 'AUGGfZnMC3ukl_sM-fApY6Vy123cqHb7a1pFsGmLM9hqV3Eh2WzRLxiPCX58HTieE8L8be9qO4Z7Izhnj1MpjmnD5aA04Qth1hBzltW9E0cU6Em8O5PvZongPAifnG_tcVxT1YvXHwjKifrRdF1UjJA3J5FI_8Uyii_crGa_gVOhblzUC-Vc', 'width': 4160}]",ChIJ6SNQ5RyJ2TER04T3BAg3oRY,"{'compound_code': '43XV+X2 Sambau, Batam City, Riau Islands, Indonesia', 'global_code': '6PH643XV+X2'}",4.3,ChIJ6SNQ5RyJ2TER04T3BAg3oRY,"['tourist_attraction', 'point_of_interest', 'establishment']",63,,https://www.google.com/maps/place/?q=place_id:ChIJ6SNQ5RyJ2TER04T3BAg3oRY
OPERATIONAL,"44WR+CWW, Batu Besar, Nongsa, Batam City, Riau Islands 29466, Indonesia","{'location': {'lat': 1.1456487, 'lng': 104.142689}, 'viewport': {'northeast': {'lat': 1.146944029892722, 'lng': 104.1439548798927}, 'southwest': {'lat': 1.144244370107278, 'lng': 104.1412552201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Tok Anjang,,"[{'height': 4560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109337737278247794923"">Denny Hartanto</a>'], 'photo_reference': 'AUGGfZmM-yiyhjh2IF1oAzQew_nKo4ALmNCrWv1sjNCCse8Z25t6F_fCU8HCEY3-aQPuO5irdFs2Y7Na2e4N65fwiOWWCrQvMYGzz6GkZrPPLpuOTctrYJiGnElIXcy12vCgSj4P8yRfAFh5kRLNGP_6Laxq-S9_ACfLW0YZbVC0AHTR2tn4', 'width': 3648}]",ChIJpWIqIgCH2TERZkWLyPev90E,,4.5,ChIJpWIqIgCH2TERZkWLyPev90E,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJpWIqIgCH2TERZkWLyPev90E
