business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"M9P7+X9J, Kayu Kubu, Mandiangin Koto Selayan, Bukittinggi City, West Sumatra 26115, Indonesia","{'location': {'lat': -0.3125288, 'lng': 100.3633972}, 'viewport': {'northeast': {'lat': -0.3111459201072778, 'lng': 100.3647014298927}, 'southwest': {'lat': -0.3138455798927222, 'lng': 100.3620017701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Janjang Koto Gadang,{'open_now': True},"[{'height': 1332, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108419830795341906272"">Yeanita Thenar</a>'], 'photo_reference': 'AUGGfZmMMG3oTivLPDC51ZKtO_E9wGf-EW7EnPSBzScoS-Ak-RFL6kjCPAmcN-big_STSZkoR6SndEJZWnL8yxoMCnEOaF1Mh3R4lk1c3UpTbdes0GgwHdxEhcnDNCukL9xqsRVTPgQuuiE126ZAL5RI87_qXzYQSHjCO_QH1UgIRe0zbntC', 'width': 2368}]",ChIJVVVVFVFH1S8R46_zX2A6_P0,4.4,ChIJVVVVFVFH1S8R46_zX2A6_P0,"['tourist_attraction', 'point_of_interest', 'establishment']",730,,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFVFH1S8R46_zX2A6_P0
OPERATIONAL,"M9VC+92C, Jl. Khatib Sulaiman No.4 C, Aur Tajungkang Tengah Sawah, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26138, Indonesia","{'location': {'lat': -0.3066461, 'lng': 100.3697982}, 'viewport': {'northeast': {'lat': -0.3053032201072777, 'lng': 100.3712192798927}, 'southwest': {'lat': -0.3080028798927222, 'lng': 100.3685196201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Pahlawan Tak Dikenal,{'open_now': True},"[{'height': 531, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107100496753825342599"">Budi Nurul Huda</a>'], 'photo_reference': 'AUGGfZk4-kqYYIGXruV6cAYyU1oF-axy5Vlcq1wtbdPCqheDI-hRTE7YIrsAj9uGbQ2yMozfHDOlBnN2V9MfTQ08B-xGy4iGSERfAv6doydLwdDF00n1pqj9OAu9wgccx4Wa3A_kBj020-oA4kK6Uz9EUv2CbnUa4gWfZpejb3x4_PsRFF_C', 'width': 800}]",ChIJUZm0q7041S8Rx8YxIUzXNqE,4.6,ChIJUZm0q7041S8Rx8YxIUzXNqE,"['tourist_attraction', 'point_of_interest', 'establishment']",79,,https://www.google.com/maps/place/?q=place_id:ChIJUZm0q7041S8Rx8YxIUzXNqE
OPERATIONAL,"Taman Jl. Panorama, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136, Indonesia","{'location': {'lat': -0.3079845, 'lng': 100.3652499}, 'viewport': {'northeast': {'lat': -0.3065380701072778, 'lng': 100.3666024298927}, 'southwest': {'lat': -0.3092377298927222, 'lng': 100.3639027701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sianok Valley Panoramic,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114491422263131542682"">ruly syafiiyah</a>'], 'photo_reference': 'AUGGfZkENCzRp1mmR4mdV_1XrQvt-UcAiSZ7Ur8Z4V-_WTztwCpE_xeSByTymwbOOwJRZALczT4k0RyxjrFkOQDkblqksGdBqIFXb7Oh49PNNypv9dYfnWfca4vKnWsngAvtVZ9YUYPmN27E4KxG3_70yCcCRFgGtr1r8a5BFNr90uspgFoj', 'width': 4608}]",ChIJQw1qEbw41S8Ryca5ynELeS8,4.6,ChIJQw1qEbw41S8Ryca5ynELeS8,"['tourist_attraction', 'point_of_interest', 'establishment']",2046,"{'compound_code': 'M9R8+R3 Kayu Kubu, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9R8+R3'}",https://www.google.com/maps/place/?q=place_id:ChIJQw1qEbw41S8Ryca5ynELeS8
OPERATIONAL,"M9V7+HR2, Jl. Panorama No.33, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136, Indonesia","{'location': {'lat': -0.3062243, 'lng': 100.3645716}, 'viewport': {'northeast': {'lat': -0.3047970201072778, 'lng': 100.3659705798927}, 'southwest': {'lat': -0.3074966798927223, 'lng': 100.3632709201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumatran Trails Eco tour and travel / Tour Guide,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115600035138571119161"">A Google User</a>'], 'photo_reference': 'AUGGfZnfDqDhQRIIfgszvRrK-NHx5N5IOzcD716b0k4UYEVmszXHfMOsoBMBoFDsicsomNVQUDW121qc4H0htDysytFwlFgK5dWXqkl-OrWyi3LocA0iIEVeO7NeWc8LZFzzx37oEk06TLcdDYf6hKTShaxBaJr_BltNpKv16JEWbSU2Jm75', 'width': 4000}]",ChIJ8ai6bgA51S8R3mHjL_Lz0J8,5.0,ChIJ8ai6bgA51S8R3mHjL_Lz0J8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ8ai6bgA51S8R3mHjL_Lz0J8
OPERATIONAL,"Jl. Panorama No.31, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136, Indonesia","{'location': {'lat': -0.3076315, 'lng': 100.3659326}, 'viewport': {'northeast': {'lat': -0.3062406701072777, 'lng': 100.3672637298927}, 'southwest': {'lat': -0.3089403298927222, 'lng': 100.3645640701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panorama Bukittinggi,,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105219439056008592689"">Aris Triantono</a>'], 'photo_reference': 'AUGGfZmAKegy1t3qXd7bTtTRu1nkbjA6zCkxAV0zE1-8m9f1n6sS2u7YP1IzDO_m7R_jE46hV1Z_HcvcHi0HpBt0WYz129qIUThDKmOK_58I5NVsDe1ycpwmPWDx5zGsgfHX6C1ItBGZ8mN3eValFdOJBgQnA0CgpGyPDw54CvGpbCmiBoaV', 'width': 4624}]",ChIJvb_t7rs41S8R6M7SnY9p90E,4.6,ChIJvb_t7rs41S8R6M7SnY9p90E,"['tourist_attraction', 'point_of_interest', 'establishment']",114,"{'compound_code': 'M9R8+W9 Kayu Kubu, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9R8+W9'}",https://www.google.com/maps/place/?q=place_id:ChIJvb_t7rs41S8R6M7SnY9p90E
OPERATIONAL,"M9WC+X9J, Aur Tajungkang Tengah Sawah, Guguk Panjang, Bukittinggi City, West Sumatra 26136, Indonesia","{'location': {'lat': -0.3025422, 'lng': 100.3708755}, 'viewport': {'northeast': {'lat': -0.3011923701072778, 'lng': 100.3722253298927}, 'southwest': {'lat': -0.3038920298927222, 'lng': 100.3695256701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Janjang 40,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107370506077970782289"">A Google User</a>'], 'photo_reference': 'AUGGfZmm-N4_AF5mtYc2u2eV6UAI7sCR6zSR5UF2Ytp_HCpZTlfsF9tbjxS1Wu32vnSbNnYqRm3MKgWx4FF-KD0ao2rKcIP7Y-UjgQKVet3La34P7VPHZBXuUUO5ITWWB08TqycSrprn47y1bHv_1G0WBXHgmeSg4mhjJc3gfNrERmAZ6aX-', 'width': 4000}]",ChIJzbpE6qI41S8Rw5__nEEbYqo,4.6,ChIJzbpE6qI41S8Rw5__nEEbYqo,"['tourist_attraction', 'point_of_interest', 'establishment']",742,,https://www.google.com/maps/place/?q=place_id:ChIJzbpE6qI41S8Rw5__nEEbYqo
OPERATIONAL,"M9RC+X32, Bukit Cangang Kayu Ramang, Guguk Panjang, Bukittinggi City, West Sumatra 26138, Indonesia","{'location': {'lat': -0.3076238, 'lng': 100.3701473}, 'viewport': {'northeast': {'lat': -0.3062661701072777, 'lng': 100.3715024298927}, 'southwest': {'lat': -0.3089658298927222, 'lng': 100.3688027701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukittinggi - Seremban Monument,{'open_now': True},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113041746099335375276"">Suryadi Fajrin</a>'], 'photo_reference': 'AUGGfZmPqppqEE26GZRqBao5FVLc1FqMs2Hg4XAhqn1P7gtP4U-SxrY4w0d9rRg1WEFY1xHKKRI8CUlIi220SnzB_6XH9vAHw6YE-ooiV7w_SJbqSM9C1_KAII-8kVwbmbCDnPxYxEABtbL4YQTQrm8LXvHR9VdYYOE4pzLo4TaLOsJlqVU8', 'width': 2616}]",ChIJ-TmPLow51S8RQcSrzZlQ2-M,5.0,ChIJ-TmPLow51S8RQcSrzZlQ2-M,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ-TmPLow51S8RQcSrzZlQ2-M
OPERATIONAL,"Tanang River, Banuhampu, Agam Regency, West Sumatra 26181, Indonesia","{'location': {'lat': -0.3480849, 'lng': 100.3733153}, 'viewport': {'northeast': {'lat': -0.3466347701072778, 'lng': 100.3745260798927}, 'southwest': {'lat': -0.3493344298927222, 'lng': 100.3718264201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tabek Gadang Sungai Tanang,{'open_now': True},"[{'height': 1316, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103769647002099363899"">Deddy Oktaviandy</a>'], 'photo_reference': 'AUGGfZlSnFi93UzPiJSQC6PnNgoGepigJKAUPA6lceo727hWFLXhff5RhOW17WaaxWIZtnFpyvuE2VVMAbYKJu5vtDATZ4Z9gBYEuuKMyLQeYMDbbr6GSHpT_dqxFGGGBLjlG6iMHJZFADGWLGIO6E5Goepso9ABgU6V3sYPYdrgwvwm99zn', 'width': 1974}]",ChIJN7shdBU51S8RoiIA_FK1SK4,4.6,ChIJN7shdBU51S8RoiIA_FK1SK4,"['tourist_attraction', 'point_of_interest', 'establishment']",556,"{'compound_code': 'M92F+Q8 Tanang River, Agam Regency, West Sumatra, Indonesia', 'global_code': '6PF2M92F+Q8'}",https://www.google.com/maps/place/?q=place_id:ChIJN7shdBU51S8RoiIA_FK1SK4
OPERATIONAL,"M9R6+47H, Kayu Kubu, Guguk Panjang, Bukittinggi City, West Sumatra 26181, Indonesia","{'location': {'lat': -0.3096937, 'lng': 100.3607326}, 'viewport': {'northeast': {'lat': -0.3066553000000001, 'lng': 100.3615963798927}, 'southwest': {'lat': -0.3107064999999999, 'lng': 100.3588967201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tree House Inyiak,{'open_now': True},"[{'height': 4344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105235140906820487352"">Randu Risha</a>'], 'photo_reference': 'AUGGfZnjG-BBHp3W4375QS6C3LRx3AwrAynODGkt9B4khiIsjEWSJI5gQHU5vuV1_2r4rtvIzxH02Jevy8G1RFZ_Y2jroASdpc6cuWEwF4gBMWmU1P2BUIE-TnP-kGqWYObuMNI64dIX401_lotWG1cC16ew7Q2ztuqQWKPUSScj-KUV2IDS', 'width': 5792}]",ChIJ5dUbXrc41S8RcaM7k-oeoM8,4.3,ChIJ5dUbXrc41S8RcaM7k-oeoM8,"['tourist_attraction', 'cafe', 'park', 'lodging', 'place_of_worship', 'point_of_interest', 'food', 'establishment']",895,,https://www.google.com/maps/place/?q=place_id:ChIJ5dUbXrc41S8RcaM7k-oeoM8
OPERATIONAL,"Jl. Raya Padang Panjang - Bukittinggi No.31-8, Birugo, Kec. Aur Birugo Tigo Baleh, Kota Bukittinggi, Sumatera Barat 26181, Indonesia","{'location': {'lat': -0.3222084, 'lng': 100.3785379}, 'viewport': {'northeast': {'lat': -0.3208595701072777, 'lng': 100.3798858798927}, 'southwest': {'lat': -0.3235592298927222, 'lng': 100.3771862201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batas Kota Bukittinggi,,"[{'height': 940, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113041746099335375276"">Suryadi Fajrin</a>'], 'photo_reference': 'AUGGfZn6L-sQCVMjh_BmOpsp6c-V5ve5zt98psBRtpDYfn5vs18Cgzg4I6jSsqmd8VXVm-DHaxpO8gAHuT5rNU6CN7XTbJZGAM-kvwwdHxbCuetZhGxnLnIoN-em1ubrIUQ76ZKV6cZDh6svJEk3HxlwwGa8RIuGTUIeIHzpT6wkwswM8cuN', 'width': 412}]",ChIJGfhi7Wo51S8RJaY32C9TNvQ,4.9,ChIJGfhi7Wo51S8RJaY32C9TNvQ,"['tourist_attraction', 'point_of_interest', 'establishment']",30,"{'compound_code': 'M9HH+4C Birugo, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9HH+4C'}",https://www.google.com/maps/place/?q=place_id:ChIJGfhi7Wo51S8RJaY32C9TNvQ
