business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Bypass Ngurah Rai No.762, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia","{'location': {'lat': -8.716711, 'lng': 115.2052612}, 'viewport': {'northeast': {'lat': -8.71547297010728, 'lng': 115.2066365298927}, 'southwest': {'lat': -8.718172629892724, 'lng': 115.2039368701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Upside Down World Bali,{'open_now': False},"[{'height': 3265, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105749039920488167322"">Agus Cece</a>'], 'photo_reference': 'AUGGfZklgWmyj4nMk-sIL-IU1i061T9tAExincWOl6uAxQCCy7s-usa9EuJ6oV37ntep6Pom9OFT0do4PPRhGx5Mivzx10sgLTcgNG8iWCrcqOVNGDOrPzf5y0w-iuYCFwg0vUZRzb3JRTu-GC5GTDRCpWcBsLFNhnfslkmNRd2oKD1ytQBW', 'width': 4898}]",ChIJL1XuIURB0i0RNRhRbMMJMLI,"{'compound_code': '76M4+84 Pemogan, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q76M4+84'}",4.2,ChIJL1XuIURB0i0RNRhRbMMJMLI,"['tourist_attraction', 'point_of_interest', 'establishment']",3905,https://www.google.com/maps/place/?q=place_id:ChIJL1XuIURB0i0RNRhRbMMJMLI
OPERATIONAL,"Sanur, Jl. Bypass Ngurah Rai, Kesiman, Denpasar Selatan, Kota Denpasar, Bali 80237, Indonesia","{'location': {'lat': -8.656860199999999, 'lng': 115.253657}, 'viewport': {'northeast': {'lat': -8.65537172010728, 'lng': 115.2549599298927}, 'southwest': {'lat': -8.658071379892723, 'lng': 115.2522602701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Big Garden Corner,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111437183146246351904"">Kaye Cheung</a>'], 'photo_reference': 'AUGGfZl2r0Yu6eUKZZnWaNDxW43SJnzydFipFTgtcfXtngzAKnYaYZJD4u0ZGc1dkXwmQ_wOUyudlqODc6IHHdVXYPTYKtbB--ElkdZ9GJQe9fHFjKUBTaSYDl4Sbzye8CDPt5ANDkPpgU-pIJHrGQc-XEkH70j1IqWxwqD0Z8fAOvGYkbVq', 'width': 4032}]",ChIJwwCS2XFA0i0RwGKRquRfi2s,"{'compound_code': '87V3+7F Kesiman, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q87V3+7F'}",4.3,ChIJwwCS2XFA0i0RwGKRquRfi2s,"['tourist_attraction', 'point_of_interest', 'establishment']",6016,https://www.google.com/maps/place/?q=place_id:ChIJwwCS2XFA0i0RwGKRquRfi2s
OPERATIONAL,"Jl. Veteran No.62, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80361, Indonesia","{'location': {'lat': -8.651006500000001, 'lng': 115.2173848}, 'viewport': {'northeast': {'lat': -8.649748470107278, 'lng': 115.2187534298927}, 'southwest': {'lat': -8.652448129892724, 'lng': 115.2160537701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puri Agung Denpasar,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101535723153544858746"">yves frombelgium</a>'], 'photo_reference': 'AUGGfZmXxC4jxw1mGOsvB1JPm9QpxkfKfWrsYOdU8KcaZhYw5NggSdKqSkfbsAH4bweXwraDMtQR7GxenZBrhy8ulHvZbT6padHNC7lj5XbZVKDMykSEFSzZz_UqQBy0EN0A5ez8duS6BfqjrH7goQsyvfLfPr4oGLMvphO9rz7oyM_pOTjq', 'width': 1920}]",ChIJiW81E55A0i0RmL0PgzgsgbU,"{'compound_code': '86X8+HX Dangin Puri Kaja, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q86X8+HX'}",4.6,ChIJiW81E55A0i0RmL0PgzgsgbU,"['tourist_attraction', 'hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",141,https://www.google.com/maps/place/?q=place_id:ChIJiW81E55A0i0RmL0PgzgsgbU
OPERATIONAL,"Jl. Raya Puputan No.142, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234, Indonesia","{'location': {'lat': -8.6717348, 'lng': 115.233902}, 'viewport': {'northeast': {'lat': -8.66996895, 'lng': 115.23743205}, 'southwest': {'lat': -8.67420755, 'lng': 115.23052705}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Bajra Sandhi Monument,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116904603069215935736"">Florian Bader</a>'], 'photo_reference': 'AUGGfZlh-lxWw5yrwBlInGabBrZFe47t0_-wwgZAY7eMCFaEllbsT6iG6dVKXTv9SIif907b-rCGbTfxGFImDjiWskzVYtU3M-fXqTuV3h60LiDwvpDykBAj0U48jPjej57SnH62Vf9tNm2BbnNy2Ui7lTbjMAyvHpXtTkNsn9kMTHWqaTTv', 'width': 4032}]",ChIJL626sPVA0i0RLJoATqtQcfY,"{'compound_code': '86HM+8H Panjer, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q86HM+8H'}",4.6,ChIJL626sPVA0i0RLJoATqtQcfY,"['tourist_attraction', 'point_of_interest', 'establishment']",14552,https://www.google.com/maps/place/?q=place_id:ChIJL626sPVA0i0RLJoATqtQcfY
OPERATIONAL,"Jl. Griya Anyar No.25B, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia","{'location': {'lat': -8.718854, 'lng': 115.1924122}, 'viewport': {'northeast': {'lat': -8.717715320107278, 'lng': 115.1938070298927}, 'southwest': {'lat': -8.720414979892722, 'lng': 115.1911073701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Barong Tanah Kilap - Sari Wisata Budaya BALI,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116986847149637037728"">Chee Yang Chia</a>'], 'photo_reference': 'AUGGfZlKWUGeW_S2MaOm2-MJE8rmecOhnvA8DebezbDqwvoHIpFRgJ11rWmpnYRnitnbT6sW0As4Ye3-_uv8KfLbg8WHY4rXwcxhPP4s7nDZylKsNVZkfx_Js2oPPA3OExoAOBQEl6NHSD2_rJIpeIeBCOELN1634rMNvMP3efhhnMi5fspL', 'width': 4032}]",ChIJNa4uW0xB0i0RevpSX7uEVjQ,"{'compound_code': '75JR+FX Pemogan, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q75JR+FX'}",4.4,ChIJNa4uW0xB0i0RevpSX7uEVjQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1825,https://www.google.com/maps/place/?q=place_id:ChIJNa4uW0xB0i0RevpSX7uEVjQ
OPERATIONAL,"No., Jl. Pengembak No.44, Denpasar Selatan, Kota Denpasar, Bali, Indonesia","{'location': {'lat': -8.7120008, 'lng': 115.24822}, 'viewport': {'northeast': {'lat': -8.710171020107278, 'lng': 115.2496328298927}, 'southwest': {'lat': -8.712870679892722, 'lng': 115.2469331701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Inspirasi Mertasari,{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117226178324625473120"">Jan Nick</a>'], 'photo_reference': 'AUGGfZmpiDEp7ezgU9naD2hBWjgUxroovayxWQT3-iS0nxoGGyxOz0e-5TTrgFcPRQ0X0aMa1hFapa109DJ5PBwZVrRjc3EjbmHW7cM033Lasuu8KduTfQUqELc5eXTr5Msn5fALLj4PJi6nRMRWqLm8UCThB-P4gUdOkKRJO06N9rmZfucx', 'width': 4608}]",ChIJhTrb3ZlB0i0RloULjHV5Yfc,"{'compound_code': '76QX+57 Sanur Kauh, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q76QX+57'}",4.4,ChIJhTrb3ZlB0i0RloULjHV5Yfc,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1131,https://www.google.com/maps/place/?q=place_id:ChIJhTrb3ZlB0i0RloULjHV5Yfc
OPERATIONAL,"75VR+9P3, Jl. Taman Pancing, Pemogan, Denpasar Selatan, Kota Denpasar, Bali, Indonesia","{'location': {'lat': -8.7066061, 'lng': 115.1918029}, 'viewport': {'northeast': {'lat': -8.70524617010728, 'lng': 115.1931226798927}, 'southwest': {'lat': -8.707945829892724, 'lng': 115.1904230201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NAMA JALAN,,,ChIJv86klsNB0i0R4x8-VRmeZKo,,0.0,ChIJv86klsNB0i0R4x8-VRmeZKo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJv86klsNB0i0R4x8-VRmeZKo
OPERATIONAL,"Jl. Nusa Indah No.1, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80236, Indonesia","{'location': {'lat': -8.655621499999999, 'lng': 115.2338714}, 'viewport': {'northeast': {'lat': -8.654237970107278, 'lng': 115.2357604798927}, 'southwest': {'lat': -8.656937629892722, 'lng': 115.2330608201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Werdhi Budaya Art Centre,{'open_now': False},"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113076978288899793852"">Cokorda Sarotama</a>'], 'photo_reference': 'AUGGfZnrOg6R3rrJ3kwgr5d8IHyvx56nQ_O6ZO2KKNdrzKLh7sisj5sh5u5Ttk8jpASI1NDv3p-JgQ66ilh9ovb1v8NobDnwSfpjmEUnuviPjG-3-0zITq2RfKFXVd_2--DmPiXnlgSokDK89BEVzBXxR4ve8gt6cR_UUgEopNLCNZUFRffI', 'width': 4000}]",ChIJGQ6sdIdA0i0RHsllnemsju4,"{'compound_code': '86VM+QG Panjer, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q86VM+QG'}",4.6,ChIJGQ6sdIdA0i0RHsllnemsju4,"['tourist_attraction', 'point_of_interest', 'establishment']",9120,https://www.google.com/maps/place/?q=place_id:ChIJGQ6sdIdA0i0RHsllnemsju4
OPERATIONAL,"Jl. Bali Eksotik No.8, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80222, Indonesia","{'location': {'lat': -8.7238697, 'lng': 115.2164357}, 'viewport': {'northeast': {'lat': -8.722581220107278, 'lng': 115.2178051298927}, 'southwest': {'lat': -8.725280879892722, 'lng': 115.2151054701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bali Exotic Marine Park,{'open_now': False},"[{'height': 1792, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110034479053990462289"">A Google User</a>'], 'photo_reference': 'AUGGfZmkm4c_dP3X-f7h3dwyUx_yYc06M-k_51fzsCJPzCXKqHhXzyENdkzHbcM7-REY2j4GcY95ehzleE7s5ZVoLXYieX6Rq5JQ4kRjcf4H4d8cHEQ7_3EVt_1PeNTPbTPQ50PRQjhevXOOqwEHkFWS50NwXelTcEFcAdaR2vHawrmDmh7R', 'width': 2688}]",ChIJf9ehV5pB0i0RNwxjWAJ05kU,"{'compound_code': '76G8+FH Pedungan, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q76G8+FH'}",4.6,ChIJf9ehV5pB0i0RNwxjWAJ05kU,"['tourist_attraction', 'zoo', 'point_of_interest', 'establishment']",528,https://www.google.com/maps/place/?q=place_id:ChIJf9ehV5pB0i0RNwxjWAJ05kU
OPERATIONAL,"Jl. Turi, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali 80235, Indonesia","{'location': {'lat': -8.6437911, 'lng': 115.2358125}, 'viewport': {'northeast': {'lat': -8.642425820107277, 'lng': 115.2371763798927}, 'southwest': {'lat': -8.645125479892721, 'lng': 115.2344767201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Daerah tujuan wisata tukad bindu,{'open_now': True},"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104979822940920524828"">A Google User</a>'], 'photo_reference': 'AUGGfZnWAdr0HjGd-3BUI_jrpMOsWKd0Dif0R4iVaJ7yk1vMXjJJ5GiIxGrIl7ISPIiBg6aeKSttPxw0Ovj9sBkf5P29py02xBTh1h2e8_vjW7whM5YbZ0tOEbMROCRbXPfg6DVeVFhu2swqqnlS4NXFGyfKzJrOMvFVeLn2tC6liNSVwhMy', 'width': 4208}]",ChIJu0Dbm3g_0i0ReErLR0BFjww,"{'compound_code': '964P+F8 Kesiman, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q964P+F8'}",4.5,ChIJu0Dbm3g_0i0ReErLR0BFjww,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1044,https://www.google.com/maps/place/?q=place_id:ChIJu0Dbm3g_0i0ReErLR0BFjww
