business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"MCQJ+6JP, Ratu Sima, Dumai Sel., Dumai City, Riau 28826, Indonesia","{'location': {'lat': 1.6880836, 'lng': 101.4315752}, 'viewport': {'northeast': {'lat': 1.689351079892722, 'lng': 101.4330217298927}, 'southwest': {'lat': 1.686651420107278, 'lng': 101.4303220701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bandar Bakau Dumai,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113930286858136344842"">Achmad Riyadh</a>'], 'photo_reference': 'AUGGfZlt5iCZXnU_8ojblEa_pX-SzGQxlrPfOW-Xq-HTGLEsCObwqID9fChsDW37OrGTUNk6RCVSu1TgoUKNSa0zSJWFk3zZf3XS_5zZ-ZacPvysukyV4mpyMFe2YW9Kr1_snBASMjr9uVMJfhvSQuwDVxXyI6vMws3K3LLiwbQ6S42J0zTQ', 'width': 3024}]",ChIJFbKe_u2o0zER0MuKTfX13to,4.1,ChIJFbKe_u2o0zER0MuKTfX13to,"['tourist_attraction', 'point_of_interest', 'establishment']",1128,,https://www.google.com/maps/place/?q=place_id:ChIJFbKe_u2o0zER0MuKTfX13to
OPERATIONAL,"MC58+48, Bukit Datuk, Dumai Selatan, Dumai City, Riau, Indonesia","{'location': {'lat': 1.6605708, 'lng': 101.415723}, 'viewport': {'northeast': {'lat': 1.662175829892722, 'lng': 101.4170597798927}, 'southwest': {'lat': 1.659476170107278, 'lng': 101.4143601201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KERAMBA PAK BILSON,{'open_now': True},,ChIJKws16L6p0zERXGCrtLrz-H0,0.0,ChIJKws16L6p0zERXGCrtLrz-H0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJKws16L6p0zERXGCrtLrz-H0
OPERATIONAL,"JFV2+PW5, Jl. Perjuangan, Bukit Batrem, Kec. Dumai Tim., Kota Dumai, Riau 28826, Indonesia","{'location': {'lat': 1.6442581, 'lng': 101.4523626}, 'viewport': {'northeast': {'lat': 1.645409479892722, 'lng': 101.45466255}, 'southwest': {'lat': 1.642709820107278, 'lng': 101.45159595}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Junkyard PT.PHR Dumai,,,ChIJ6QatKzOv0zERD2QoyYcvaRo,0.0,ChIJ6QatKzOv0zERD2QoyYcvaRo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ6QatKzOv0zERD2QoyYcvaRo
OPERATIONAL,"J8XX+73G, Jl. Bangun Sari, Mekar Sari, Kec. Dumai Selatan, Kota Dumai, Riau 28826, Indonesia","{'location': {'lat': 1.6481768, 'lng': 101.3477182}, 'viewport': {'northeast': {'lat': 1.649526629892722, 'lng': 101.3490680298927}, 'southwest': {'lat': 1.646826970107278, 'lng': 101.3463683701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,M. Rs/ibL.m,,,ChIJcSRg6kip0zERtmru3feMdzg,5.0,ChIJcSRg6kip0zERtmru3feMdzg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJcSRg6kip0zERtmru3feMdzg
OPERATIONAL,"J9XP+H3, Bukit Timah, Dumai Selatan, Dumai City, Riau 28826, Indonesia","{'location': {'lat': 1.6489581, 'lng': 101.3852522}, 'viewport': {'northeast': {'lat': 1.650307229892722, 'lng': 101.3866262798927}, 'southwest': {'lat': 1.647607570107278, 'lng': 101.3839266201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata bukit lele,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106234743363165632841"">husni thamrin</a>'], 'photo_reference': 'AUGGfZl1ATdJbnThGIaVO9ZdctaDnbx2lCG3seoI1uXCXe--HLkdCmYRj-tQbxuPxdogaW6lqDRAsuwWftc2uX-nF6H8G1C_VD74qYSr7Drb93oVo9fjw7XAcAsfoIyz8qvMI7Sm64wyZrj9lrlcHkQo0iz9pjf7f0fs8ahGLPv6mJssZFx9', 'width': 3000}]",ChIJPZEj3BWp0zERk8KRT2GFIgQ,3.5,ChIJPZEj3BWp0zERk8KRT2GFIgQ,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJPZEj3BWp0zERk8KRT2GFIgQ
OPERATIONAL,"JCGX+C6Q, Bukit Batrem, Dumai Timur, Dumai City, Riau, Indonesia","{'location': {'lat': 1.6260767, 'lng': 101.4481111}, 'viewport': {'northeast': {'lat': 1.630178600000001, 'lng': 101.4508783}, 'southwest': {'lat': 1.624709399999999, 'lng': 101.4471887}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PENYEROBOT LAHAN,,,ChIJy0ZMbACl0zERg_rLcHRsfug,0.0,ChIJy0ZMbACl0zERg_rLcHRsfug,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJy0ZMbACl0zERg_rLcHRsfug
OPERATIONAL,"MC35+H3P, Jl. Bunga Tj. Jl. Tj. Raya, Bukit Datuk, Kec. Dumai Selatan, Kota Dumai, Riau 28826, Indonesia","{'location': {'lat': 1.6545032, 'lng': 101.4086812}, 'viewport': {'northeast': {'lat': 1.656236429892722, 'lng': 101.4097278798927}, 'southwest': {'lat': 1.653536770107278, 'lng': 101.4070282201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Kreasi Bunga Tanjung,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113611271122588472229"">A Google User</a>'], 'photo_reference': 'AUGGfZmYRWzgFH3buasXGXwn2yWvK3cs9C64oolTSw8Xw38qy_LHCXqQMr5_5dCC4wDnLh6SpPdtNBB8Ms4JduiBMFKDUQMZCg2SWOjvrc0y58GtMdYT9Gid2knw3Zn9mJzVtyFKKSeyxCIv2bXM-STFkOJjc9_srC9LKV1_muwAAbBi4yke', 'width': 1600}]",ChIJqaa4aoKp0zER846KanknDrg,5.0,ChIJqaa4aoKp0zER846KanknDrg,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJqaa4aoKp0zER846KanknDrg
OPERATIONAL,"MC9P+GQ4, Jl. Anggur Tim., Rimba Sekampung, Kec. Dumai Kota, Kota Dumai, Riau 28826, Indonesia","{'location': {'lat': 1.6685695, 'lng': 101.4370418}, 'viewport': {'northeast': {'lat': 1.670049229892722, 'lng': 101.4384450298927}, 'southwest': {'lat': 1.667349570107278, 'lng': 101.4357453701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rivergap,,,ChIJb4GlFgCv0zERXiAooZv7GJM,0.0,ChIJb4GlFgCv0zERXiAooZv7GJM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJb4GlFgCv0zERXiAooZv7GJM
OPERATIONAL,"JCVC+H9X, Bukit Datuk, Dumai Selatan, Dumai City, Riau 28826, Indonesia","{'location': {'lat': 1.6439772, 'lng': 101.4209818}, 'viewport': {'northeast': {'lat': 1.644844049999999, 'lng': 101.4221181298927}, 'southwest': {'lat': 1.64137665, 'lng': 101.4194184701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan bukit takaul,,,ChIJnXNHVwCp0zERZ7Q_8P1CEz0,0.0,ChIJnXNHVwCp0zERZ7Q_8P1CEz0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJnXNHVwCp0zERZ7Q_8P1CEz0
OPERATIONAL,"Teluk Binjai, Dumai Timur, Dumai City, Riau, Indonesia","{'location': {'lat': 1.6606228, 'lng': 101.4466951}, 'viewport': {'northeast': {'lat': 1.661972629892722, 'lng': 101.4480449298927}, 'southwest': {'lat': 1.659272970107278, 'lng': 101.4453452701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,TAMAN BUKIT GELANGGANG,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105090568411936701867"">Arli Mksr</a>'], 'photo_reference': 'AUGGfZlUUsAqdULvUbPNBIb7vwsfWJm0Ziyea4V5rHkmy9L5XJhQsPlgOcq6I6haUvU8ujtQiJsz1mT5JcYarXaJlTToLItKRlXSZ9nQ4I9gG91Nq_QQmCj46TWkmHzwBZUEFRKnQNnBEILpVHOhmxl-l1YPx8Vmw6S-5GC8sEi0sEPf_zbj', 'width': 4160}]",ChIJhaEflUev0zER3QcxQepiekY,4.3,ChIJhaEflUev0zER3QcxQepiekY,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",3152,"{'compound_code': 'MC6W+6M Teluk Binjai, Dumai City, Riau, Indonesia', 'global_code': '6PH3MC6W+6M'}",https://www.google.com/maps/place/?q=place_id:ChIJhaEflUev0zER3QcxQepiekY
