business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
OPERATIONAL,"2PCC+JRX, Demang Lebar Daun, Ilir Barat I, Palembang City, South Sumatra, Indonesia","{'location': {'lat': -2.978376, 'lng': 104.7220938}, 'viewport': {'northeast': {'lat': -2.976973220107277, 'lng': 104.7230340798927}, 'southwest': {'lat': -2.979672879892722, 'lng': 104.7203344201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun binatang,ChIJXSAFIgB1Oy4RZD43bS4SVIo,0.0,ChIJXSAFIgB1Oy4RZD43bS4SVIo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJXSAFIgB1Oy4RZD43bS4SVIo
OPERATIONAL,"2Q54+9CW, Talang Semut, Bukit Kecil, Palembang City, South Sumatra 30113, Indonesia","{'location': {'lat': -2.9915104, 'lng': 104.7560777}, 'viewport': {'northeast': {'lat': -2.990160570107277, 'lng': 104.7574275298927}, 'southwest': {'lat': -2.992860229892722, 'lng': 104.7547278701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sekanak Sidewalk,ChIJn1gfkil3Oy4RwYXcspqjY7I,4.2,ChIJn1gfkil3Oy4RwYXcspqjY7I,"['tourist_attraction', 'point_of_interest', 'establishment']",44,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113130244563086211158"">A Google User</a>'], 'photo_reference': 'AUGGfZm--2hvw_b_EJx9MCQvrORUCTQOvmqTMGb6ZoLodyxCAVvR3Nz-KfEZPhsv2RertF43Ti4rtE4c-Odzg6Q6pq2Io3S31_RLSvIqM24BWg9v3q1MraxXt9z5vRGD3dJVEZkKMqJW-Gp958cNp1GGAXKtQ0MN1NM6cOibzFcXATLADfSG', 'width': 3024}]",,https://www.google.com/maps/place/?q=place_id:ChIJn1gfkil3Oy4RwYXcspqjY7I
OPERATIONAL,"Jl. Sultan M. Mansyur No.24, 35 Ilir, Kec. Ilir Bar. II, Kota Palembang, Sumatera Selatan 30145, Indonesia","{'location': {'lat': -3.0017917, 'lng': 104.7436557}, 'viewport': {'northeast': {'lat': -3.000426370107278, 'lng': 104.7450103298927}, 'southwest': {'lat': -3.003126029892722, 'lng': 104.7423106701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang Sjakhyakirti,ChIJbyqbpxqfOy4RY6TTQIx3Uds,0.0,ChIJbyqbpxqfOy4RY6TTQIx3Uds,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,"{'compound_code': 'XPXV+7F 35 Ilir, Palembang City, South Sumatra, Indonesia', 'global_code': '6P86XPXV+7F'}",https://www.google.com/maps/place/?q=place_id:ChIJbyqbpxqfOy4RY6TTQIx3Uds
OPERATIONAL,"Poligon v2 palembang, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan, Indonesia","{'location': {'lat': -3.0033221, 'lng': 104.7178717}, 'viewport': {'northeast': {'lat': -3.001971370107277, 'lng': 104.7192443298927}, 'southwest': {'lat': -3.004671029892722, 'lng': 104.7165446701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah taman kaca,ChIJkwqf4K93Oy4ReslkZ4zbQBA,4.0,ChIJkwqf4K93Oy4ReslkZ4zbQBA,"['tourist_attraction', 'point_of_interest', 'establishment']",15,,"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113239506209832705597"">Bram Wijaya</a>'], 'photo_reference': 'AUGGfZkHst9ApHWW3wu9nYXS9ymMu3XZ1vABGjiOYUlJELcY3XZP6ORZrmBegOerRtCBIjIs-4Jh4yCiIe0j7SCJQMVnoXHhhmK8v7DfDoFG43w-IpIK84vkJnnwIDjuOnFk1gHJel4G0on1KHcqJFBmvQh4sm4MQM3uW5WtKQPp2viIQtD_', 'width': 2232}]",,https://www.google.com/maps/place/?q=place_id:ChIJkwqf4K93Oy4ReslkZ4zbQBA
OPERATIONAL,"2PF5+6J3, Bukit Baru, Ilir Barat I, Palembang City, South Sumatra, Indonesia","{'location': {'lat': -2.9769919, 'lng': 104.7090518}, 'viewport': {'northeast': {'lat': -2.975668720107278, 'lng': 104.7105622798927}, 'southwest': {'lat': -2.978368379892722, 'lng': 104.7078626201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah Akiludin,ChIJr8gnDQB1Oy4RwmSihAyHViU,5.0,ChIJr8gnDQB1Oy4RwmSihAyHViU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJr8gnDQB1Oy4RwmSihAyHViU
OPERATIONAL,"Jl. Ps. Baru No.208, 16 Ilir, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30122, Indonesia","{'location': {'lat': -2.9897345, 'lng': 104.7641052}, 'viewport': {'northeast': {'lat': -2.988384670107278, 'lng': 104.7654550298927}, 'southwest': {'lat': -2.991084329892722, 'lng': 104.7627553701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Plaza 16 Ilir,ChIJ6cC4Gut3Oy4R1BK-73A2MQI,4.7,ChIJ6cC4Gut3Oy4R1BK-73A2MQI,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112873666927644280012"">Oktiansyah Yuan</a>'], 'photo_reference': 'AUGGfZkfBLgrvYPOsJCbkul8He3jUkBwNlNia23XLYNfWPeA02Z-677VPPdgUe3xhwaV6eTWri2LGxpqJeH4GWquNqab0Cj1XK5rbDuqzq13g5V96c_oMLkivQb4GSaAkA4fDJx6Yh2ddLlQLDmKxL-qKJQoQNpgO83pazClgKPPqUaDGmPg', 'width': 4080}]","{'compound_code': '2Q67+4J 16 Ilir, Palembang City, South Sumatra, Indonesia', 'global_code': '6P962Q67+4J'}",https://www.google.com/maps/place/?q=place_id:ChIJ6cC4Gut3Oy4R1BK-73A2MQI
OPERATIONAL,"2P3Q+58F, 30 Ilir, Ilir Barat II, Palembang City, South Sumatra 30134, Indonesia","{'location': {'lat': -2.9970543, 'lng': 104.7382852}, 'viewport': {'northeast': {'lat': -2.995720470107277, 'lng': 104.7396229298927}, 'southwest': {'lat': -2.998420129892722, 'lng': 104.7369232701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lrg Pemuda,ChIJNbFJnr6fOy4RhFlllS9iapM,5.0,ChIJNbFJnr6fOy4RhFlllS9iapM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJNbFJnr6fOy4RhFlllS9iapM
OPERATIONAL,"Lorong Jaya Sempurna Lorong Tembusan No.18, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30128, Indonesia","{'location': {'lat': -2.988359, 'lng': 104.731316}, 'viewport': {'northeast': {'lat': -2.987346470107278, 'lng': 104.7328533298927}, 'southwest': {'lat': -2.990046129892722, 'lng': 104.7301536701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Babas,ChIJZagx7PR1Oy4RHT0fOsVEh5w,5.0,ChIJZagx7PR1Oy4RHT0fOsVEh5w,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,"{'compound_code': '2P6J+MG Bukit Lama, Palembang City, South Sumatra, Indonesia', 'global_code': '6P962P6J+MG'}",https://www.google.com/maps/place/?q=place_id:ChIJZagx7PR1Oy4RHT0fOsVEh5w
OPERATIONAL,"2P9P+3GG, Lorok Pakjo, Ilir Barat I, Palembang City, South Sumatra 30128, Indonesia","{'location': {'lat': -2.9822417, 'lng': 104.7362998}, 'viewport': {'northeast': {'lat': -2.980893070107278, 'lng': 104.7376674298927}, 'southwest': {'lat': -2.983592729892722, 'lng': 104.7349677701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MARKAS MAYOR YOPI,ChIJUxAdLwB1Oy4R7vO0XZ0FRys,5.0,ChIJUxAdLwB1Oy4R7vO0XZ0FRys,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJUxAdLwB1Oy4R7vO0XZ0FRys
OPERATIONAL,"2PCF+2Q5, Lorok Pakjo, Ilir Barat I, Palembang City, South Sumatra, Indonesia","{'location': {'lat': -2.9799946, 'lng': 104.7244826}, 'viewport': {'northeast': {'lat': -2.978672770107278, 'lng': 104.7258248798927}, 'southwest': {'lat': -2.981372429892722, 'lng': 104.7231252201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Selter DPO,ChIJHcpIMgB1Oy4R3IqtRzeUXgA,0.0,ChIJHcpIMgB1Oy4R3IqtRzeUXgA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJHcpIMgB1Oy4R3IqtRzeUXgA
OPERATIONAL,"Jl. Demang Lebar Daun No.5-4, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30121, Indonesia","{'location': {'lat': -2.9926431, 'lng': 104.7268553}, 'viewport': {'northeast': {'lat': -2.991310870107278, 'lng': 104.7281809798927}, 'southwest': {'lat': -2.994010529892722, 'lng': 104.7254813201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang Tiga Bukit SiGuntang,ChIJ2wZIPvR1Oy4R67XSG_oVyDo,0.0,ChIJ2wZIPvR1Oy4R67XSG_oVyDo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,"{'compound_code': '2P4G+WP Bukit Lama, Palembang City, South Sumatra, Indonesia', 'global_code': '6P962P4G+WP'}",https://www.google.com/maps/place/?q=place_id:ChIJ2wZIPvR1Oy4R67XSG_oVyDo
OPERATIONAL,"2P7J+8V6, Jl. Srijaya Negara, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30128, Indonesia","{'location': {'lat': -2.9867831, 'lng': 104.7323995}, 'viewport': {'northeast': {'lat': -2.985490570107278, 'lng': 104.7336410298927}, 'southwest': {'lat': -2.988190229892723, 'lng': 104.7309413701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yan Mia,ChIJobWq_Yt1Oy4RgXDCnAl9Oeg,0.0,ChIJobWq_Yt1Oy4RgXDCnAl9Oeg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJobWq_Yt1Oy4RgXDCnAl9Oeg
