business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"4MCF+9Q9, Jl. Jetayu, Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51146, Indonesia","{'location': {'lat': -6.8790952, 'lng': 109.6744772}, 'viewport': {'northeast': {'lat': -6.877769370107277, 'lng': 109.6758266298927}, 'southwest': {'lat': -6.880469029892721, 'lng': 109.6731269701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Hindia Belanda Mylpaal,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102343806648623531288"">Muhammad Benbella</a>'], 'photo_reference': 'AUGGfZmoRBcmnPUu9uCKG-BxssIXaoSrw_Ouossq6ZxfcLtJNcm5SY71YOD2UBjewVFsPyGnhmY2hKhze8A2XTNClM6k9ljZ2fHqzMBsR482ghQ_VwtK-1QnXb8pIuCDl9O2E98u0DEJPvaIWOGSO7yj0xrOXIrbWe0m7Dix8v41erW-dxc8', 'width': 4160}]",ChIJJyjLx9ElcC4Rh20PQK_D55U,4.7,ChIJJyjLx9ElcC4Rh20PQK_D55U,"['tourist_attraction', 'point_of_interest', 'establishment']",32,,,https://www.google.com/maps/place/?q=place_id:ChIJJyjLx9ElcC4Rh20PQK_D55U
OPERATIONAL,"Jl. Pantai Sari No.16, RT.01/RW.10, Panjang Baru, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51141, Indonesia","{'location': {'lat': -6.8588546, 'lng': 109.6849078}, 'viewport': {'northeast': {'lat': -6.857475670107279, 'lng': 109.6862623298927}, 'southwest': {'lat': -6.860175329892723, 'lng': 109.6835626701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sari Pekalongan,{'open_now': True},"[{'height': 2248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106095256268938954407"">ulil albab</a>'], 'photo_reference': 'AUGGfZn9rbkI9LwpamSFN3FuTaZWDyxZqpvaB3zRalKbjTlmKLq5S5t5r2DJQYzPu-Hxua2nJSU0dQ5DpnWhgbBC9G1inehnikMBiB7lp6cEkofWQ1XOXc9-UDJVvycUR4qh4HwTTN199ZomaJN2ziTAGzeEaIAlB5TRcw4abPWMjOqv_rS9', 'width': 3998}]",ChIJLxwz6y0kcC4R5vPojD1drNU,4.3,ChIJLxwz6y0kcC4R5vPojD1drNU,"['tourist_attraction', 'point_of_interest', 'establishment']",909,"{'compound_code': '4MRM+FX Panjang Baru, Pekalongan City, Central Java, Indonesia', 'global_code': '6P5F4MRM+FX'}",,https://www.google.com/maps/place/?q=place_id:ChIJLxwz6y0kcC4R5vPojD1drNU
OPERATIONAL,"4PP4+G7Q, Degayu, Pekalongan Utara, Pekalongan City, Central Java, Indonesia","{'location': {'lat': -6.863657700000001, 'lng': 109.705735}, 'viewport': {'northeast': {'lat': -6.862172920107278, 'lng': 109.7072022798927}, 'southwest': {'lat': -6.864872579892722, 'lng': 109.7045026201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cemoro Sewu,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116995713314636385684"">Hawaii Ukaze</a>'], 'photo_reference': 'AUGGfZn3oVQib8MHRsiOfZP1IWUuNKUBjaHRGnK5jJZNxlE2TAAY9ThQfFQFJVMa9jbhxLWT1U5a-FtT961kD9qIPvat-KnfNtrnNF6O2FvXYsQJOKcgy1UrUEiUp2LEzVOIukfxXKCGvF-c6DqDrzF52mAc89tRmq6yOleiLC5cLCgPWGaM', 'width': 4000}]",ChIJMwttzjYlcC4RFbPZzlgG8yQ,4.1,ChIJMwttzjYlcC4RFbPZzlgG8yQ,"['tourist_attraction', 'point_of_interest', 'establishment']",53,,,https://www.google.com/maps/place/?q=place_id:ChIJMwttzjYlcC4RFbPZzlgG8yQ
OPERATIONAL,"4MCF+HW3, Jl. Jatayu, Kauman, Kec. Pekalongan Tim., Kota Pekalongan, Jawa Tengah 51149, Indonesia","{'location': {'lat': -6.878621799999999, 'lng': 109.6747944}, 'viewport': {'northeast': {'lat': -6.877352970107278, 'lng': 109.6762555798927}, 'southwest': {'lat': -6.880052629892722, 'lng': 109.6735559201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Jatayu Cultural District,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104999264216511534863"">Muhamad Afifuddin</a>'], 'photo_reference': 'AUGGfZkFS7ml1nlmiqzteWT0KoOef6vyJv3_SxZhnxoFrY2WRxoscGkmzdmyT6q8najbsUkVJ_SSkNBGXRD2zXwFZ0iSnjwWsN2HG5uPDnfQWHDVlT-WzuzHgXS_Kqjx7_vEoqp0yLZMyqet8iC7i2STYintbTM-sqXWQhxjdxunQF4NB-Wz', 'width': 4160}]",ChIJLxwz6y0kcC4RF74_vxw8RqI,4.5,ChIJLxwz6y0kcC4RF74_vxw8RqI,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",618,,,https://www.google.com/maps/place/?q=place_id:ChIJLxwz6y0kcC4RF74_vxw8RqI
OPERATIONAL,"4M86+J9P, Jalan AMD, Kramatsari, Pekalongan Barat, Pekalongan City, Central Java 51118, Indonesia","{'location': {'lat': -6.883412, 'lng': 109.660943}, 'viewport': {'northeast': {'lat': -6.882067670107277, 'lng': 109.6622928298927}, 'southwest': {'lat': -6.884767329892721, 'lng': 109.6595931701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kalilor,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100021501036324707975"">amrullah rosyada</a>'], 'photo_reference': 'AUGGfZlthVNOlSvbSh-suKSqkvi2xBbq9cmnwRn3pYZc_A3VlqANKMQQjetVo2UhBNazlQNqxfNJPvQMT4cWjW4SOndBL9Aj3KTLTbwDMJg9vedfWVAjNhcz_nKbwPsQQEQt1TxnxPcvNtBp9w5TCi4IBSKIANeg4OdcjYyqY08SAbO9Q1PT', 'width': 4160}]",ChIJOVylTdYncC4R5sTZrIpKDuc,4.7,ChIJOVylTdYncC4R5sTZrIpKDuc,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJOVylTdYncC4R5sTZrIpKDuc
OPERATIONAL,"Jl. Kunti Utara No.10, Panjang Baru, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51141, Indonesia","{'location': {'lat': -6.8579889, 'lng': 109.6846941}, 'viewport': {'northeast': {'lat': -6.857048220107278, 'lng': 109.6859890798927}, 'southwest': {'lat': -6.859747879892722, 'lng': 109.6832894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bagang,,,ChIJrzsSBaklcC4RVOhrHJvFg6U,0.0,ChIJrzsSBaklcC4RVOhrHJvFg6U,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '4MRM+RV Panjang Baru, Pekalongan City, Central Java, Indonesia', 'global_code': '6P5F4MRM+RV'}",,https://www.google.com/maps/place/?q=place_id:ChIJrzsSBaklcC4RVOhrHJvFg6U
OPERATIONAL,"4MCF+3P7, Jl. Blimbing, Sampangan, Kec. Pekalongan Tim., Kota Pekalongan, Jawa Tengah 51126, Indonesia","{'location': {'lat': -6.879833499999999, 'lng': 109.6743072}, 'viewport': {'northeast': {'lat': -6.878561570107277, 'lng': 109.6756689798927}, 'southwest': {'lat': -6.881261229892721, 'lng': 109.6729693201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pintoe Dalem,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104671198010766527836"">david pkl</a>'], 'photo_reference': 'AUGGfZl9vRljFbnICrLmY73yidjUjuMPqkiTRibw2PSHHV_Z3gBaXLP7XptNWLHNuiPQsRry1aW0PihMMzCXEEkRhXVOfQMyP7Jkt8NmuSbl5Gf1gnB9kuOCWlPTmiNk8jfLugaGG1hK7GWB4cSQ_L4Yf4rzdjPVriyHi0V3ORU4_QPUzCmo', 'width': 900}]",ChIJ1Z6XRgAlcC4RIUCCOTu3SY8,5.0,ChIJ1Z6XRgAlcC4RIUCCOTu3SY8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ1Z6XRgAlcC4RIUCCOTu3SY8
OPERATIONAL,"4MVF+GF, Kandang Panjang, Pekalongan Utara, Pekalongan City, Central Java 51149, Indonesia","{'location': {'lat': -6.8563844, 'lng': 109.6741966}, 'viewport': {'northeast': {'lat': -6.855681549999998, 'lng': 109.6756042298927}, 'southwest': {'lat': -6.85849295, 'lng': 109.6729045701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Kecip Jumani,,,ChIJGTeVhJclcC4RophQeiBwrQY,0.0,ChIJGTeVhJclcC4RophQeiBwrQY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJGTeVhJclcC4RophQeiBwrQY
OPERATIONAL,"4MVG+2WF, Panjang Baru, Pekalongan Utara, Pekalongan City, Central Java 51141, Indonesia","{'location': {'lat': -6.8576107, 'lng': 109.6771936}, 'viewport': {'northeast': {'lat': -6.856226070107278, 'lng': 109.6784233798927}, 'southwest': {'lat': -6.858925729892722, 'lng': 109.6757237201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata air pemancingan liar,,,ChIJdW1vTi0lcC4R6FLcIRuNvzA,0.0,ChIJdW1vTi0lcC4R6FLcIRuNvzA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJdW1vTi0lcC4R6FLcIRuNvzA
OPERATIONAL,"4MCF+HXC Taman Jetayu, Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51141, Indonesia","{'location': {'lat': -6.8784206, 'lng': 109.6750559}, 'viewport': {'northeast': {'lat': -6.877109770107277, 'lng': 109.6764662798927}, 'southwest': {'lat': -6.879809429892721, 'lng': 109.6737666201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monumen Batik,,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113473725651400369837"">A Google User</a>'], 'photo_reference': 'AUGGfZlLVjyibid6sKnjqVSEGw6mp2jHTHY7MKyG947WaN1-lOs3JN1KxHJ-eBqbEAe0ZxndDQlKRHawlgSWwXNamiviDSj4g5VoroVEzGAzxgqJdjW5yhCnEBHWQjIHLEIi037uIoTyWMH9k5XXX4BQyYShE-nT5Quh0UhnNTlHHAmW4Pgy', 'width': 1080}]",ChIJn49zis8lcC4R0sNVJebTm5k,4.8,ChIJn49zis8lcC4R0sNVJebTm5k,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJn49zis8lcC4R0sNVJebTm5k
