business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,price_level,url
OPERATIONAL,"MGW5+82J, Jl. Nogosari, Bugel, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50713, Indonesia","{'location': {'lat': -7.3041508, 'lng': 110.5075076}, 'viewport': {'northeast': {'lat': -7.302668570107278, 'lng': 110.5087088798927}, 'southwest': {'lat': -7.305368229892722, 'lng': 110.5060092201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Sejarah Kota Salatiga (TWSS),{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108597166281955526084"">ikhsanul khoiri</a>'], 'photo_reference': 'AUGGfZn7VhNjxErmjaaApwq4awVsjP9YitwFez194LJX7cwSrMtcZNPcflXO8SuFM4DdpDT4qCgE_-mSZpPzXrNvr6SxMdfj3_wJPGe0HQp7uOC0xCzotTnlR0gkuIh9-9xJUpJ8goczagJwbAPTOFltCh70uACy58Vh_jS44oxLOu_8njAK', 'width': 1920}]",ChIJywEGimt5ei4RpNheEmAoNpA,4.3,ChIJywEGimt5ei4RpNheEmAoNpA,"['tourist_attraction', 'point_of_interest', 'establishment']",505.0,,,https://www.google.com/maps/place/?q=place_id:ChIJywEGimt5ei4RpNheEmAoNpA
OPERATIONAL,"MGX9+2X3, Kauman Kidul, Sidorejo, Salatiga City, Central Java 50712, Indonesia","{'location': {'lat': -7.3024916, 'lng': 110.5199179}, 'viewport': {'northeast': {'lat': -7.301492420107277, 'lng': 110.5213911798927}, 'southwest': {'lat': -7.30419207989272, 'lng': 110.5186915201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pintu air Pete,,"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109584044642433243504"">Eko S</a>'], 'photo_reference': 'AUGGfZnm8GfqRqVZ2SHCNfQhSP8zqqf9mkE7ybC6mU6lvoJek6YC3LcAN-6hNAYtbHojUuLiJNmDaTeyyMy80K6583EmTVO43I7bXxtWl3V6NjWnr74L5P3ThOaFL1EY2m5MHWpRXmzPAqjbfQ-M3lWW5N0Rsaw6g54vHrI1_-EHYcftzPCR', 'width': 1280}]",ChIJp-YJZ8V5ei4RJ1pV7ckuyFs,4.0,ChIJp-YJZ8V5ei4RJ1pV7ckuyFs,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,,,https://www.google.com/maps/place/?q=place_id:ChIJp-YJZ8V5ei4RJ1pV7ckuyFs
OPERATIONAL,"MFPJ+JWW, Pulutan, Sidorejo, Salatiga City, Central Java, Indonesia","{'location': {'lat': -7.3133768, 'lng': 110.482316}, 'viewport': {'northeast': {'lat': -7.312042720107277, 'lng': 110.4836711298927}, 'southwest': {'lat': -7.314742379892721, 'lng': 110.4809714701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Semplungan,{'open_now': True},,ChIJoW4UbQB5ei4Ry4uYxQmeBA4,0.0,ChIJoW4UbQB5ei4Ry4uYxQmeBA4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJoW4UbQB5ei4Ry4uYxQmeBA4
OPERATIONAL,"PF2V+49F, Jl. Dr. O. Notohamidjojo, Blotongan, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50715, Indonesia","{'location': {'lat': -7.299689799999999, 'lng': 110.4934361}, 'viewport': {'northeast': {'lat': -7.298312120107278, 'lng': 110.4947556298927}, 'southwest': {'lat': -7.301011779892722, 'lng': 110.4920559701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit FTI,{'open_now': False},"[{'height': 3136, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113134724710165019174"">Baguzgoank WaeH</a>'], 'photo_reference': 'AUGGfZlVt3axBLmGz-NiNsb2LjZEAScPW-KOxlUMpfE8zycQoRTkgIbKx0cco9bkRgzgt7nFZhufUkFcfHW8y2IlX4jL2SCbZUKDaRIU5DvxTolXH8Cdk_iOF-8VuA07ny1DndLK5gitZuPSjHXxTqSIZeO_-6bZGmeNjeHCy1hAkfi4WmmR', 'width': 4224}]",ChIJCyvfTBN5ei4Ri0PaGYCwJJE,4.7,ChIJCyvfTBN5ei4Ri0PaGYCwJJE,"['tourist_attraction', 'point_of_interest', 'establishment']",102.0,,,https://www.google.com/maps/place/?q=place_id:ChIJCyvfTBN5ei4Ri0PaGYCwJJE
OPERATIONAL,"MGXC+V5V, Jl. Sitalang, Krajan, Kauman Kidul, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50712, Indonesia","{'location': {'lat': -7.300261799999999, 'lng': 110.5204097}, 'viewport': {'northeast': {'lat': -7.298911970107278, 'lng': 110.5217595298927}, 'southwest': {'lat': -7.301611629892721, 'lng': 110.5190598701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun joko tingkir,,"[{'height': 5152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102932929178918923486"">A Google User</a>'], 'photo_reference': 'AUGGfZm5-jd4tiKMwY8R0Xxwy5u2nzhJMCKAA_C4YhKfm2TCYhJeiyn5b1ZalCpa3YYKDOaw1lcwECE4syQMYH1dthHKA0aCRI2RXAHeoOG6-OfBw0SLZzEcPAFq0zrczHAjt6T5Fj2HHHObjWmlvg6MtAd4bkv14L5mxGOK-9ZdwvMzfddT', 'width': 3864}]",ChIJCSoqFfx5ei4RMQc_uDG6sFo,4.5,ChIJCSoqFfx5ei4RMQc_uDG6sFo,"['tourist_attraction', 'point_of_interest', 'establishment']",28.0,,,https://www.google.com/maps/place/?q=place_id:ChIJCSoqFfx5ei4RMQc_uDG6sFo
OPERATIONAL,"PG29+56W, Jl. Sitalang, Kauman Kidul, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50712, Indonesia","{'location': {'lat': -7.299744099999999, 'lng': 110.5172427}, 'viewport': {'northeast': {'lat': -7.298355870107279, 'lng': 110.5185896798927}, 'southwest': {'lat': -7.301055529892722, 'lng': 110.5158900201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Edukasi Pertanian P2L Poktan Sumber Rejeki,{'open_now': True},,ChIJQdCLgTl5ei4RJZjy8S-YsZU,5.0,ChIJQdCLgTl5ei4RJZjy8S-YsZU,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJQdCLgTl5ei4RJZjy8S-YsZU
OPERATIONAL,"RoadSidorejo Lor, Sidorejo, Salatiga City, Central Java 50714, Indonesia","{'location': {'lat': -7.304558099999999, 'lng': 110.4979318}, 'viewport': {'northeast': {'lat': -7.303245220107278, 'lng': 110.4993058798927}, 'southwest': {'lat': -7.305944879892722, 'lng': 110.4966062201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KARAOKE ALIA (KENCUR),{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117425127245681861007"">A Google User</a>'], 'photo_reference': 'AUGGfZlariPsIAtErpqUspzGIMK8bvPNYjsb4VE8LMgnRfgZfnM9MBkZAvWFFYJo90Dn9CJ6f_6thdUAkhYRDVKE2nrHrReZZovPNiv0yQB6DUzrRcJRr46LlNluEeB12RU32DUxXxGXhBdZ3cLU1tjy9CB4eHO6QZOVbzRQ0D0n0bwo4K1e', 'width': 1280}]",ChIJZ8R1VwB5ei4Rux_utTnroP4,0.0,ChIJZ8R1VwB5ei4Rux_utTnroP4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"{'compound_code': 'MFWX+55 Sidorejo Lor, Salatiga City, Central Java, Indonesia', 'global_code': '6P4GMFWX+55'}",,https://www.google.com/maps/place/?q=place_id:ChIJZ8R1VwB5ei4Rux_utTnroP4
OPERATIONAL,"kali salatip kemiri, Kutowinangun Kidul, Kec. Tingkir, Kota Salatiga, Jawa Tengah, Indonesia","{'location': {'lat': -7.330523400000001, 'lng': 110.5084366}, 'viewport': {'northeast': {'lat': -7.329224670107279, 'lng': 110.5097717798927}, 'southwest': {'lat': -7.331924329892723, 'lng': 110.5070721201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,spot mancing,,,ChIJt-2QJwB5ei4RhJ9EQI8zy84,0.0,ChIJt-2QJwB5ei4RhJ9EQI8zy84,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJt-2QJwB5ei4RhJ9EQI8zy84
OPERATIONAL,"Jl. Sukowati No.13, Kalicacing, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724, Indonesia","{'location': {'lat': -7.331695099999999, 'lng': 110.5043138}, 'viewport': {'northeast': {'lat': -7.330268020107277, 'lng': 110.5056681798927}, 'southwest': {'lat': -7.332967679892721, 'lng': 110.5029685201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelenteng Hok Tek Bio,{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117702276446590470321"">Tofik Nuryanto</a>'], 'photo_reference': 'AUGGfZmM6AE1Bw_Y8yyZrmZ53VHwkUh7tCOfP5ebDu-HsRTs63T5rr6sqXMDc2T4eIu1jwa43XuPVGMlkXfOyn7qPjokdgXh3pWjcbWxX32Xs89OrGyQ-RR9UW0vEIcTNP1UOey76JawGa3UIP0wjGB0TNyUtWN4sDVGRUUtOaTqjXs-P4s9', 'width': 4608}]",ChIJIzMFNzF4ei4R6oDUvRviQ6w,4.7,ChIJIzMFNzF4ei4R6oDUvRviQ6w,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",157.0,"{'compound_code': 'MG93+8P Kalicacing, Salatiga City, Central Java, Indonesia', 'global_code': '6P4GMG93+8P'}",,https://www.google.com/maps/place/?q=place_id:ChIJIzMFNzF4ei4R6oDUvRviQ6w
OPERATIONAL,"MGX9+CVX, Kauman Kidul, Sidorejo, Salatiga City, Central Java 50712, Indonesia","{'location': {'lat': -7.301396499999999, 'lng': 110.5197294}, 'viewport': {'northeast': {'lat': -7.300046670107277, 'lng': 110.5210792298927}, 'southwest': {'lat': -7.302746329892721, 'lng': 110.5183795701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat masuk curug joko tingkir,,,ChIJJWxZTgB5ei4RXJcbNCC7HW0,0.0,ChIJJWxZTgB5ei4RXJcbNCC7HW0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJJWxZTgB5ei4RXJcbNCC7HW0
