business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"8P59+8Q4, Balai Batu Sandaran, Barangin, Sawahlunto, West Sumatra 27355, Indonesia","{'location': {'lat': -0.6917466999999999, 'lng': 100.7194423}, 'viewport': {'northeast': {'lat': -0.6903665701072778, 'lng': 100.7208742798927}, 'southwest': {'lat': -0.6930662298927223, 'lng': 100.7181746201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Guguak Pujan,"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117777667946283499998"">afri Yendi</a>'], 'photo_reference': 'AUGGfZnKpCrkQaaTH_T7veK0O26P-2xg7t_uJY305tFS9oycjQDXRRL8xlj1zXZqA-albMrJbHnG__DA7sRLSgvie5QvVj_8HckdEPsandX8NSU5Y4zAaMMmppQ1nV0YLzzyjf5mMTpMgDiCQBFoncwLN5yLKfWO5bu8xXLAvwyXfQOk7k4c', 'width': 720}]",ChIJp1FuagAvKy4RpoDb4hHhMVo,5.0,ChIJp1FuagAvKy4RpoDb4hHhMVo,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJp1FuagAvKy4RpoDb4hHhMVo
OPERATIONAL,"9PH7+HQC, Unnamed Road, Kolok Nan Tuo, Barangin, Sawahlunto, West Sumatra 27427, Indonesia","{'location': {'lat': -0.621068, 'lng': 100.714391}, 'viewport': {'northeast': {'lat': -0.6194905201072778, 'lng': 100.7154614298927}, 'southwest': {'lat': -0.6221901798927222, 'lng': 100.7127617701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Air Terjun Si Kuniak,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110791488940209588999"">ALFIANA SYAMARTA</a>'], 'photo_reference': 'AUGGfZnAiY_1_vbA38uxltXq0nvLeBNpMOHi-fwCvxDHpyGHmsNpOAPtAO8A3GMgt57vQVOo3mBc0YrMsnGUiJrDHJrAkK2BQWmJ_SOqfl4iOAVrsZMaFzaCNsceoXUtH1-79kZz7rWn7OcyTAoirfZLN1bT7RdxP8Iq_9EaCF5fYp6ZI7D5', 'width': 1280}]",ChIJIQrYHBopKy4RrGB0hg5bOMc,0.0,ChIJIQrYHBopKy4RrGB0hg5bOMc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJIQrYHBopKy4RrGB0hg5bOMc
OPERATIONAL,"9PQ8+PJ5, Kolok Nan Tuo, Barangin, Sawahlunto, West Sumatra 27427, Indonesia","{'location': {'lat': -0.6107291, 'lng': 100.7166226}, 'viewport': {'northeast': {'lat': -0.6092563701072777, 'lng': 100.7173673798927}, 'southwest': {'lat': -0.6119560298927222, 'lng': 100.7146677201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Gua Bunian,"[{'height': 797, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110791488940209588999"">ALFIANA SYAMARTA</a>'], 'photo_reference': 'AUGGfZmCzP7nxnPpkwUTi0QcW31I1jLUBvfWbZEIXtcNvJcGmxIJU3wKdwFaQRNllhRHiWk993sZlFsaWH8Y3pU4Lt7-BB5Dt0FvvNT7zoEsckV31OFeW0a7Pdl1ynXyPLp57L7ikktg-4hPEKAlZq-dm1mqnZxYyIGlWK2lAJLd4rFdwXT8', 'width': 1080}]",ChIJ40YE2tkpKy4RNQH3HGusDnc,5.0,ChIJ40YE2tkpKy4RNQH3HGusDnc,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ40YE2tkpKy4RNQH3HGusDnc
OPERATIONAL,"8P4F+7G, Lumindai, Barangin, Sawahlunto, West Sumatra, Indonesia","{'location': {'lat': -0.6943079999999999, 'lng': 100.7237754}, 'viewport': {'northeast': {'lat': -0.6930422201072778, 'lng': 100.7251733298927}, 'southwest': {'lat': -0.6957418798927222, 'lng': 100.7224736701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Geopark hutan batu taroguong,"[{'height': 537, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105962101946801034822"">Afri Yendi</a>'], 'photo_reference': 'AUGGfZnG41WlqyAGhrgz-Y7FrN0DlD6A8SLGpQuAZ2StWRDzoPHqE9bm446aommZWzuKzUWjziIGsctUPztJIPfaq6RaEsCleSIpwHuz2a6z0fOyy-E8nK8FqbbelotXLy1ZMGDTfl3bRedmQDWGUyjo2lCB_zFQdFeYRBr_C0jLL40_jxpq', 'width': 720}]",ChIJ1am5CwAvKy4R3WzuiID9SyI,5.0,ChIJ1am5CwAvKy4R3WzuiID9SyI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ1am5CwAvKy4R3WzuiID9SyI
OPERATIONAL,"9PP7+88J, Kolok Nan Tuo, Barangin, Sawahlunto, West Sumatra 27427, Indonesia","{'location': {'lat': -0.6141709, 'lng': 100.7132776}, 'viewport': {'northeast': {'lat': -0.6126719201072778, 'lng': 100.7148323798927}, 'southwest': {'lat': -0.6153715798927223, 'lng': 100.7121327201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Batu Sumbayang,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105119084049874939129"">nevon ilhamzah</a>'], 'photo_reference': 'AUGGfZkne6oDaQDX3VYWqxI3haSmkXJ2gf3hkJ7oFmDIUTDiVF-ex0XktLe6lOhTOx-Hp0Qqe7wHksrwmiwVWQEd_sNYqK_ZzIpln-p1XFHYOhLVs3cnhwJPWlfATEAw5k0eBQrtQKs4MymQhDb5BjKUXeZrBpiIsbtmfl7BnNDTCwRt0paC', 'width': 1840}]",ChIJ32qgQOcpKy4Rhoxl9eVaPTU,5.0,ChIJ32qgQOcpKy4Rhoxl9eVaPTU,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ32qgQOcpKy4Rhoxl9eVaPTU
OPERATIONAL,"7PW9+HGR, Unnamed Road, Lumindai, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27355, Indonesia","{'location': {'lat': -0.7035076, 'lng': 100.7187724}, 'viewport': {'northeast': {'lat': -0.7021058701072778, 'lng': 100.7202203798927}, 'southwest': {'lat': -0.7048055298927222, 'lng': 100.7175207201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baluntas,,ChIJazfTP2svKy4RCREzSLGRlug,0.0,ChIJazfTP2svKy4RCREzSLGRlug,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJazfTP2svKy4RCREzSLGRlug
OPERATIONAL,"CP48+GMG, Talawi Mudik, Barangin, Sawahlunto, West Sumatra, Indonesia","{'location': {'lat': -0.5936927, 'lng': 100.7167041}, 'viewport': {'northeast': {'lat': -0.5923147201072777, 'lng': 100.7180762298927}, 'southwest': {'lat': -0.5950143798927222, 'lng': 100.7153765701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Omah bukit cakua,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114550736320030360097"">A Google User</a>'], 'photo_reference': 'AUGGfZk4Onw-IXwhDCPXoRxRUS7jsqKp4Yl1TLIHrRTBsa8pIQPB384h4Bw9rKein0ByChuGcP5etwYPUpPZP171-tviO_80L-GZfKk5W2zubBbQtOWdnxqqZJiK2tabCjK5wRPVs2pfS3Q2wPMipyg8TlRfaH99SQrktLYvt9zofODwOVhu', 'width': 4080}]",ChIJvajw-PcpKy4RpBXjRKUthbs,5.0,ChIJvajw-PcpKy4RpBXjRKUthbs,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJvajw-PcpKy4RpBXjRKUthbs
OPERATIONAL,"Saringan, Barangin, Sawahlunto, West Sumatra 27422, Indonesia","{'location': {'lat': -0.6741100999999999, 'lng': 100.7728518}, 'viewport': {'northeast': {'lat': -0.6727028701072778, 'lng': 100.7742378298927}, 'southwest': {'lat': -0.6754025298927222, 'lng': 100.7715381701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Cemara City View,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109709773217309414053"">Febryo Feliandra</a>'], 'photo_reference': 'AUGGfZn2aUVAJAmlZaIUf_YNRa0eC8n239_FsZy5RIu-0lwT8BADQGYF7nOY8Z33Oh06q0Pmi3FpTO2vb45FlFDVGxY8ubDVMQCVsR_JxWrltiwTnO4Tr-FLKpa8CyVX_ra7HtuMwv4P0CNd5yhzzwwXKKOzXIJr63GSWAz_NHPPWyjTGG9U', 'width': 4608}]",ChIJLU5HZDcvKy4RRQV2sprR_Ss,4.4,ChIJLU5HZDcvKy4RRQV2sprR_Ss,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",749,{'open_now': True},"{'compound_code': '8QGF+94 Saringan, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28QGF+94'}",,https://www.google.com/maps/place/?q=place_id:ChIJLU5HZDcvKy4RRQV2sprR_Ss
OPERATIONAL,"9QJ4+56R, Salak, Talawi, Sawahlunto, West Sumatra 27446, Indonesia","{'location': {'lat': -0.6195142, 'lng': 100.7555019}, 'viewport': {'northeast': {'lat': -0.6176826701072777, 'lng': 100.7566779798927}, 'southwest': {'lat': -0.6203823298927222, 'lng': 100.7539783201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Kandi Rest Area,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110615054080930524464"">A Google User</a>'], 'photo_reference': 'AUGGfZk4Q58pE9DinoDoBRg84d9Q9-44bMzhBrrGSYw_HEe9WxITIw6ySFF3U8GbPIHs6qTWaL4b6hB0FexsjDWg83PXhzTSH7MbL0i18ETZzdLEo_tNq_6Ur3J7rhQ-wphLKyxNo-SyiJR9y5Jw_AmBC-8UlRXkLR5Us1XUXNMgK1N80A-o', 'width': 1600}]",ChIJBf6XfFIoKy4RUx7l_yeQNv4,4.3,ChIJBf6XfFIoKy4RUx7l_yeQNv4,"['tourist_attraction', 'point_of_interest', 'establishment']",101,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJBf6XfFIoKy4RUx7l_yeQNv4
OPERATIONAL,"TAMAN SILO, Saringan, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27423, Indonesia","{'location': {'lat': -0.6803635, 'lng': 100.7760417}, 'viewport': {'northeast': {'lat': -0.6789907701072776, 'lng': 100.7774402298927}, 'southwest': {'lat': -0.6816904298927221, 'lng': 100.7747405701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Silo Batubara PJKA,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106786139804140508051"">A Google User</a>'], 'photo_reference': 'AUGGfZmGIrf9z-wdyiyM8WDakCTSELrC9jsheHCOsrkPi1IPGDBXjGozoN6Md_AWLbg-cQ5X3Rwa-22SeGrmg_N2OFWGo3xvL5oiWm0HYSFoodjaKSViBRx4tcMXUXiJ3raXW-m9qLGguzqExUk_jgNbe-Pld1xo-XfSJIhNVPwdQ-6qLjAy', 'width': 4608}]",ChIJf-91aD8vKy4R2cWVqPrxDrE,4.4,ChIJf-91aD8vKy4R2cWVqPrxDrE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",131,{'open_now': True},"{'compound_code': '8Q9G+VC Saringan, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28Q9G+VC'}",,https://www.google.com/maps/place/?q=place_id:ChIJf-91aD8vKy4R2cWVqPrxDrE
