business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"466Q+MC9, East Doom, Sorong, Sorong City, West Papua, Indonesia","{'location': {'lat': -0.8889158, 'lng': 131.239038}, 'viewport': {'northeast': {'lat': -0.8874557201072778, 'lng': 131.2403153298927}, 'southwest': {'lat': -0.8901553798927222, 'lng': 131.2376156701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SAHARA JETTY,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113542335094458953959"">A Google User</a>'], 'photo_reference': 'AUGGfZkcb3a1SD4LrWgyKAV_8g1nsnUUZ-g5kuYrpoemAc6HxbMGEgg9WXzs-xv_dFPCbhLc1tJCfdXEkkDQQv-2C_QNrzHlBvF3iINpZPupXJkTMLouuecsjRxudt_yMInrywBDnzXr9haGhdr3ExUKSYLKU_3f0vF50uEewJpVsqzkiWGr', 'width': 3024}]",ChIJNSHuijyrXi0ReQR_E5wPVR0,4.6,ChIJNSHuijyrXi0ReQR_E5wPVR0,"['tourist_attraction', 'point_of_interest', 'establishment']",91,,,,https://www.google.com/maps/place/?q=place_id:ChIJNSHuijyrXi0ReQR_E5wPVR0
OPERATIONAL,"38JP+H65, Bar., Klasaman, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98416, Indonesia","{'location': {'lat': -0.9186169, 'lng': 131.3355955}, 'viewport': {'northeast': {'lat': -0.9171805701072777, 'lng': 131.3368838298927}, 'southwest': {'lat': -0.919880229892722, 'lng': 131.3341841701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Wisata Alam Sorong,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110900716039189337362"">Yudi Wibowo</a>'], 'photo_reference': 'AUGGfZmj-lm158uE1DZfBzdpzezVY-W6Uyc93gtjnO_dX3wl-2dX0FyxcDVLs53Y7bBEGKsf-gkQIBKr_pFhWxDZb1NiykEDx0IwZSP7aJYNcH49Jcy4tywf1xFEZxNBgQfvjsVTMfa0vp5n1Xd84ocZLxuPQMiVkvSAQ76ShljYunS9oIKs', 'width': 3840}]",ChIJb5xOZDv-Wy0RDXWelhF51zQ,4.3,ChIJb5xOZDv-Wy0RDXWelhF51zQ,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",235,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJb5xOZDv-Wy0RDXWelhF51zQ
OPERATIONAL,"38P5+Q2W, Klamana, Sorong Timur, Sorong City, West Papua, Indonesia","{'location': {'lat': -0.9130053, 'lng': 131.3075691}, 'viewport': {'northeast': {'lat': -0.911550420107278, 'lng': 131.3089275298927}, 'southwest': {'lat': -0.9142500798927223, 'lng': 131.3062278701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Mangrove Klawalu Sorong,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104769234770011899732"">Dayu Rifanto</a>'], 'photo_reference': 'AUGGfZlSCdXKaPldowvFpadr-GudpX-lgCqmC2gCTGnT5RbnB_ezPh-nM8CVsYurjDj_dsXokUU4A1VhXDSTXfn92nWQOHSWS6bY1pt4fZSJkSzsuZfIw-KjUoWmhSn9B1L8mFSKbA-b4Dqx_t6HPvbhA_ywzCDA2ANOxNfYY-EbIZor7fPu', 'width': 4000}]",ChIJdcpAu5r_Wy0R0dHaazq7QlM,4.2,ChIJdcpAu5r_Wy0R0dHaazq7QlM,"['tourist_attraction', 'point_of_interest', 'establishment']",215,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJdcpAu5r_Wy0R0dHaazq7QlM
OPERATIONAL,"38V8+JWW, Klamana, Sorong Timur, Sorong City, West Papua, Indonesia","{'location': {'lat': -0.9058491000000001, 'lng': 131.3173815}, 'viewport': {'northeast': {'lat': -0.9045000701072778, 'lng': 131.3187301298927}, 'southwest': {'lat': -0.9071997298927221, 'lng': 131.3160304701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sorong timur,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108323350295015537087"">A Google User</a>'], 'photo_reference': 'AUGGfZk0XJshTnJFXm-BWsQaztzHdhIiPdk0Pkh0P8OGgplYnnwFpzFxwzsFgXOXdHOPXfopFVre7BeQhapLjfiqH5Kic3WUDFP1rfuQ8w5fFzKXxYgu65wW0tTYHYQpzhpvnDBZgVFy8rCuED7Aaberf7CJNYnvmUwgYVpxyRCqrosMlStK', 'width': 4000}]",ChIJLVRHmQxVWS0R2b2QCStfvzo,1.0,ChIJLVRHmQxVWS0R2b2QCStfvzo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJLVRHmQxVWS0R2b2QCStfvzo
OPERATIONAL,"3992+8CW, Klablim, Sorong Timur, Sorong City, West Papua, Indonesia","{'location': {'lat': -0.9316365999999999, 'lng': 131.3510866}, 'viewport': {'northeast': {'lat': -0.930286770107278, 'lng': 131.3524364298927}, 'southwest': {'lat': -0.9329864298927223, 'lng': 131.3497367701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pengamatan Blueblack Kingfisher,,ChIJvVl3aQD_Wy0RY6Kyw7JiXjA,0.0,ChIJvVl3aQD_Wy0RY6Kyw7JiXjA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJvVl3aQD_Wy0RY6Kyw7JiXjA
OPERATIONAL,"4962+PX, Giwu, Sorong Timur, Sorong City, West Papua, Indonesia","{'location': {'lat': -0.8881511, 'lng': 131.3524911}, 'viewport': {'northeast': {'lat': -0.8864649701072778, 'lng': 131.3533602}, 'southwest': {'lat': -0.8891646298927223, 'lng': 131.3498838}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Cinta Tourism Information Center,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103249807193199113154"">Abdul Alim</a>'], 'photo_reference': 'AUGGfZlyHUQPA_8wodGl5uJbZZZE6GkHGznITxlVsFQaiArpgIoVTHS7_JW1uDO033RwPu0PHvCDjTZxhIVdZBodtswaQ1iTdXS39eO6iNl839mv1hrnKl4aU7RA562nocLPcyGH5HB_zjR4Gl1Rt2oyKxxuBdAhz3pxP5dBaVY21CBwLl5q', 'width': 3264}]",ChIJT3vRkQRVWS0RH5zGNGHqaBs,4.7,ChIJT3vRkQRVWS0RH5zGNGHqaBs,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,,,https://www.google.com/maps/place/?q=place_id:ChIJT3vRkQRVWS0RH5zGNGHqaBs
OPERATIONAL,"Jl. Bambu Kuning masuk No.km.12, Klasaman, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98416, Indonesia","{'location': {'lat': -0.8995639, 'lng': 131.3494549}, 'viewport': {'northeast': {'lat': -0.8975808701072779, 'lng': 131.3509466298927}, 'southwest': {'lat': -0.9002805298927222, 'lng': 131.3482469701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Asimilasi dan edukasi Lapas kelas IIB Sorong,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108573439248035662963"">A Google User</a>'], 'photo_reference': 'AUGGfZnWBANf2_S3OEAw4HDJnZgZLcb6VRnTOXpZILCfGq3291zi0RP8EFhWhUeA8KJi7SKy-I_k_q_dVBvzxoUGP-xHw4JHeRJ5ybMQMXmgeVcdNQzAvgVxTprbeDMd_2M8HfKuinJIBtt3OH4lh-8zU4WjT5NsZKvUtOe6KfwkGRV29q4Q', 'width': 4000}]",ChIJJUzu5NdVWS0RGUu6Y7G_4BU,4.5,ChIJJUzu5NdVWS0RGUu6Y7G_4BU,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},"{'compound_code': '482X+5Q Klasaman, Sorong City, West Papua, Indonesia', 'global_code': '6QFH482X+5Q'}",,https://www.google.com/maps/place/?q=place_id:ChIJJUzu5NdVWS0RGUu6Y7G_4BU
OPERATIONAL,"Jl. Numberi, Doom Tim., Distrik Sorong Kepulauan, Kota Sorong, Papua Bar., Indonesia","{'location': {'lat': -0.886075, 'lng': 131.2374428}, 'viewport': {'northeast': {'lat': -0.8847245701072777, 'lng': 131.2389245798927}, 'southwest': {'lat': -0.8874242298927222, 'lng': 131.2362249201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Doom Tanah Papua,"[{'height': 759, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113753579921213086664"">A Google User</a>'], 'photo_reference': 'AUGGfZlqeDY59JP4iXqTaxaJcDPRbvGWXXnaYGp8_R-G2GP8CM5NUUXclXUnwQiz10kCJAREr1c-qpEUD4e16cbxyGTAocFkFJqQhN-qA5hCuo7GvMO-cAe3qOvmwZ6u3N3AkaQSWItsbRVgr6Qj32aArN8IRi1d4oDZjGvdu_aMnjgbyV3o', 'width': 513}]",ChIJ5Si1Z0urXi0RQoP-hpno0kQ,4.6,ChIJ5Si1Z0urXi0RQoP-hpno0kQ,"['tourist_attraction', 'point_of_interest', 'establishment']",29,{'open_now': True},"{'compound_code': '467P+HX East Doom, Sorong City, West Papua, Indonesia', 'global_code': '6QFH467P+HX'}",,https://www.google.com/maps/place/?q=place_id:ChIJ5Si1Z0urXi0RQoP-hpno0kQ
OPERATIONAL,"37HJ+5R, Klablim, Sorong Timur, Sorong City, West Papua, Indonesia","{'location': {'lat': -0.922002, 'lng': 131.282028}, 'viewport': {'northeast': {'lat': -0.920652170107278, 'lng': 131.2833778298927}, 'southwest': {'lat': -0.9233518298927222, 'lng': 131.2806781701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambatan Kapal LCT,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107026415281401912760"">A Google User</a>'], 'photo_reference': 'AUGGfZmdzFI6zSdt3dm4bz8bouBNyib26I9dBCE642qt3WYQDvWlWUkoLC9T9L1aBah2Hkn7legH4sdRIEaV9Q_TO8ZmFeD-jdh5vJ4qg_-5XJku7xkC6EkhnTsZWMBWJiqe24SdRVk8_-1I5jPWmvESbrYMYlv2h6EvFX0OxAGUboTo9wTZ', 'width': 8000}]",ChIJhcPxaEn_Wy0RjwJfpIPIR5Y,4.7,ChIJhcPxaEn_Wy0RjwJfpIPIR5Y,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJhcPxaEn_Wy0RjwJfpIPIR5Y
OPERATIONAL,"39X3+XJ, Klasaman, Sorong Timur, Sorong City, West Papua 98416, Indonesia","{'location': {'lat': -0.9000556999999999, 'lng': 131.3540448}, 'viewport': {'northeast': {'lat': -0.898886420107278, 'lng': 131.3548282}, 'southwest': {'lat': -0.9015860798927222, 'lng': 131.3516946}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Giwu,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109454394511078003318"">A Google User</a>'], 'photo_reference': 'AUGGfZlqQ0uzZxkQ05DNKu-y8XAQWNW8whhL2VAep0kqkiRnzGMYF2kbhJNnybpX7kJYxKUUbjVxdgtRrMMU1-ODFyg2jVtXWWKvXuih8B3QhRh1bQRpFha_oJttDegbQKGqhTvj3dwDUO4L99KoNKaCDBx07IR7x0q1u5llh573oZuPQC1f', 'width': 4608}]",ChIJWyyBLc9VWS0Rz1nV66nNWpI,5.0,ChIJWyyBLc9VWS0Rz1nV66nNWpI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJWyyBLc9VWS0Rz1nV66nNWpI
