business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"3W7M+HWJ, Nanggeleng, Citamiang, Sukabumi City, West Java, Indonesia","{'location': {'lat': -6.9360342, 'lng': 106.9347502}, 'viewport': {'northeast': {'lat': -6.934709870107278, 'lng': 106.9361420298927}, 'southwest': {'lat': -6.937409529892722, 'lng': 106.9334423701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sukabumi,ChIJmexA4FZJaC4R8OFDdwDfr8o,5.0,ChIJmexA4FZJaC4R8OFDdwDfr8o,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJmexA4FZJaC4R8OFDdwDfr8o
OPERATIONAL,"3WCH+WX4, Tipar, Citamiang, Sukabumi City, West Java, Indonesia","{'location': {'lat': -6.9277143, 'lng': 106.9299269}, 'viewport': {'northeast': {'lat': -6.926352870107278, 'lng': 106.9312602798927}, 'southwest': {'lat': -6.929052529892722, 'lng': 106.9285606201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,sukiabumi,ChIJh0eLdgBJaC4R3hOWEuuOGqQ,0.0,ChIJh0eLdgBJaC4R3hOWEuuOGqQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJh0eLdgBJaC4R3hOWEuuOGqQ
OPERATIONAL,"3WJG+3P3, Gunungparang, Cikole, Sukabumi City, West Java 43111, Indonesia","{'location': {'lat': -6.919854399999999, 'lng': 106.9268062}, 'viewport': {'northeast': {'lat': -6.918504570107277, 'lng': 106.9281560298927}, 'southwest': {'lat': -6.921204229892721, 'lng': 106.9254563701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Kota Lapang Merdeka Sukabumi,ChIJH-BcqTFIaC4R2vf0sjfSw2U,4.6,ChIJH-BcqTFIaC4R2vf0sjfSw2U,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",8743,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117940242460083494648"">Linda Dianovita</a>'], 'photo_reference': 'AUGGfZnF1uES0xCvTRfLloFOzveu5QZzjYC_ThNpgAhk-dbTvLee1D6c67i7vkyPdS4AKGnwfYlMPTZvVndcFRRwwHjo2DEWQ-52KsuXky8dWaolpMxAZRILZcWgO5GjlyqiU36JgnqnL35yZirEQ2rMk6ghnvTiWYiL2oU834oil3gzzZAJ', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJH-BcqTFIaC4R2vf0sjfSw2U
OPERATIONAL,"2WH5+2PM, Cikundul, Lembursitu, Sukabumi City, West Java, Indonesia","{'location': {'lat': -6.972417600000001, 'lng': 106.9093}, 'viewport': {'northeast': {'lat': -6.971067770107279, 'lng': 106.9106498298927}, 'southwest': {'lat': -6.973767429892723, 'lng': 106.9079501701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Caringin cikundul sukabumi,ChIJac_gY-A5aC4R8rx_Zs_I9Zo,0.0,ChIJac_gY-A5aC4R8rx_Zs_I9Zo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJac_gY-A5aC4R8rx_Zs_I9Zo
OPERATIONAL,"5W9M+G2W, Gede Pangrango, Kadudampit, Sukabumi Regency, West Java 43153, Indonesia","{'location': {'lat': -6.8311323, 'lng': 106.9325843}, 'viewport': {'northeast': {'lat': -6.829926220107279, 'lng': 106.9336306798927}, 'southwest': {'lat': -6.832625879892722, 'lng': 106.9309310201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Sawer,ChIJi-XG-GRKaC4R7tol6YQnj1E,4.6,ChIJi-XG-GRKaC4R7tol6YQnj1E,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",5829,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102104068752436364523"">Lisna Mey</a>'], 'photo_reference': 'AUGGfZkRes1NdDmbeEVwZtgupEk8NH4giOCZVfJEIhvlKlcfdbqKASUb12cLK0VtCmEdLudRRtPw29dfJwDkqiECk-vqPSSkq3vbRtneAdTwleLmtfDhQBoZmHr-ENrmvvHbPcuROLP1lvhnVl9T1ZfnqpovkVXgmlic9_3DiqBRWx9UaVgs', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJi-XG-GRKaC4R7tol6YQnj1E
OPERATIONAL,"Jl. Pajagalan No.20, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131, Indonesia","{'location': {'lat': -6.9252992, 'lng': 106.9255788}, 'viewport': {'northeast': {'lat': -6.923983020107277, 'lng': 106.9269259798927}, 'southwest': {'lat': -6.926682679892721, 'lng': 106.9242263201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_dharma-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vihara Widhi Sakti,ChIJTdqLKyVIaC4RdI8DRhW-2Zk,4.7,ChIJTdqLKyVIaC4RdI8DRhW-2Zk,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",382,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110975460201270747122"">A Google User</a>'], 'photo_reference': 'AUGGfZlFtKyxWcH2GnG4T7uHAiN_Dbz62SyZ5AqI3rS_NrT69AlKpKC2Zu4-WKkdQmDK7hfZk6mLajyzlD4lCD9lRN488jPImlKtPsYTfPClNzoi7qEeAf4gui5an09ZFvA9wX7UycfYl7W00pg7cPVw-vFcvS4pXSYqMhyFCN8dJU1jHShq', 'width': 3032}]","{'compound_code': '3WFG+V6 Nyomplong, Sukabumi City, West Java, Indonesia', 'global_code': '6P583WFG+V6'}",,https://www.google.com/maps/place/?q=place_id:ChIJTdqLKyVIaC4RdI8DRhW-2Zk
OPERATIONAL,"Jl. Perana No.9A, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113, Indonesia","{'location': {'lat': -6.915045600000001, 'lng': 106.9366053}, 'viewport': {'northeast': {'lat': -6.913673320107279, 'lng': 106.9379432298927}, 'southwest': {'lat': -6.916372979892722, 'lng': 106.9352435701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Prana Sukabumi,ChIJG6Zyb0pIaC4RaBE3KO71EQw,4.3,ChIJG6Zyb0pIaC4RaBE3KO71EQw,"['tourist_attraction', 'point_of_interest', 'establishment']",427,{'open_now': True},"[{'height': 1168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112344671870511854548"">Dian 33</a>'], 'photo_reference': 'AUGGfZkRHw5Y8vQKSYaUsd68-haXkNzKiRPXd4rqco7eqE1RlKlDB2wEltqrRCHsMvEN6OJ5ayo6mZjIHoo6JqarS1Sk3Az_yiCJeJQBOuznwUCRqgbskjz9ls4WwHL8_u6IyuxQnvK92yuE-val-vT4m9XZKdSpYq0HQTVxlmVpqQFIePHO', 'width': 1936}]","{'compound_code': '3WMP+XJ Cikole, Sukabumi City, West Java, Indonesia', 'global_code': '6P583WMP+XJ'}",,https://www.google.com/maps/place/?q=place_id:ChIJG6Zyb0pIaC4RaBE3KO71EQw
OPERATIONAL,"3WHJ+R9G, Cikole, Sukabumi City, West Java 43113, Indonesia","{'location': {'lat': -6.920514799999999, 'lng': 106.9309918}, 'viewport': {'northeast': {'lat': -6.919167770107278, 'lng': 106.9323410798927}, 'southwest': {'lat': -6.921867429892722, 'lng': 106.9296414201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dago sukabumi,ChIJ_UWXvjhJaC4R9G3REKyrffw,4.7,ChIJ_UWXvjhJaC4R9G3REKyrffw,"['tourist_attraction', 'point_of_interest', 'establishment']",19,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101340406037200085473"">A Google User</a>'], 'photo_reference': 'AUGGfZmxAs1H96uQA8FgcHYOn_tSkwGfDNbWlGk27ho6WIC-cKG4pxsf7oF76IZOC0BQOD4V_7auVyih2Rlzah9ROPIRbgwjNhENPkSHoUFS1X3T2GgEep11OFcoGNwPiF8eI1Y2LLBxSIAPZzmGHHqGTh3vHedV_NcemtFX8tNahskCZotL', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ_UWXvjhJaC4R9G3REKyrffw
OPERATIONAL,"3WHG+M75, Jl. Alun-Alun Utara, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111, Indonesia","{'location': {'lat': -6.921455399999999, 'lng': 106.9257085}, 'viewport': {'northeast': {'lat': -6.920072820107277, 'lng': 106.9269757798927}, 'southwest': {'lat': -6.922772479892721, 'lng': 106.9242761201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun-Alun Kota Sukabumi,ChIJpzaHajBIaC4RjqKHAsufkzM,4.6,ChIJpzaHajBIaC4RjqKHAsufkzM,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",6970,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116147819129269002653"">Murtiyarini</a>'], 'photo_reference': 'AUGGfZmCuSeLHzrEPCyU1eFuC82Z8KZzlyy9ZpuqGp7ZPpGXsg-Zv5uhUsmpSbHDUyiMvewsFD-z8pXYwLGo2CRDBoJlix98y0Bd_EqVd4PeiWKVMdtPNrqWxL8lLTEjP1f6bna7T4OAze8IIsXC8viWs9rOIWo5LwTWixsGpKF04ZZe_TRN', 'width': 5184}]",,,https://www.google.com/maps/place/?q=place_id:ChIJpzaHajBIaC4RjqKHAsufkzM
OPERATIONAL,"3WVQ+FWW, Jl. Mayor Mahmud, Sukajaya, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat, Indonesia","{'location': {'lat': -6.9051845, 'lng': 106.9394625}, 'viewport': {'northeast': {'lat': -6.903679470107277, 'lng': 106.9409427298927}, 'southwest': {'lat': -6.906379129892721, 'lng': 106.9382430701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam OASIS Sukabumi,ChIJcTOnsClJaC4Rc4Ce2iCol2M,4.5,ChIJcTOnsClJaC4Rc4Ce2iCol2M,"['tourist_attraction', 'point_of_interest', 'establishment']",727,{'open_now': False},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107938708583316345031"">A Google User</a>'], 'photo_reference': 'AUGGfZmhP-g1WMhw4hknpfWE3XtaJxkdijR_jcurkpE2aZc_1ofmNYAYWGFQHPN-I0d2MErKOLfK0Rtm1H_wfFXFzTHx6BXCADTpSoExoGtDRjZz9wIuACv93JQ51BkOzuQUG9mk9R55JDWPN2NMN1AaVcvwBn6virRBziWwClgLTYMavJKy', 'width': 3060}]",,,https://www.google.com/maps/place/?q=place_id:ChIJcTOnsClJaC4Rc4Ce2iCol2M
