business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"North Perak, Pabean Cantikan, Surabaya, East Java 60165, Indonesia","{'location': {'lat': -7.1971094, 'lng': 112.7323062}, 'viewport': {'northeast': {'lat': -7.195737470107277, 'lng': 112.7336520798927}, 'southwest': {'lat': -7.198437129892722, 'lng': 112.7309524201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Surabaya North Quay,{'open_now': False},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107058744274488098365"">Rolly Rizhal</a>'], 'photo_reference': 'AUGGfZmj2ymuVU4aegvH8H6AjX-obL3O5HfVbCweSaJkXGEbcs-D9iRPjQtZ_at0gVSHryQUCthA7Th4C02DSIvapO-zLa0DWPwC4PmIYK8GKQvPbZiuZ3ycSxBBCGah4pP3LBqitncOXpZojqzksQ-qUDIjCJJ6BXw9_1sq9LiXIpTYmQlj', 'width': 3060}]",ChIJqU_9mSCPdy4RECfM9M_QwcE,"{'compound_code': 'RP3J+5W North Perak, Surabaya, East Java, Indonesia', 'global_code': '6P4JRP3J+5W'}",4.4,ChIJqU_9mSCPdy4RECfM9M_QwcE,"['tourist_attraction', 'point_of_interest', 'establishment']",21353,https://www.google.com/maps/place/?q=place_id:ChIJqU_9mSCPdy4RECfM9M_QwcE
OPERATIONAL,"QP3P+26H, Jl. Maspati Gg. VI, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174, Indonesia","{'location': {'lat': -7.2475283, 'lng': 112.7341726}, 'viewport': {'northeast': {'lat': -7.246277270107278, 'lng': 112.7378506}, 'southwest': {'lat': -7.248976929892722, 'lng': 112.7329466}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampoeng Lawas Maspati,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104608412178616025088"">Lukas Harcarik</a>'], 'photo_reference': 'AUGGfZnmvgyJ7ViaiPLCk2fYvnRWk55uirHKPiV8oFzBlyfQDIVRvbg1iXxlPav-9_iiOUqioljgamOfT_KabVBLYKUWcuZ8034Gv5kENp1qTRlyB-CbEpCAtsvyjSGxMZomeskQdLpR2wYQemg2luhCMlb9uxr9Vf0lxqpm4kgbBb_du7Bk', 'width': 4032}]",ChIJEyuppkD51y0RxlYOmKwoo2g,,4.5,ChIJEyuppkD51y0RxlYOmKwoo2g,"['tourist_attraction', 'point_of_interest', 'establishment']",776,https://www.google.com/maps/place/?q=place_id:ChIJEyuppkD51y0RxlYOmKwoo2g
OPERATIONAL,"Taman Bungkul St, Darmo, Wonokromo, Surabaya, East Java 60241, Indonesia","{'location': {'lat': -7.291346799999999, 'lng': 112.7398218}, 'viewport': {'northeast': {'lat': -7.290015220107277, 'lng': 112.74109185}, 'southwest': {'lat': -7.292714879892721, 'lng': 112.73836365}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bungkul Park,,"[{'height': 515, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115979594896050810207"">Hatan Bro</a>'], 'photo_reference': 'AUGGfZny5zTF3Mpd_bFce3NY50gua90grB_4pVcjavaZiYCJDNRYKqSJX3eWu_DrLgETrDCYmczz8cenPwTfaJNe7p2-oV0eTkY6PaS7iKZy_HuJ5HBiYN_BCGLnKJIDoWE_S6Ix-KU0il2cZ_H3mv_SwehQstWbz3mI2Ev9UWiFYjv6oXvV', 'width': 785}]",ChIJjSU3GL771y0RP1aWZQsG5G0,"{'compound_code': 'PP5Q+FW Darmo, Surabaya, East Java, Indonesia', 'global_code': '6P4JPP5Q+FW'}",4.6,ChIJjSU3GL771y0RP1aWZQsG5G0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",56075,https://www.google.com/maps/place/?q=place_id:ChIJjSU3GL771y0RP1aWZQsG5G0
OPERATIONAL,"Jl. Manukan Lor IV I No.51, Banjar Sugihan, Kec. Tandes, Surabaya, Jawa Timur 60185, Indonesia","{'location': {'lat': -7.258689599999999, 'lng': 112.6608433}, 'viewport': {'northeast': {'lat': -7.257323220107277, 'lng': 112.6621661298927}, 'southwest': {'lat': -7.260022879892721, 'lng': 112.6594664701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KAMPUNG JEBAL ( JEPANG BALI),{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100171470284028317678"">A Google User</a>'], 'photo_reference': 'AUGGfZkxGOYrxfUNNfMFvL9h_eEE3EIpgNjBwbLVkaF4hpcMD8VgP_vZP8WIeJEdNKS5Di0ljMY0nCOnTVcLaUD3RSnN8wZkAb_QXKiUTSbGP890kPvdqDLHLvQTlUhNkt3ZQaywog2UCleBVF73shCrcHHYe5KD-_G3liQUBvL5li5w98F-', 'width': 3000}]",ChIJ9-9oJQD_1y0Rd9V3Yq3NMSI,"{'compound_code': 'PMR6+G8 Banjar Sugihan, Surabaya, East Java, Indonesia', 'global_code': '6P4JPMR6+G8'}",5.0,ChIJ9-9oJQD_1y0Rd9V3Yq3NMSI,"['tourist_attraction', 'point_of_interest', 'establishment']",15,https://www.google.com/maps/place/?q=place_id:ChIJ9-9oJQD_1y0Rd9V3Yq3NMSI
OPERATIONAL,"Jl. Ketabang Kali No.2-B, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272, Indonesia","{'location': {'lat': -7.2618767, 'lng': 112.7432029}, 'viewport': {'northeast': {'lat': -7.260446170107278, 'lng': 112.7446318298927}, 'southwest': {'lat': -7.263145829892721, 'lng': 112.7419321701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata perahu kalimas,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109680691023025651322"">Nur Chamidah</a>'], 'photo_reference': 'AUGGfZn4i52pqRQnb2soEtrcEFP2Kl6sULIo-GYEat2d8Z-oTZVKNzUya3SthpFXo8AoNdkX-yPPDWw5iRXk8FFJChlebEh9zekqA0onhkTKvy1Wr-MtFUUIq0WHgRrz2tpYwuXxtpE8CHpdwBJmcrPoqCXOMW072IBR6IhzJJ6DM6LJMuA7', 'width': 4000}]",ChIJ58PnRLT51y0RFlRLFLJt3z4,"{'compound_code': 'PPQV+67 Ketabang, Surabaya, East Java, Indonesia', 'global_code': '6P4JPPQV+67'}",4.2,ChIJ58PnRLT51y0RFlRLFLJt3z4,"['tourist_attraction', 'point_of_interest', 'establishment']",110,https://www.google.com/maps/place/?q=place_id:ChIJ58PnRLT51y0RFlRLFLJt3z4
OPERATIONAL,"Gula St No.14-A, Bongkaran, Pabean Cantikan, Surabaya, East Java 60161, Indonesia","{'location': {'lat': -7.2398557, 'lng': 112.7406253}, 'viewport': {'northeast': {'lat': -7.238574870107277, 'lng': 112.7419707798927}, 'southwest': {'lat': -7.241274529892721, 'lng': 112.7392711201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kota Tua Surabaya,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109566796195733934735"">A Google User</a>'], 'photo_reference': 'AUGGfZlf8Tv9xuUVoY2daNX7bhhe07rTdjes8xljfpF7ly5cH-ZBm5zNJEkmz9kWJDSLle0CqjNA9jtrKf8NIotf3IrN_IHpR588ZROQ-bYpZHpb49rcgEZ8k2J7lYnu5n5yXzXljP_T6tTIQUY-9h-wT64e7MiYzAH4pbLJVyBAn59R3Dsh', 'width': 4032}]",ChIJPR2qOlr51y0RbyYz7t_LCqk,"{'compound_code': 'QP6R+26 Bongkaran, Surabaya, East Java, Indonesia', 'global_code': '6P4JQP6R+26'}",4.6,ChIJPR2qOlr51y0RbyYz7t_LCqk,"['tourist_attraction', 'point_of_interest', 'establishment']",194,https://www.google.com/maps/place/?q=place_id:ChIJPR2qOlr51y0RbyYz7t_LCqk
OPERATIONAL,"Jl. Ketabang Kali No.2-B, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272, Indonesia","{'location': {'lat': -7.2618767, 'lng': 112.7432029}, 'viewport': {'northeast': {'lat': -7.260446170107278, 'lng': 112.7446318298927}, 'southwest': {'lat': -7.263145829892721, 'lng': 112.7419321701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Air Taman Prestasi,{'open_now': False},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115249011622609359223"">Karen Puteri</a>'], 'photo_reference': 'AUGGfZlPOvQCRDezZdGdsQBd-ODyHBATwyvAQweXefKQhkFrEqPmWoFkR07RF11F83TELmkySwH9_dJjwE9UGeyx3WCE76YIbQRBuLr2PEZEKWJYpwUl0tNlPF96lYHvVrQAwt_qMtFHjGLfGyLQtWlRKIrVazxl57JJDEPN8Pyb7zooJ9fi', 'width': 3468}]",ChIJoXixNGH51y0RSpIJQBU1oD4,"{'compound_code': 'PPQV+67 Ketabang, Surabaya, East Java, Indonesia', 'global_code': '6P4JPPQV+67'}",4.7,ChIJoXixNGH51y0RSpIJQBU1oD4,"['tourist_attraction', 'point_of_interest', 'establishment']",134,https://www.google.com/maps/place/?q=place_id:ChIJoXixNGH51y0RSpIJQBU1oD4
OPERATIONAL,"Jl. Balas Klumprik, Balas Klumprik, Kec. Wiyung, Surabaya, Jawa Timur 60222, Indonesia","{'location': {'lat': -7.329669999999999, 'lng': 112.6912506}, 'viewport': {'northeast': {'lat': -7.328322170107276, 'lng': 112.6925113798927}, 'southwest': {'lat': -7.33102182989272, 'lng': 112.6898117201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Pertanian Terpadu Balas Klumprik,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115539676923723022551"">rian</a>'], 'photo_reference': 'AUGGfZkCheVCrDRsEbfohKDPZE93JPiMQmuEIIySM2HoO9dlzgJT5zjZrFtBaYizy50ohrWaZg9RzCYGLYvODaFLyHpwnytrJ9WW8rW8J1SQGgeStaQxsLIYS3e_PLYSk5nXHCWkpOoZAV01Cpi8-uh2vfic4OxfSvvm-exdmSr1rZH_qgKl', 'width': 4000}]",ChIJ20H-qOr81y0RpESEILG3b9Q,"{'compound_code': 'MMCR+4G Balas Klumprik, Surabaya, East Java, Indonesia', 'global_code': '6P4JMMCR+4G'}",4.4,ChIJ20H-qOr81y0RpESEILG3b9Q,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",861,https://www.google.com/maps/place/?q=place_id:ChIJ20H-qOr81y0RpESEILG3b9Q
OPERATIONAL,"Jl. Gubernur Suryo No.15, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 21256, Indonesia","{'location': {'lat': -7.2638645, 'lng': 112.7453065}, 'viewport': {'northeast': {'lat': -7.262716870107277, 'lng': 112.7465552798927}, 'southwest': {'lat': -7.265416529892721, 'lng': 112.7438556201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alun - Alun Surabaya,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105814336828825824842"">annie hermawan</a>'], 'photo_reference': 'AUGGfZk5-OwJ9yiYq8Dnvi3QixPCrGMG-P1Gz3DLHjWlJ1Xorex_G6G5yCtt9TX4kWB58KZbSbIV-O0FZvVcYSl5YGfnETjtsIOdx1AWlHHKPcauIS953WM7Aem4zeK-nx1eaGchtAXi6PwvnVLsC7XvHXvLMm-S347SkYG57pi2cNwBzVDU', 'width': 4208}]",ChIJlYXv3iz51y0RLLhpJ0iVitM,"{'compound_code': 'PPPW+F4 Embong Kaliasin, Surabaya, East Java, Indonesia', 'global_code': '6P4JPPPW+F4'}",4.8,ChIJlYXv3iz51y0RLLhpJ0iVitM,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",9726,https://www.google.com/maps/place/?q=place_id:ChIJlYXv3iz51y0RLLhpJ0iVitM
OPERATIONAL,"Jl. Pantai Ria Kenjeran No.100, Sukolilo Baru, Jawa Timur 60122, Indonesia","{'location': {'lat': -7.2470829, 'lng': 112.8026414}, 'viewport': {'northeast': {'lat': -7.245840370107278, 'lng': 112.8035369798927}, 'southwest': {'lat': -7.248540029892722, 'lng': 112.8008373201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kwan Im Goddess Statue,,"[{'height': 4896, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110455443760274191292"">Awan Setiawan</a>'], 'photo_reference': 'AUGGfZlSU88fJdQxCZvcIV0ZX5rlOKdIuBN7HzykwG3IR58kxb59LYEdP5REGp-lrde_HU9H7usOM6lfNlBFkEpgEIBzlPkZvab9bATm9P5YeogNLfgkXMHpXce3u-1cwnQLK75ymFOlxgqNDh4Pqko6oe0wP7kl_ATba2A-TxShEVzR5jdb', 'width': 6528}]",ChIJj3uF9Ob51y0RY37hnmGlhnM,"{'compound_code': 'QR33+53 Sukolilo Baru, Surabaya, East Java, Indonesia', 'global_code': '6P4JQR33+53'}",4.6,ChIJj3uF9Ob51y0RY37hnmGlhnM,"['tourist_attraction', 'point_of_interest', 'establishment']",573,https://www.google.com/maps/place/?q=place_id:ChIJj3uF9Ob51y0RY37hnmGlhnM
