business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,price_level,url
OPERATIONAL,"CRM5+9QV, Slamet Riyadi St, Penumping, Laweyan, Surakarta City, Central Java 57141, Indonesia","{'location': {'lat': -7.566507999999999, 'lng': 110.809436}, 'viewport': {'northeast': {'lat': -7.565182820107277, 'lng': 110.8109291298927}, 'southwest': {'lat': -7.567882479892721, 'lng': 110.8082294701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Loji Gandrung,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102780606912038934156"">Reno Herdhiansyah</a>'], 'photo_reference': 'AUGGfZmTWvLkS3zOWs0ug3s5biG475KDvz68OuiOJZWdTeFSTCMQDJRdDNGMcMy7BDAW5Cj94EHvGoBYQz7WCzbB5xFE9brdTtTy-Vn69LdzAV3mjtLrp4ZR_uw1xPX8M0sXJkz2dGp220mFfV_MbOxMMly0PAOgK2CiaGs6tn1W2e5goaf2', 'width': 3024}]",ChIJVVVVpYAWei4RRtUXrT5bE2A,4.7,ChIJVVVVpYAWei4RRtUXrT5bE2A,"['tourist_attraction', 'local_government_office', 'point_of_interest', 'establishment']",321,,,,https://www.google.com/maps/place/?q=place_id:ChIJVVVVpYAWei4RRtUXrT5bE2A
OPERATIONAL,"Slamet Riyadi St No.261, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia","{'location': {'lat': -7.568727, 'lng': 110.816355}, 'viewport': {'northeast': {'lat': -7.567363070107278, 'lng': 110.8177182298927}, 'southwest': {'lat': -7.570062729892722, 'lng': 110.8150185701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,House of Danar Hadi,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110988413434502105089"">Petry Purenia</a>'], 'photo_reference': 'AUGGfZnVHZ4M1H4svCdUz_jg9K4bbYs8DYMrEdJ3NCHoMxu2LeGXTb2_b5YIjhestf-eB3nN0lZo29QX4grtrGGtU3QvX9_mKCexoon4EHt6VfXYSgW4Th-BpKU8dG23xe5zye50z5lVcVfJP-lvyfgy2co0rxvoNruEiNeLvuLGYQrc4r7z', 'width': 3840}]",ChIJ03VkgX0Wei4R3tR66WDpFhk,4.6,ChIJ03VkgX0Wei4R3tR66WDpFhk,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",2240,"{'compound_code': 'CRJ8+FG Sriwedari, Surakarta City, Central Java, Indonesia', 'global_code': '6P4GCRJ8+FG'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ03VkgX0Wei4R3tR66WDpFhk
OPERATIONAL,"Laweyan, Surakarta City, Central Java, Indonesia","{'location': {'lat': -7.5716977, 'lng': 110.7933295}, 'viewport': {'northeast': {'lat': -7.57034772010728, 'lng': 110.7946785298927}, 'southwest': {'lat': -7.573047379892723, 'lng': 110.7919788701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bungker Setono,{'open_now': False},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114391999741639427081"">A Google User</a>'], 'photo_reference': 'AUGGfZmaTrnBk59iDzl4Aft_TomNEHgVnrGQPx8nlSNT9f3gUvVrKM7pDMgSCvhyTQowLNbKaXPx7_NfufpRsFdst_64fELoysWLtVGxeFd4kgMr1E2lBZg7egLBjyGQzU56CBMXTDv5vJCL-t4jogPX1wZFUP112LHpkE7WCbQymS-wyCne', 'width': 2992}]",ChIJe2CBrj4Vei4RABj-ekLxbcM,5.0,ChIJe2CBrj4Vei4RABj-ekLxbcM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"{'compound_code': 'CQHV+88 Laweyan, Surakarta City, Central Java, Indonesia', 'global_code': '6P4GCQHV+88'}",,,https://www.google.com/maps/place/?q=place_id:ChIJe2CBrj4Vei4RABj-ekLxbcM
OPERATIONAL,"Kampung Baru, Pasar Kliwon, Surakarta City, Central Java, Indonesia","{'location': {'lat': -7.572440100000001, 'lng': 110.8292446}, 'viewport': {'northeast': {'lat': -7.571121670107278, 'lng': 110.8305861798927}, 'southwest': {'lat': -7.573821329892722, 'lng': 110.8278865201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Slamet Riyadi Statue,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112771014651452198549"">Masbrotoz W</a>'], 'photo_reference': 'AUGGfZlP95C2NPvxlMOSY3-C-evkot87pzZAe89ei5bZv5jHBxmVA63mNkHsuSOntvsyJ04EOo6EHbBAUiorUtWJ7Cyk1rPCUp44lcB1zXX4BbvLV4GVBf5zyDYfxvXVZcOmsse57-rp3DOHQCftSrQAKHgWzXNo5_MU5NIIMbZGlPu_DXYu', 'width': 3840}]",ChIJ8dvrToAWei4R8ySMA0qGUfo,4.6,ChIJ8dvrToAWei4R8ySMA0qGUfo,"['tourist_attraction', 'point_of_interest', 'establishment']",1380,"{'compound_code': 'CRHH+2M Kampung Baru, Surakarta City, Central Java, Indonesia', 'global_code': '6P4GCRHH+2M'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ8dvrToAWei4R8ySMA0qGUfo
OPERATIONAL,"CQRJ+M7Q, Pajang, Laweyan, Surakarta City, Central Java 57146, Indonesia","{'location': {'lat': -7.5584738, 'lng': 110.7805391}, 'viewport': {'northeast': {'lat': -7.557103670107279, 'lng': 110.7818818298927}, 'southwest': {'lat': -7.559803329892723, 'lng': 110.7791821701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Undlup apek ki,,,ChIJO-diCjgVei4RSGZRHKgU5ho,0.0,ChIJO-diCjgVei4RSGZRHKgU5ho,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJO-diCjgVei4RSGZRHKgU5ho
OPERATIONAL,"CQFV+VV3, RW.05, Pondang, Sondakan, Laweyan, Surakarta City, Central Java 57552, Indonesia","{'location': {'lat': -7.5753529, 'lng': 110.7946582}, 'viewport': {'northeast': {'lat': -7.573969070107276, 'lng': 110.7960139298927}, 'southwest': {'lat': -7.576668729892721, 'lng': 110.7933142701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KETAPER BERSEIRAMA sondakan,,,ChIJmddzf-MVei4ROfBf_Zcr70E,0.0,ChIJmddzf-MVei4ROfBf_Zcr70E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJmddzf-MVei4ROfBf_Zcr70E
OPERATIONAL,"Slamet Riyadi St No.290, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia","{'location': {'lat': -7.5678364, 'lng': 110.8136874}, 'viewport': {'northeast': {'lat': -7.566470070107278, 'lng': 110.8150425298927}, 'southwest': {'lat': -7.569169729892722, 'lng': 110.8123428701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Meriam Sriwedari,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101074572471790537047"">Kris Kian</a>'], 'photo_reference': 'AUGGfZlcSoUUKETce8dkqlGgKJcs0MHU20g-qgREHtppFJox42CKMyGF2M8sxpIlJUJ8MYjlE9xO0VCVsKMflcdGttBgaukwfYpNm9PgyZ6hI0tMe8BhDpSEuiiYaPqZcQL6x7UrGoB6M6jfi53xigyG2jdGnH_SzAvGE0uSoB0jILeWkqIW', 'width': 4000}]",ChIJCRWiUocWei4R0k-fuYo03uM,4.4,ChIJCRWiUocWei4R0k-fuYo03uM,"['tourist_attraction', 'point_of_interest', 'establishment']",144,"{'compound_code': 'CRJ7+VF Sriwedari, Surakarta City, Central Java, Indonesia', 'global_code': '6P4GCRJ7+VF'}",,,https://www.google.com/maps/place/?q=place_id:ChIJCRWiUocWei4R0k-fuYo03uM
OPERATIONAL,"CRR5+84J, Jl. Doktor Moewardi, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57142, Indonesia","{'location': {'lat': -7.559155199999999, 'lng': 110.8077531}, 'viewport': {'northeast': {'lat': -7.557797870107279, 'lng': 110.8090750798927}, 'southwest': {'lat': -7.560497529892723, 'lng': 110.8063754201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat hunting para binatang,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114265330638361303410"">A Google User</a>'], 'photo_reference': 'AUGGfZnd0k1BFp3d008GV2SlM_tJgyHdkxvroI6ttNL2y6rMlrqnRrkooF6pc-jIOI_FHpFShEl7-ey1fJuoeIzQaWXEt8Q6KEvjLWNsvhfFqC45hQGtaqJlo_jIR1-y-zkXQpGna2pFn-oPk_y8OSaYBljK2Lchu36Ola3jFtEpa1skBqVN', 'width': 4096}]",ChIJwyLnDAAXei4Rix6s8rY9ev8,4.3,ChIJwyLnDAAXei4Rix6s8rY9ev8,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,,https://www.google.com/maps/place/?q=place_id:ChIJwyLnDAAXei4Rix6s8rY9ev8
OPERATIONAL,"Jl. K.H Samanhudi No.75, Sondakan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57147, Indonesia","{'location': {'lat': -7.566657200000001, 'lng': 110.7973478}, 'viewport': {'northeast': {'lat': -7.565249520107278, 'lng': 110.7986545798927}, 'southwest': {'lat': -7.567949179892722, 'lng': 110.7959549201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Samanhoedi,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104876087013600515248"">pujo trc</a>'], 'photo_reference': 'AUGGfZlNMWrqyS5PcQDnDGNdKHfSU-YQWzWOvVZ1CWYb9ucmt3FW_TP43SwyVZ5VNNM6KlSNtCTTW6MykxFrsv_e04T7rESyiPcgOa6_aN-Dw6wwnV4ot8cuFjUETy83wjA2rg52TmDtTP4GIqw8oufxCZ_eswEvjlqyqH3FtsdS5HYXBGWA', 'width': 1920}]",ChIJATdGoC0Uei4RJV6QlD23Vb4,4.5,ChIJATdGoC0Uei4RJV6QlD23Vb4,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",241,"{'compound_code': 'CQMW+8W Sondakan, Surakarta City, Central Java, Indonesia', 'global_code': '6P4GCQMW+8W'}",,,https://www.google.com/maps/place/?q=place_id:ChIJATdGoC0Uei4RJV6QlD23Vb4
OPERATIONAL,"Jl. Wijaya Kusuma No.38, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57122, Indonesia","{'location': {'lat': -7.5714999, 'lng': 110.8258284}, 'viewport': {'northeast': {'lat': -7.570141370107279, 'lng': 110.8271464798927}, 'southwest': {'lat': -7.572841029892722, 'lng': 110.8244468201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gerbang Utama Kampung Wisata Batik Kauman Solo,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106057004199772425172"">TJIUNGGU TJERMIN</a>'], 'photo_reference': 'AUGGfZlZzApBLGZzjfdwKJeMoL2nMJMHLIm6A6w2Lq5LyxFKDyLwObVFmrXgMiWco4WXj1m3U1WwW3_4PMum7ka3iWpTK_WpCaNlwbavpETME0TyX7pil00mT1wE7h-HXq3lt_lKCNGNHBMuEj_lChp8M1E0TjrS0QzC9dYWG2J7uTm5YJQ', 'width': 5184}]",ChIJaVgnlnYXei4R6QkKHPFnr14,4.7,ChIJaVgnlnYXei4R6QkKHPFnr14,"['tourist_attraction', 'point_of_interest', 'establishment']",47,"{'compound_code': 'CRHG+C8 Kauman, Surakarta City, Central Java, Indonesia', 'global_code': '6P4GCRHG+C8'}",,,https://www.google.com/maps/place/?q=place_id:ChIJaVgnlnYXei4R6QkKHPFnr14
