business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"RT.002/RW.001, Uwung Jaya, Cibodas, Tangerang City, Banten 15132, Indonesia","{'location': {'lat': -6.1869288, 'lng': 106.6058085}, 'viewport': {'northeast': {'lat': -6.185728270107278, 'lng': 106.6069534798927}, 'southwest': {'lat': -6.188427929892722, 'lng': 106.6042538201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Lebak Annisa,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103711900761953327608"">A Google User</a>'], 'photo_reference': 'AUGGfZk4uweJkWikkY7nU5STYPpW553tvyy7Ypf5LD1T09zu0fk75Yzhcv4WDtKTh8WoazVnK3Njl726Q8g870sMSH2LHFRhUqEqlK2P_mqU35tN1756RV9Z-E3bxfSONBOJ85WI93PiOLj0Gp6l1xvQwu9k7PR-5jJ9Ak676uBVcFFoAxjB', 'width': 1080}]",ChIJqTQflZ__aS4R90mNWTj5g0w,"{'compound_code': 'RJ74+68 Uwung Jaya, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJ74+68'}",5.0,ChIJqTQflZ__aS4R90mNWTj5g0w,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJqTQflZ__aS4R90mNWTj5g0w
CLOSED_TEMPORARILY,"RH2X+FGR, RW.012, Uwung Jaya, Cibodas, Tangerang City, Banten, Indonesia","{'location': {'lat': -6.1987673, 'lng': 106.5986232}, 'viewport': {'northeast': {'lat': -6.197336070107278, 'lng': 106.6000008798927}, 'southwest': {'lat': -6.200035729892722, 'lng': 106.5973012201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,laskarbola,,,ChIJK6wF1Wf_aS4RlU3dICWEiEs,,0.0,ChIJK6wF1Wf_aS4RlU3dICWEiEs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJK6wF1Wf_aS4RlU3dICWEiEs
OPERATIONAL,"RJ7M+38C, Jl. Perintis Kemerdekaan, RT.001/RW.001, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia","{'location': {'lat': -6.1873102, 'lng': 106.6332586}, 'viewport': {'northeast': {'lat': -6.185967370107278, 'lng': 106.6346082298927}, 'southwest': {'lat': -6.188667029892722, 'lng': 106.6319085701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Bekelir,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105660968313762936383"">A Google User</a>'], 'photo_reference': 'AUGGfZl18pdmLywgGAVtwPjT8HhkoDu0kVY5Drsb88lYW-7OMYZjcyzrxFw9OHDBd7VjIoRrZZAgfZLAYpoj3zWItFxAh9TDODfQpqTRyQAdoFWMnO1xuHzqrYdphlYS9EebDQ2tB336QnA5aPfyNRb0IILPR73bTYv3kKqvtLyRH0EQxA2_', 'width': 4160}]",ChIJqZKkjvj5aS4RzchmpwHCyWc,,4.7,ChIJqZKkjvj5aS4RzchmpwHCyWc,"['tourist_attraction', 'point_of_interest', 'establishment']",175,,https://www.google.com/maps/place/?q=place_id:ChIJqZKkjvj5aS4RzchmpwHCyWc
OPERATIONAL,"Jl. Tanimbar No.37, RT.005/RW.005, Cimone Jaya, Kec. Karawaci, Kota Tangerang, Banten 15114, Indonesia","{'location': {'lat': -6.189498599999999, 'lng': 106.6155948}, 'viewport': {'northeast': {'lat': -6.188156170107278, 'lng': 106.6169754298927}, 'southwest': {'lat': -6.190855829892722, 'lng': 106.6142757701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Escape.Trip,{'open_now': False},,ChIJ0wPlHgD_aS4RmyXAOhGZdwY,"{'compound_code': 'RJ68+66 Cimone Jaya, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJ68+66'}",0.0,ChIJ0wPlHgD_aS4RmyXAOhGZdwY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ0wPlHgD_aS4RmyXAOhGZdwY
OPERATIONAL,"QJQ7+MXF, Jl. Pandan Raya, RT.001/RW.012, Nusa Jaya, Kec. Karawaci, Kota Tangerang, Banten 15138, Indonesia","{'location': {'lat': -6.210801, 'lng': 106.614936}, 'viewport': {'northeast': {'lat': -6.209455420107277, 'lng': 106.6162953298927}, 'southwest': {'lat': -6.212155079892721, 'lng': 106.6135956701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Ekspresi,{'open_now': False},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114033869364021786412"">Rakhmad Ramadhanjaya</a>'], 'photo_reference': 'AUGGfZkACzrEkliRHAGAaFOdxHQWJXSbmMRcKnBB9s5mMxc0PLqd1cHR-5K88CXJMd0OlVPwi7SoQfirKDYpeftQOwluP6EyvZ37OOx53WDUufe-dVytBohpp27S3kG2vAbGhPFktGmugrIqMuPCu18HtmiAO66QXu7VCEAzdYorXTkBOHSG', 'width': 4096}]",ChIJTSU4Rbr-aS4ReGg4vH3lAqo,,4.5,ChIJTSU4Rbr-aS4ReGg4vH3lAqo,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1285,,https://www.google.com/maps/place/?q=place_id:ChIJTSU4Rbr-aS4ReGg4vH3lAqo
OPERATIONAL,"Jl. Omega Raya, Karawaci Baru, Kec. Karawaci, Kota Tangerang, Banten 15116, Indonesia","{'location': {'lat': -6.200100399999999, 'lng': 106.6114786}, 'viewport': {'northeast': {'lat': -6.198750570107276, 'lng': 106.6128284298927}, 'southwest': {'lat': -6.20145022989272, 'lng': 106.6101287701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Homestay Mahroji,,,ChIJzYlVxLD_aS4RgLdpp1dDvpc,,5.0,ChIJzYlVxLD_aS4RgLdpp1dDvpc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJzYlVxLD_aS4RgLdpp1dDvpc
OPERATIONAL,"Jl. Veteran Blok B12 No.1, RT.001/RW.009, Sukasari, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia","{'location': {'lat': -6.1861894, 'lng': 106.6382719}, 'viewport': {'northeast': {'lat': -6.184834620107278, 'lng': 106.6396846298927}, 'southwest': {'lat': -6.187534279892722, 'lng': 106.6369849701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Adipura Kota Tangerang,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110026222254184957875"">aMeL oNeng</a>'], 'photo_reference': 'AUGGfZlJQLIqNnPkuxVgGY_5B45Mpvj6CRZk9LkbR0w5AD3CUTqRWMLSoGenUZn3YVGz5bv_XiB_H0TIEAofT3Bd0-QZVttOq1vq8jDheHDwqAcRKljHJRM-KT5QXt3eEWlPHqiOISHkcSBy_5uP5j9QrLFKFuZIWWRLbybLIlzL0HSVdmo', 'width': 3456}]",ChIJ3fe74Cj5aS4RsbPYXkq1P4U,"{'compound_code': 'RJ7Q+G8 Sukasari, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJ7Q+G8'}",4.5,ChIJ3fe74Cj5aS4RsbPYXkq1P4U,"['tourist_attraction', 'point_of_interest', 'establishment']",1079,,https://www.google.com/maps/place/?q=place_id:ChIJ3fe74Cj5aS4RsbPYXkq1P4U
OPERATIONAL,"RJ3J+VVW, RT.001/RW.005, Babakan, Tangerang, Tangerang City, Banten 15118, Indonesia","{'location': {'lat': -6.1952608, 'lng': 106.632193}, 'viewport': {'northeast': {'lat': -6.193990070107277, 'lng': 106.6334019798927}, 'southwest': {'lat': -6.196689729892721, 'lng': 106.6307023201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Potret,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109442810554958563566"">Suroso Saja</a>'], 'photo_reference': 'AUGGfZl9cct4SysgCm61zum4SallGIexMudCFkvVWofbSSBWxt_bE-3JplqBuZq5EPabtxYVKBX1LfffmwTMFTL9EToZtm38PlpPDPsvITHR6LziBV9z4hhUFcq4Al_QmAJVNmv_6vDwyi_PQAEYAhJjhoDOr6ePRYsSxCMeva2ygC2Iz5UH', 'width': 4096}]",ChIJpe-XqzP5aS4RW20zJ7Ekvq4,,4.5,ChIJpe-XqzP5aS4RW20zJ7Ekvq4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",8065,,https://www.google.com/maps/place/?q=place_id:ChIJpe-XqzP5aS4RW20zJ7Ekvq4
OPERATIONAL,"RJHP+92M alun alun, Jl. Jend. Ahmad Yani, RT.002/RW.001, Sukarasa, Kec. Tangerang, Kota Tangerang, Banten 15111, Indonesia","{'location': {'lat': -6.171538, 'lng': 106.6350392}, 'viewport': {'northeast': {'lat': -6.170194670107279, 'lng': 106.6364393298927}, 'southwest': {'lat': -6.172894329892722, 'lng': 106.6337396701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman PRESTASI,,"[{'height': 4312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113559250910663853817"">Fuad Abdul Baqi</a>'], 'photo_reference': 'AUGGfZlkKiX8thxYu9uH6tODgGHrmyIjMM4K1s9z8-i--REiZ1jPQH45MOVFaNuI3qkjuNQBasRZ-DtSIOIkJ_uPSjh_cP5bF1aM50SWw3a0Mt9Qzo_4CiUvcuuPcBf8-ZK222CwgCDmtnRFDYp3BRkEcXAMDeRYRe7jmR2Rw6ASrRWrE5gV', 'width': 5760}]",ChIJ2-ZD4s34aS4RyXLrOk1uz4I,,4.5,ChIJ2-ZD4s34aS4RyXLrOk1uz4I,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1587,,https://www.google.com/maps/place/?q=place_id:ChIJ2-ZD4s34aS4RyXLrOk1uz4I
OPERATIONAL,"RJ37+2FG, Jl. Gurame Raya, RT.005/RW.010, Karawaci Baru, Kec. Karawaci, Kota Tangerang, Banten 15116, Indonesia","{'location': {'lat': -6.1974329, 'lng': 106.6137162}, 'viewport': {'northeast': {'lat': -6.196083070107278, 'lng': 106.6150660298927}, 'southwest': {'lat': -6.198782729892722, 'lng': 106.6123663701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan gurame,,,ChIJDzW9g_v_aS4RkBA6pPodpsg,,0.0,ChIJDzW9g_v_aS4RkBA6pPodpsg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJDzW9g_v_aS4RkBA6pPodpsg
