business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,permanently_closed,url
OPERATIONAL,"XQ9W+CVC, Tanjung Balai Kota III, North Tanjungbalai, Tanjung Balai City, North Sumatra 21332, Indonesia","{'location': {'lat': 2.9680119, 'lng': 99.7974979}, 'viewport': {'northeast': {'lat': 2.969389729892722, 'lng': 99.79882002989272}, 'southwest': {'lat': 2.966690070107278, 'lng': 99.79612037010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau datok,ChIJ_2SPGu5RMjARtdDGqrFSd7U,4.5,ChIJ_2SPGu5RMjARtdDGqrFSd7U,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_2SPGu5RMjARtdDGqrFSd7U
OPERATIONAL,"XQ9R+MFF, Sirantau, Datuk Bandar, Tanjung Balai City, North Sumatra 21333, Indonesia","{'location': {'lat': 2.9691757, 'lng': 99.7911834}, 'viewport': {'northeast': {'lat': 2.970525529892723, 'lng': 99.79253322989273}, 'southwest': {'lat': 2.967825870107278, 'lng': 99.78983357010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung balai sekitar,ChIJ0zQyK1pRMjARbVZ1pPFtVCU,0.0,ChIJ0zQyK1pRMjARbVZ1pPFtVCU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113589250996189263228"">Endang Jaenudin</a>'], 'photo_reference': 'AUGGfZnNontPiNQ4QknXAypdp1ChB39sVXJomBZ8hu8s2ZMC2ao07veIvHQA4NbZiv-RQH0QCU-sCk7QJYN7Nnzc3GvWXRRi8Ig04YpYllCtJ1pIyvVQncw9Ee5n4150Yo-pGLQGok_IgW9U9vebRdK3UwqzkeY7vSOyLg65xdbXcN389ffn', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ0zQyK1pRMjARbVZ1pPFtVCU
OPERATIONAL,"Jl. Sipirok No.5, Perwira, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara, Indonesia","{'location': {'lat': 2.9623993, 'lng': 99.80542589999999}, 'viewport': {'northeast': {'lat': 2.963837879892722, 'lng': 99.80696297989273}, 'southwest': {'lat': 2.961138220107277, 'lng': 99.80426332010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu lima,ChIJd-XRXQBRMjARdwnxx1J4jd4,0.0,ChIJd-XRXQBRMjARdwnxx1J4jd4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,"{'compound_code': 'XR64+X5 Perwira, Tanjung Balai City, North Sumatra, Indonesia', 'global_code': '6MJXXR64+X5'}",,,https://www.google.com/maps/place/?q=place_id:ChIJd-XRXQBRMjARdwnxx1J4jd4
OPERATIONAL,"WQQ4+VWF, Jl. Jendral Sudirman, Sijambi, Kec. Datuk Bandar, Kota Tanjung Balai, Sumatera Utara 21369, Indonesia","{'location': {'lat': 2.9396986, 'lng': 99.75729869999999}, 'viewport': {'northeast': {'lat': 2.941046179892723, 'lng': 99.75865477989272}, 'southwest': {'lat': 2.938346520107278, 'lng': 99.75595512010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Kerang Tanjungbalai Sumatera Utara,ChIJOesKaKxRMjARzMNA4jxSHDY,4.5,ChIJOesKaKxRMjARzMNA4jxSHDY,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107001104719429174631"">Reza Maha</a>'], 'photo_reference': 'AUGGfZkDThjh16zkNvsO9Pf4lAYc-5zyBlzVC5WWzqHObeyVnDowNikJQOl24_cVCjCzOEaJpjNRIobf0awEGgvj2deR-ppkKPDZU3y93sjW0rHX8y0GXNZ-1AkLarosv0zgv0tCE7w6D3F5EFTBjmmSqNjdnzvoHs0yV68IlLEcjBKC_p0v', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJOesKaKxRMjARzMNA4jxSHDY
OPERATIONAL,"XQ8X+98H, Pantai Burung, South Tanjungbalai, Tanjung Balai City, North Sumatra, Indonesia","{'location': {'lat': 2.9659488, 'lng': 99.79835059999999}, 'viewport': {'northeast': {'lat': 2.967296729892722, 'lng': 99.79970397989271}, 'southwest': {'lat': 2.964597070107277, 'lng': 99.79700432010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tangkahan tanjung balai,ChIJj-k7BC5RMjAR-EZj8HD_0cI,1.0,ChIJj-k7BC5RMjAR-EZj8HD_0cI,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJj-k7BC5RMjAR-EZj8HD_0cI
OPERATIONAL,"XRV8+Q9F, Perjuangan, Teluk Nibung, Tanjung Balai City, North Sumatra 21352, Indonesia","{'location': {'lat': 2.9944454, 'lng': 99.8159164}, 'viewport': {'northeast': {'lat': 2.9954786, 'lng': 99.81747677989273}, 'southwest': {'lat': 2.991345799999999, 'lng': 99.81477712010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Pasir Timbul,ChIJtcBbpbJVMjARH9JyX-8k8MY,4.0,ChIJtcBbpbJVMjARH9JyX-8k8MY,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101940438605634055496"">Ismail Amnur</a>'], 'photo_reference': 'AUGGfZmuZd7ij_f_izeBjJMr4G0F-dgoTlkCdDNd5Yxq_Wuvxbfvd7fW0VQVO3comNEVJk3PdQTTe58oQDuQxlCgKJJzRqpb5Xdua0F-Fg7KP0IWXj2eVsDH6KC_2hFU0e8uLoGSxe88kyw0lguFNNO606-9BvfJ0N4usUcOksC02SjX8zMw', 'width': 4608}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJtcBbpbJVMjARH9JyX-8k8MY
OPERATIONAL,"XQ7X+XXW, Pantai Burung, South Tanjungbalai, Tanjung Balai City, North Sumatra 21332, Indonesia","{'location': {'lat': 2.9649895, 'lng': 99.7999404}, 'viewport': {'northeast': {'lat': 2.966421229892722, 'lng': 99.80130287989273}, 'southwest': {'lat': 2.963721570107277, 'lng': 99.79860322010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Burung,ChIJQ1n0O-tRMjAR4i9E23MW2q4,5.0,ChIJQ1n0O-tRMjAR4i9E23MW2q4,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ1n0O-tRMjAR4i9E23MW2q4
OPERATIONAL,"XRJ3+9JX, Beting Kuala Kapias, Teluk Nibung, Tanjung Balai City, North Sumatra, Indonesia","{'location': {'lat': 2.9809787, 'lng': 99.8041245}, 'viewport': {'northeast': {'lat': 2.982253579892723, 'lng': 99.80505105}, 'southwest': {'lat': 2.979553920107278, 'lng': 99.80134485}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Lebos,ChIJ3S0fIHNTMjAREGEsioR1gtE,0.0,ChIJ3S0fIHNTMjAREGEsioR1gtE,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115799879441019840072"">ckdelta delta</a>'], 'photo_reference': 'AUGGfZk_Jt84wwKmowTaHF8cWMu2DLS-H7H_b7NQoG3ewIxC2ccYKSXv9RqA_1LuVV-P7E42q4LYdXeyswxXbJrchZGBBmHX9Z-9GIZ49YE_k31p7HCWU82029uUCybh4rA_twgmXVm4E1BalSzfbs_n7ouclcxB3A4wdKk5SefYdpTdseU1', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ3S0fIHNTMjAREGEsioR1gtE
OPERATIONAL,"XR95+67V Pantai Amor, Indra Sakti, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara 21352, Indonesia","{'location': {'lat': 2.9681217, 'lng': 99.8081682}, 'viewport': {'northeast': {'lat': 2.969452679892722, 'lng': 99.80948022989274}, 'southwest': {'lat': 2.966753020107278, 'lng': 99.80678057010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Amor Tanjungbalai Beach,ChIJYxASzVVRMjARX3Cwfun-hYI,0.0,ChIJYxASzVVRMjARX3Cwfun-hYI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104052844860275978708"">andika andec</a>'], 'photo_reference': 'AUGGfZko2zRnow7LKyixFLlpyIuh1POLFnpXX-nVfPvux5S7YYgGfJ9P6s69PsP9uZt4gFMm-69_qHfOO7F8GpwRYkb4jhFxoxF4xbADk-nwRUEF18qzRXVZUsBTEZd6K1-UQEFUohXiit7NLKyPHqoBs4h63V2bcFPlIlva-Ed1zZS9u3Ry', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJYxASzVVRMjARX3Cwfun-hYI
OPERATIONAL,"XQVW+RXQ, Kapias Pulau Buaya, Teluk Nibung, Tanjung Balai City, North Sumatra 21352, Indonesia","{'location': {'lat': 2.995087, 'lng': 99.79759999999999}, 'viewport': {'northeast': {'lat': 2.996412829892722, 'lng': 99.79889602989272}, 'southwest': {'lat': 2.993713170107278, 'lng': 99.79619637010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wahyu Riski,ChIJV3CeDp5TMjAR0RGDhO1Kwgk,0.0,ChIJV3CeDp5TMjAR0RGDhO1Kwgk,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105930599469661441614"">tan allard</a>'], 'photo_reference': 'AUGGfZmzWPdTlAeL5AvS4hDDhbr-VQO0G-B9XbEztaAPFcUTRlfAFEnsTDZhM6btxvS5f6SwnqDZGYkzCCzt-Io2BusuD_zEoyFJus1JX5Xs0s3rFJ8wcSTUtNA1fqOuaFzz0hG8v6gijnqYVqnvpkOlvTCGh7J45FUggb9Mzo8jA2hS0nQ', 'width': 810}]",,{},,https://www.google.com/maps/place/?q=place_id:ChIJV3CeDp5TMjAR0RGDhO1Kwgk
