business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. P. Diponegoro No.2, Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52125, Indonesia","{'location': {'lat': -6.8667411, 'lng': 109.1365193}, 'viewport': {'northeast': {'lat': -6.865413220107278, 'lng': 109.1378432298927}, 'southwest': {'lat': -6.868112879892721, 'lng': 109.1351435701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,City Walk Kota Tegal,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104745834429789739517"">Fajar Karunia</a>'], 'photo_reference': 'AUGGfZmkF63g6BFE71AESyTBDZcyGc2MYRgO3Hz326XALqXxwvZeLS6u-LNiyjaGU9uY-5r7QWBjXx9pCgn5DZScgxEbSPbs7J4KS80HYFQO8XfbmWuA8NRDMo1uGJ6GtF_VyKGaRXizGinRR_oBXNY3tB9Z1ibJunApqdqtK7jNG3H7AEQw', 'width': 2000}]",ChIJMSW_IB23by4R7ltxqTkAneo,"{'compound_code': '44MP+8J Mintaragen, Tegal City, Central Java, Indonesia', 'global_code': '6P5F44MP+8J'}",4.3,ChIJMSW_IB23by4R7ltxqTkAneo,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJMSW_IB23by4R7ltxqTkAneo
OPERATIONAL,"5546+6F, Panggung, Tegal Timur, Tegal City, Central Java, Indonesia","{'location': {'lat': -6.844445599999999, 'lng': 109.1611815}, 'viewport': {'northeast': {'lat': -6.843417020107277, 'lng': 109.16197055}, 'southwest': {'lat': -6.846116679892721, 'lng': 109.15881435}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jaring tok,"[{'height': 9248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106041068439451346025"">Whoami Idunno</a>'], 'photo_reference': 'AUGGfZlc69DcWNAzcOUJnJrDUtlilDORxgwdsSiUiH9zSagrhm-G41qjRaBosnds3JudRf1Hd35L-uAeE5xtlYj5CsnBDFHNF_EW7-AETSEm5FbRIa-nPrpKMrijSfAx5C5Ku5rMdwdgvEd3fctNDpA2_VqdBc0orf1W_1oUHL6XloT4QF8D', 'width': 6944}]",ChIJkelphqW3by4RzwCHk3njSDk,,5.0,ChIJkelphqW3by4RzwCHk3njSDk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJkelphqW3by4RzwCHk3njSDk
OPERATIONAL,"5523+W7X, Panggung, Tegal Timur, Tegal City, Central Java, Indonesia","{'location': {'lat': -6.847638, 'lng': 109.1532291}, 'viewport': {'northeast': {'lat': -6.846270870107278, 'lng': 109.1545722798927}, 'southwest': {'lat': -6.848970529892722, 'lng': 109.1518726201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Batam Sari,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116037137797900635796"">Al Hanif Imaduddin</a>'], 'photo_reference': 'AUGGfZk6Nm6Ih7UTM5wvBwUpZDNjdVyq6rV9PgIBi_nbPJWVQ8cuU3328Pkq0UwhzUWdUaTH-3aLASPEJ9MEDmyWVTNhcab3X8hzbUE5h_3hlXMtczj8hzJDOQnUyJYnyr9xC74sqkcD6RoofW4T34uSeWSULmLOgdy3FbDhZXJo6eq0GTQ3', 'width': 4080}]",ChIJ8fO6J-K3by4RUseMsNeEWUM,,4.4,ChIJ8fO6J-K3by4RUseMsNeEWUM,"['tourist_attraction', 'point_of_interest', 'establishment']",411,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ8fO6J-K3by4RUseMsNeEWUM
OPERATIONAL,"542W+MX6, Pantai Alam Indah,, Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121, Indonesia","{'location': {'lat': -6.8483353, 'lng': 109.147404}, 'viewport': {'northeast': {'lat': -6.846752620107278, 'lng': 109.1487516298927}, 'southwest': {'lat': -6.849452279892722, 'lng': 109.1460519701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan Mangrove Pantai Alam Indah Tegal,"[{'height': 958, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100216549617936602105"">A Google User</a>'], 'photo_reference': 'AUGGfZlOADxU7-8kFmjUVFdF_uMLDdc3oLOJctH48j7Xke6yv4JmbY7DVYR4vTwbAoSytdWWynxhTC_lOgK3lJ_SU3BwSc4ddHnuk80Je6prWKZCMgn-Y2fAFicpMBBLCMRwpGlhQ8Oyy0SBUTSF4CTXj_GKaWvfC1HZWi1raCHaNPsoSteB', 'width': 1280}]",ChIJh5vgxpi3by4RWznJa2vmk-k,,4.3,ChIJh5vgxpi3by4RWznJa2vmk-k,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",2408,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJh5vgxpi3by4RWznJa2vmk-k
OPERATIONAL,"542R+X5J, Mintaragen, Tegal Timur, Tegal City, Central Java 52121, Indonesia","{'location': {'lat': -6.847543399999999, 'lng': 109.140383}, 'viewport': {'northeast': {'lat': -6.846218820107278, 'lng': 109.1417285298927}, 'southwest': {'lat': -6.848918479892722, 'lng': 109.1390288701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Obyek wisata Pantai Alam Indah (PAI),"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108304161887684437539"">Lia Nur Aini</a>'], 'photo_reference': 'AUGGfZmmrQ40eLZp_mv3IS_4pvcAgiW5lAn0nm-WosLAJxaAenq-2b064K5af_Lk6kKM5-tEcD9AtfPvNc2-9IiHxlAUUVyJs-_qM_do70ysYVGeeH-i_Vr4eclTl_vELopJGoEW2qn1clZCVmjX4XUeWiSA5xLSR0-SLGEGcPkpXmaPBTqs', 'width': 3264}]",ChIJwzv2kzW3by4RmOxWiJ8pw4Q,,4.2,ChIJwzv2kzW3by4RmOxWiJ8pw4Q,"['tourist_attraction', 'point_of_interest', 'establishment']",207,,https://www.google.com/maps/place/?q=place_id:ChIJwzv2kzW3by4RmOxWiJ8pw4Q
OPERATIONAL,"Jl. KH. Ahmad Dahlan No.1, Mangkukusuman, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52131, Indonesia","{'location': {'lat': -6.8673413, 'lng': 109.1415199}, 'viewport': {'northeast': {'lat': -6.865997670107277, 'lng': 109.1428384798927}, 'southwest': {'lat': -6.868697329892721, 'lng': 109.1401388201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TUGU PANCASILA KOTA TEGAL.,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108099435792571586612"">Kawi Boedisetio</a>'], 'photo_reference': 'AUGGfZmuUIrtSv_fZKM7t7cbMZLaphXtH76-UW2jH_pd4mIo68MOB-PoCKkQCn8do6wlhQ67XklJ0k4kbCxJbMJYmhanuvzlMz1cXhWODmw-Ww5lQDD8xRrD1zpHkrnNEOeHN8rGwNeFG39CU5ASfWVj8rrAnyYeicqJ4WxgYr0SXsFbcVYr', 'width': 6000}]",ChIJCTbOTJq3by4RduUQjUOImW0,"{'compound_code': '44MR+3J Mangkukusuman, Tegal City, Central Java, Indonesia', 'global_code': '6P5F44MR+3J'}",4.7,ChIJCTbOTJq3by4RduUQjUOImW0,"['tourist_attraction', 'point_of_interest', 'establishment']",14,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJCTbOTJq3by4RduUQjUOImW0
OPERATIONAL,"5523+X84, Panggung, Tegal Timur, Tegal City, Central Java, Indonesia","{'location': {'lat': -6.8476011, 'lng': 109.1533236}, 'viewport': {'northeast': {'lat': -6.846234070107278, 'lng': 109.1546664798927}, 'southwest': {'lat': -6.848933729892722, 'lng': 109.1519668201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai KOMODO,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103333316337013295848"">Ibnu Abas</a>'], 'photo_reference': 'AUGGfZl0pKV0PFqHwiFrXanbT4LQt0ewcT9cyHFrYIvI5aQOOxPZzmxUf8zyk7wB3DDOmJXDlFKuLAumr_VRcWen2SyQNK5raj9bJ2LxYviOl_oydNYi2wiem7kmmkY6aj5bOhmRPmH0yppIE1eDe_nM6dApvW7R7alIz8LXNuqlxNJMpipU', 'width': 1920}]",ChIJqXKq_rS3by4R113Fmk83ywM,,4.4,ChIJqXKq_rS3by4R113Fmk83ywM,"['tourist_attraction', 'point_of_interest', 'establishment']",125,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJqXKq_rS3by4R113Fmk83ywM
OPERATIONAL,"44MR+62R, Panggung, Tegal Timur, Tegal City, Central Java 52122, Indonesia","{'location': {'lat': -6.8668385, 'lng': 109.1400339}, 'viewport': {'northeast': {'lat': -6.865335220107278, 'lng': 109.1413403798927}, 'southwest': {'lat': -6.868034879892722, 'lng': 109.1386407201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ned-indië Water Toren bij Têgal Regentie,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107781304469501751368"">Yazta Bintara</a>'], 'photo_reference': 'AUGGfZlxjrE9YP5QfGyIeZW7WXkyAQCB2ChAebPu3RbeVntzbklsxCE85z92jMGpOD6GrkOV7xf99mgpWzZNinMV-WT-iAYtcZUZDtJYBAXaxwTUB-c4XcuLM1zPF99I_OrxDa5zoQ5aAqhHyswlsdfsLCPQNNOJF4nUUQqT_Edqp2r6EibT', 'width': 3456}]",ChIJORsT-n-3by4RpSg4bisz5u8,,4.5,ChIJORsT-n-3by4RpSg4bisz5u8,"['tourist_attraction', 'point_of_interest', 'establishment']",182,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJORsT-n-3by4RpSg4bisz5u8
OPERATIONAL,"5525+8M9, Ketiwon, Panggung, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52122, Indonesia","{'location': {'lat': -6.8493992, 'lng': 109.1601298}, 'viewport': {'northeast': {'lat': -6.847779870107277, 'lng': 109.1617403798927}, 'southwest': {'lat': -6.850479529892721, 'lng': 109.1590407201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot mancing galangan kapal ketiwon lor,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101676248790134864908"">Adang Albantani</a>'], 'photo_reference': 'AUGGfZkyI7w0Q8HbsAuZmXuIlDmEvEZi0CqD5KD28boVUm0NMnotuZ11n4kMZOum356FfHGplCCo2zm28Lrp0GzR3vLCiUa8W_fNDg786ji0XwgXIEADatDgQvb_Ope4a-4SfUN1ZK2HhDNDzFH9-ytZwDL9swXVCepj48nLJCXQP2g35jov', 'width': 4000}]",ChIJ40bN1WS3by4RQEZEZiwL6Kc,,0.0,ChIJ40bN1WS3by4RQEZEZiwL6Kc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ40bN1WS3by4RQEZEZiwL6Kc
OPERATIONAL,"542R+4HP, Jl. Jawa, Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121, Indonesia","{'location': {'lat': -6.8496662, 'lng': 109.1414505}, 'viewport': {'northeast': {'lat': -6.848315920107277, 'lng': 109.1428033298927}, 'southwest': {'lat': -6.851015579892721, 'lng': 109.1401036701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GERBANG PAI GRATIS,,ChIJOXccW6C3by4RVMYIL0PfzdQ,,5.0,ChIJOXccW6C3by4RVMYIL0PfzdQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJOXccW6C3by4RVMYIL0PfzdQ
