formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng
"G5FG+H7, Kuap, Pemayung, Batang Hari Regency, Jambi, Indonesia",Lokasi batubara,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110927916525117151947"">rahmad suwiran</a>'], 'photo_reference': 'AUGGfZmy-8hdXDfdtGpPRe871oP-LfPyctCCk-rxIhnHJ_zgNlwdYMMe1mXErf2GIpJXPu84_zwkqRuy-ERCisrZ4F46bvg45Gjpm_1M8zI3lFJVr2qSwvj4gkt_jwBtfz1Pq-UKYYIRqkVZPYJFgbNGeTvM1f6TcCan6bOcDQhG5SMUjD4T', 'width': 1080}]",ChIJpxJWBwhBLy4RcXDTZyOOUco,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-1.4761083,103.1756633
"6535+JV, Ampelu Mudo, Muara Tembesi, Batang Hari Regency, Jambi, Indonesia",kebun darat tenam,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102769729681906387742"">joni se</a>'], 'photo_reference': 'AUGGfZm5eaJcgq5aE7fB2it-_acQVndlsEW3RCGSQkcmHkbctZ3vA9AoqulMd84C6Svp8hxIbc3Yb4nBbiF04RbOmewbNbqWQiCjGQ6RxCvDjcD4VWC0M9m8X1kQU2YE2HZpiZtmWw687RmAJglyr4K82cr2XwQwpj_VgRKcc0txL7aKaJwf', 'width': 3000}]",ChIJ2zlik_yhLy4RS-0ZgCMC_3I,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,-1.795879,103.1596795
"3PM7+8CQ, Batu Sawar, Maro Sebo Ulu, Batang Hari Regency, Jambi 36654, Indonesia",Bukit Duabelas National Park,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115896211259318411211"">juwanda enta swara</a>'], 'photo_reference': 'AUGGfZkqFAu4s5N35fHq3IF9hWvLfvBH3FG6IGwyncs7EfPRzlcMBY3nBgIxZvAWF93kC5G-9cX5t0-rcVbwDENGjetkANhczNw47DH96mUOGGfVAgs5EiB3avJvDE2RtyrPmNaFE-MGGlhFQGfpSieAco-dMSbtSoTy4HzZQDPS9WEo3KRm', 'width': 4160}]",ChIJme9CoCBSLi4RI3SjUEW1BKU,4.3,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",56.0,-1.91667,102.71361
"Bukit Harapan, Mersam, Batang Hari Regency, Jambi 36654, Indonesia",Balong Aki Suryana,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107634297898643428069"">A Google User</a>'], 'photo_reference': 'AUGGfZmo4449_yBGV7hQx7GZvpmXWB0PSa2n5rzjxjzCfYnR4XhWLsAl89SEi7p50Fpcr-r_l2x88QZM_FCTpCB4dhd-ZiRafIAv1oxI_48dTLFc2NHXw0u9dXq0B_Lw3IwnmISwES2-1PeIaDrZhhTeLax_wGJMNgJSSw_AuktZAETFso1h', 'width': 4624}]",ChIJcTaXXeUbLy4ROpUNX-uUFgw,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-1.5761582,102.9636291
"C7H4+6W, Kuap, Pemayung, Batang Hari Regency, Jambi 36657, Indonesia",Bukit koral,,ChIJLy3to3FtLy4RRvktsQf47yo,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-1.571898,103.257283
"3X36+GH, Jelutih, Batin XXIV, Batang Hari Regency, Jambi, Indonesia",Keramat Teluk,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107092005049309882025"">A Google User</a>'], 'photo_reference': 'AUGGfZnxh8RD2LJzKbOHdaAYSe11tg3ftz6K8dFJqNJwddtCfOXkw8HU1qTDfD9Nfzrfyro9uU-qB2wStIQLQD9OkN38Wiq_Q3Mx5gedHkulev0PDyiA_6FYHW3WfMUJKzHhm-S8ex4YKM_lBhJxvQepZA5AKRj-DAbUVLSvzwbb9qgcd_oJ', 'width': 3024}]",ChIJDdVGFW2xLy4R__MCXSjIpsM,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-1.946146,102.9613902
"79P2+46F, Batin, Bajubang, Batang Hari Regency, Jambi 36611, Indonesia",Danau Biru,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112850114436637739981"">A Google User</a>'], 'photo_reference': 'AUGGfZkkfP0KJ0W2BXB-k4vgnUWQe4JyFIBOQ47dxreemf7q6HpThftgHIh5hxtX31DHdvzGt4GvK6ceiqnyjw582luDtt_QzPigS20Qj-NXoHeCz-3oCuDeyUOaVw3vqECkdEiQYiG76W9I3K8m50cogIxxETbc_qLTU_rx20yoj5dC4Mk5', 'width': 4608}]",ChIJbxK3o8N3Ly4RMSFIzgQHyoU,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-1.7146937,103.3505318
"74CQ+F25, Kampung Baru, Muara Tembesi, Batang Hari Regency, Jambi 36653, Indonesia",Kolam Pemancingan & Lesehan KAI,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117967795237536874320"">A Google User</a>'], 'photo_reference': 'AUGGfZn7bKivmqZbyLVrmYettyFKNPLzFiu49lpC3x6JxueN4LiDJse4ncdK2bSVYwPjJDekPA8jvUANv1Juwng7VK8Fxnxr_wUxeb4Gl_c1ZbuTqq9CXJtZEF7IA0g0dRUpyZuKyjcwTy9I7PGIBytOK2bTI-_jRIiRW0Az2KVfjpmyF52d', 'width': 4000}]",ChIJqe3n1eILLy4RkdhweLmUq-0,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-1.72919,103.137649
"C76G+X2V, Unnamed Road, Kuap, Kec. Pemayung, Kabupaten Batang Hari, Jambi 36657, Indonesia",Bukit Benteng,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113495469885620311559"">A Google User</a>'], 'photo_reference': 'AUGGfZnXpOz6jmjVkjQqwRazyAhyNlcPkNjpzyO2eWWK0wzSco2GLa1jQ6DiWNKXV7P2QcbpHtZD2CWUjP14c7TNT8uLp7euywf5BkIUPvwD-C7acrP08US4lCM6FF5xGw5ufupOQnX0MhFF0C68R1kg96-moCOw5eEitG5yL0039bmiOoZL', 'width': 3120}]",ChIJL5LX-RtvLy4R0cniWn5yDME,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-1.5875057,103.2750517
"7977+3H9, Batin, Bajubang, Batang Hari Regency, Jambi 36611, Indonesia",Pondok Salakta,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102940600085488419779"">Warman Purba</a>'], 'photo_reference': 'AUGGfZnADewBN_lgeu2vxUA733mhtibF1w9p-Hjhadfg7hJ9IKttjZyWrTXg19JGUNP0YPZWeA2O_NY45Zq1x9_HH8f5cPDq3RzzzCfzgOMGYM7DPDVyFAUwCPiVsirrmaRh7aTH7Hb6Ag116MK9CLL7xf20-ZuhNriOdqQB25oKZzQ3n1qO', 'width': 4000}]",ChIJc-em4It5Ly4RkIPABFgROSQ,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-1.7373411,103.3639975
"84CQ+5QF city, Ps. Terusan, Kec. Muara Bulian, Kabupaten Batang Hari, Jambi, Indonesia",Istana Wak cil,,ChIJyTvvlwMNLy4RN25om5iV4gc,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-1.6795591,103.139435
"973G+HVJ, Aro, Muara Bulian, Batang Hari Regency, Jambi 36611, Indonesia",Tugu Ikan Nila,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116306505066792615149"">A Google User</a>'], 'photo_reference': 'AUGGfZnHHdUuvn-IzVhEynAEqqjGA0j5q3XuFglssjahMMyOxFtrV3T2I2k6PoQ7x2M8EI8zfVB8MY6iHMmLwlJRcju--rWTVAi7Tedg366Fate-FccEesa56xLg3lWEy8iR-yS_HWOH4kNNhiTEh_-jEu3ZLMi9hmls6mspa2rRch8W0Cbx', 'width': 1600}]",ChIJd-YvEqhxLy4RjvWfYpviGQI,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-1.644927,103.2776843
"Jangga, Batin XXIV, Batang Hari Regency, Jambi 36656, Indonesia",Desa Jangga Aur,"[{'height': 1714, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111088306302546698561"">A Google User</a>'], 'photo_reference': 'AUGGfZm-a5uwItZs-9OdjcPDS3busyhq4ldOUlFlfwOro_5ZAYcXRJ_kGmhvfW4s2Y0veQmn6VySiKWLXJLOwLZ5ChKdQJNxjDi_d9aFqcwfAsdzZBNW_Df3PvwWQzI8E56rHHpl66OUgJ-0PatOCwEmxATT_LCE0zw5fQOyjKcIa_GGCbs1', 'width': 4096}]",ChIJBT_vDqijLy4RrIsNVgha6TM,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,-1.8821239,103.0892128
"W95X+C74, Bungku, Bajubang, Batang Hari Regency, Jambi, Indonesia",Kebun ujang,,ChIJ1-Rag7rzLy4RAeCgRxT-JBc,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-2.0914757,103.398203
"77H5+3G, Muara Bulian, Batang Hari Regency, Jambi, Indonesia",Letang Lake,,ChIJTw7op-d1Ly4RKREf4-aWrm0,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-1.7220347,103.2582929
"52MX+934, Simpang Karmeo, Batin XXIV, Batang Hari Regency, Jambi, Indonesia",DAM Simpang Karmio,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100139538506028220437"">bajing loncat pratama.</a>'], 'photo_reference': 'AUGGfZkgSLQJ5u7MD5Veht4vGKi1cWx8hFZSi_lTqPyA2bAzgIGQQz84_Imj1TFHv0Itdpc8Mz7ABjjqh7EsW1jZgvN4qd98LIe5XEwYIQwFZPHuv4_XvDcPQ8y79x8wQo_tWNJNQI5rEvrIxU__PCwK3FpUdbIW0f4yP3imyOVt0FuGRfp2', 'width': 4000}]",ChIJs_mBO5ynLy4RXmeoQlMBp0I,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-1.8166209,103.0476889
"F55G+PM4, Karya Mukti, Maro Sebo Ilir, Batang Hari Regency, Jambi 36657, Indonesia",Danau kembang,,ChIJRZXyMyBrLy4RvftasDb8gf4,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-1.5418832,103.1768399
