formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng
"5PM4+R67, Waemputang, Poleang Selatan, Bombana Regency, South East Sulawesi 93773, Indonesia",Bukit Teletubbies,"[{'height': 708, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108862076113400282635"">A Google User</a>'], 'photo_reference': 'AUGGfZkrm49aR9141PLAA0xWv1Iv9dNyGBQwPLj5_vQptGK8wkINToXR4mE3OgD9gCm0VM37MMNENrzdgwVbOizkjLBeMrMrVCHfmk-Sdp2_y06p01E2iKdXrj94oUN7_vgBZ62cQth_yV0vb0na_e6AGS7l3mJxDd9eU_mh19757SIfsoPd', 'width': 1080}]",ChIJozOReV_Uoi0RR2j2C4YDXMI,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",103.0,-4.8154745,121.7055532
"8F4R+PQ3, Ranokomea, Poleang Barat, Bombana Regency, South East Sulawesi 93772, Indonesia",Pantai Pulau Kondo,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108395691812645819797"">Putra Cendana</a>'], 'photo_reference': 'AUGGfZndlTXtHpbeiU9PKGb9z3XHfJiRgsCOrtmFLA8YCPE8uFka_tBxiQVL9x2BBnIuuLpjwVZMxGVYwbyMndMswYXBSegL_kKpP0k-JFcokis9Li1egqQ1S7VlkW51wJyuMw-PVr5P4DaLAlxhtzmzyujQWhPQVvF0hXS5YSzje2Eo-x5x', 'width': 4000}]",ChIJlxmW5-AwvS0RUZgb5n4koFs,3.8,"['tourist_attraction', 'point_of_interest', 'establishment']",70.0,-4.6932468,121.4919253
"PWGC+RXR, Tangkeno, Kabaena Tengah, Bombana Regency, South East Sulawesi 93781, Indonesia",Gerbang Desa Wisata Tangkeno,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116640302685240984736"">Malik Hadinata</a>'], 'photo_reference': 'AUGGfZlLV0tDEil1qnhh7K4d2dfWFUpBDgBEy0ahGu4LQTfxfpfIrMNnvbvsFhtOXsMgjPwxq3xpft5q1VNCFRG6mQ5it25XDHHdicC0sFruoMosZ0uP-1GwlhFr0LfcKp0ZCGif93-V7PZ0jZfymys_oMHzWxC1zKjbmWsqKcnDx9fSwePL', 'width': 720}]",ChIJ______tCoy0Rs0eeQ8sM1P8,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",18.0,-5.272876999999999,121.9223998
"8F2R+P4, Ranokomea, Bombana Regency, South East Sulawesi, Indonesia",Mokondo dive spot,,ChIJuSRo-5oxvS0RSL1zVNuUJ0U,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-4.6981906,121.4902832
"9XQ7+6FH, Watu-Watu, Lantari Jaya, Bombana Regency, South East Sulawesi, Indonesia",Bombana,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106705684798770746994"">Tedong Borneo</a>'], 'photo_reference': 'AUGGfZnp269OWyfflPRqgj1wBefrWnuFR9IpRXPcYqD7kmRCV1dZs7F_rxBNaytCsOJL2uIsUAb4EPW_iniDhP1LsPjtHRufyw1QDemDAAq9njIUv9seeJJH9HMCxQDJrDAmeiggOuikDaWKgoBVt_aqvcyBUkHBbajnTtxnTcsEn6XM6z9-', 'width': 2608}]",ChIJh5Q0x3fBoi0R7o9kwONmTn0,4.1,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0,-4.6119286,121.9637387
"8FPH+67H, Jl. Poros, Ranokomea, Kec. Poleang Bar., Kabupaten Bombana, Sulawesi Tenggara 93772, Indonesia",DANAU LAPONU-PONU,"[{'height': 368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102921229472834740327"">A Google User</a>'], 'photo_reference': 'AUGGfZk53XiaBct7qPZoc3zhwvfJhfxrQliaN7dqLIGqjL52Y0Us4381N7345FxNj4Ly_zTA_Yh6Q2u2UpneRAefwnsmx5poju1JpkO2etur7CBSrmxA9XGK2SjIk7NgFTlU0FSTl5cHsaXOHHjP6y8qXhts2L_KiEMpxqEm3NEA8YsLSrMI', 'width': 552}]",ChIJZ2yjGqw3vS0RUgBPweG254E,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",30.0,-4.6644473,121.4782498
"WVVW+5CR, Unnamed Road, Mapila, Kabaena Utara, Kabupaten Bombana, Sulawesi Tenggara 93781, Indonesia",Tanjung Pising,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104833665829948312475"">Fisar Yusriani</a>'], 'photo_reference': 'AUGGfZkkRo7VRlcAKVE_ZEIxfJBga_5WXLHPSBSI4g4dq4XqF9hTMR1FylBO1QeHiOECotOETiLnxcjcKNY-L6Z01S4gVQQpl7AQHTpg_NpEdy4yqjsMIOn6qpO173boqaNrfnYQdJW66ZBnB0m2jPJ_RRKsy3C3aeiy9EFDwjV2Eg719bis', 'width': 1280}]",ChIJG8r1Gks7oy0RpHtGJ_E2B7I,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,-5.0570236,121.8960115
"7PC4+RPV, Tampawulu, Poleang Utara, Bombana Regency, South East Sulawesi 93773, Indonesia",Bendungan Tampabulu,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110584252187445540796"">Arif Hukmi</a>'], 'photo_reference': 'AUGGfZkcEPjEzsItgNEcYpxWjZrVdTq0QUx05st-oT39jAYN8esk338rfd6aaH7MEeUCu5qg6MI35fVmriUSQev5uJaZ-j-bpMAIk2SYX3APdh7uhJz6iypOJrE9vYFgT6qnyPayR-aCKOp2Xbp2fpvi-CrxI4ZtoM1jnRtZ_cP1LhSqimtK', 'width': 3264}]",ChIJTZVKFfDNoi0RKK8rH8uhsBs,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",26.0,-4.7278955,121.7068038
"PRGW+4JR, Teomokole, Kabaena, Bombana Regency, South East Sulawesi 93781, Indonesia",Lovi mentaa,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113344252212522975118"">Naim Mudin</a>'], 'photo_reference': 'AUGGfZmo_x0ndyVqXzz9EGv3ifw0-iPIg_2QoM-9c7L2E4OVC3_nBIwZe5-Iqk-Ib-noCr5ApwJYk0ASuf33doa0ZA36i7SazbkEQD_qAARW0wYsjqbOkMjLLH3c9-oq7QFqzvKzCWDVK5YXcwOFYH2ax3pMAFIHA0aOFog_0shgFeduM6St', 'width': 4608}]",ChIJQ-1lJV9Foy0RiEh7Qmjevuw,3.8,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,-5.2746295,121.846511
"92M3+W4, Anugerah, Lantari Jaya, Bombana Regency, South East Sulawesi 93774, Indonesia",Water bom (Tom bung putra tunggal),"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111662786223200809784"">Pei Lin</a>'], 'photo_reference': 'AUGGfZnZhILrAFoHqit2M3OmLfk4q5q-aJP8AcWzrQuij8QVL5Vgi1dLjly5E27I1s7D6dClPcCtEqIybaUng0gBoDZc8HaHxmvjTW6GJKT5V2zsfYE9ZqX4Tg6waFRDVxRiUvjLcJzrmNufB7XWZURWjpRnYE5qquuEGIIRxfaPZZGGmEX8', 'width': 4624}]",ChIJPaheHMXroi0RD2KkpezBa6E,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",12.0,-4.6155443,122.0029444
