formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"4Q28+47M, Malar, Binakal, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur, Indonesia",Sunrise Point Binakal,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116304049327940412471"">Agil 2402303</a>'], 'photo_reference': 'AUGGfZl6IxN--iNQGeY82RcHqJuUCCp0lsBqAY4_Ea0M2kUaG-xI7DiwW4L4QYbVChfrDtjDIHgQMwIQGU1QbPg8K5QzKBuMivukbR8x__6aawkI71kFOovPW95-9Sr-wjEu2Wc7ldPJ704AowBeNoYTFrEAKIgfL0ef0cS01JHdGmcOBUwE', 'width': 3000}]",ChIJtUoKmezd1i0R4Tb3gUPQ8zA,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-7.899661399999999,113.7656851,0,0,0,0,0
"3M8W+CC7, Hutan, Andungsari, Kec. Pakem, Kabupaten Bondowoso, Jawa Timur 68253, Indonesia",Twin Falls Tancak,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107122097727111941067"">Short Story Project</a>'], 'photo_reference': 'AUGGfZm5hq2mH9otvGQfFNMs91gopR5pQs6URo2etRBrTc8Kq8D8znF2GdR8bQRDPBhcIACeM-w9sH6-IaOGj92vqzL7T4yJc86gEwE5nMxe1T9UhETFJY_56oyG4cufvBFJ_vr4t_b71Td1ZKS_eSNOiOkbWh3D9hzebmfLAzs9y80lOU4E', 'width': 2448}]",ChIJzxaj3yPm1i0RhSzcIMc8Q4c,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",217.0,-7.933971000000001,113.696057,0,0,0,0,0
"3M8X+3MR, Gunung, Sumber Waru, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur 68253, Indonesia",Air Terjun Badroes,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108724977269802249944"">Nanda Setiawan</a>'], 'photo_reference': 'AUGGfZnMguudv3KhdQ-9QTS6bS7jQVFuHk1nxuLfcECBfXwixrMqSUc5S8CG9YPmcqJOnZmNaihNz6ZdZPlHTzj3zSavd0Va3mA7EmVnsA8aKhNscTMKLr4uXkN7VFXTy4d9KknvFEXxVPazhxz8xO3ebgCINr2jlMyweSlPQgceGKyZgUeV', 'width': 3456}]",ChIJOXssoibm1i0RQFlGjs4cQ0I,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-7.934758999999999,113.6991442,0,0,0,0,0
"3P32+38R, Gunung, Sumber Waru, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur 68251, Indonesia",Air Terjun Damar Wulan,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103975263434681563636"">Wahyu Onez</a>'], 'photo_reference': 'AUGGfZlm-PNi_zv5v0fSvNNShagEAjveWrnCjWyes-OY3T5lV5j0cB-TEv1oLy3KLl1_MKCHOiyw_E498CbQ0R4Zl0U5AaxfnFFeTy85s-ONO7_Lgl3b1D35FBZ0FHxxG2P8k0xXQ8lPNoUBgqltKtyOTJfdjtAidEcF5uZhxOzxnq79dD4N', 'width': 3264}]",ChIJfbv9VZro1i0RFyl2rTa0heU,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",11.0,-7.947271,113.700773,0,0,0,0,0
"3PQR+7H4, Area Gn., Gadingsari, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur 68251, Indonesia",Air Terjun Waru,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110986266337015558746"">nizar susiawan</a>'], 'photo_reference': 'AUGGfZk-UaRr6NFDW8cUe3yN63hAXhcagchdGmQ02fli4ahY3ALQ0M5izJMVvZzR74fsg01p861WzJax7t1wuFhL3c4KFUYoqFwjyxs3of_G5r3BzGzMoICFQtl-ZrVglKfK9BkPZpZQ4s9SlTjBdOLGuYSy5-qEc3OjFdMSzQX21xK9CpyW', 'width': 2304}]",ChIJ7RUZ2ZXn1i0R2K6YCLnjwsk,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,-7.911853100000001,113.7414511,0,0,0,0,0
"3MCW+GJ5, Hutan, Andungsari, Kec. Pakem, Kabupaten Bondowoso, Jawa Timur 68253, Indonesia",Air Terjun Tancak Jomblo,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106919189403631880757"">taufik chandra</a>'], 'photo_reference': 'AUGGfZlQ2AJvrs5hxQDFa-ObHFfNkNqXf2B2G0tsrmHJKNK_OfiDwwWhP1GC_RkfCpcKb7hY5lhwPt6zU48K8MFgudLdImDgleueU5VQom3OhCWv_htYyi8Nl618sX3HFP5jC7llTJeJDhaw8ZHc6QGKBX9p9i6RsTy3HsMVpqTNS5hIDqDh', 'width': 2448}]",ChIJKwAKuTzm1i0R80R7JH8K07U,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0,-7.9287289,113.6965971,0,0,0,0,0
"3M9X+XF8, Hutan, Andungsari, Kec. Pakem, Kabupaten Bondowoso, Jawa Timur 68253, Indonesia",Air Terjun Anak Tancak 2,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108724977269802249944"">Nanda Setiawan</a>'], 'photo_reference': 'AUGGfZlWMtkaXNqXrZHcOs6XieGS8EaJGcf3LuUXzdpuEIgrXr4yAIOFhi3HtVL9rzzsvhsG8M08VNztoPy2APqF-x_SC---Vj2a3UfXFRH6j9ABfMpGhH_pp0ODJad7pTCnTwOvPtjFHND7i9HWCeJnSSQoBC7V5PXpie2-Vg7acFMu_p9a', 'width': 3456}]",ChIJ9-SRuiTm1i0RDoGa6sh9-l4,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-7.9300805,113.6987104,0,0,0,0,0
"3M9W+GM3, Hutan, Andungsari, Kec. Pakem, Kabupaten Bondowoso, Jawa Timur 68253, Indonesia",Air Terjun Anak Tancak 1,"[{'height': 1716, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108724977269802249944"">Nanda Setiawan</a>'], 'photo_reference': 'AUGGfZmUIVVEQT9k9fyCT7DeYzO889fKyZXe-iHhnMTMv7GlQKC159LioECYjHeTz1iEFUfplMCb7DTTISf9SGjFs7ft3hCdxL1mDcJ50weO9rplbCQprfQ2je6XaarzP-jDagpRUs29Fjs3tKQK5_ZnD_xXL6ozi_fQLYo8vPpbmQx0ctpX', 'width': 1080}]",ChIJ7fQybCPm1i0RfDmsJ87Mp-U,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-7.931244,113.6966605,0,0,0,0,0
"4PCC+VWW, Pinang Atap I, Gadingsari, Kec. Pakem, Kabupaten Bondowoso, Jawa Timur 68253, Indonesia",Dam Blimbing,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116433332969807051263"">Silhouette INDO6</a>'], 'photo_reference': 'AUGGfZk9mkAVjNkZCmn5NLVHA-sOYpUCtmfRfl4Yv92XUldj74bGZPuWYlqEphfCYzZ1riB228WcWWpVQlOJ8J6JRxoi1VwLEIXqni4Y1vhPJFUdy1v1AjNWI8str8Iexw18pOYOUsgYcPym1OJtZajQxOWhzxnKrHw-AJJi-1mJiTr4mqcO', 'width': 4608}]",ChIJe9QDpBjn1i0RYXO9kbLafS8,4.1,"['tourist_attraction', 'point_of_interest', 'establishment']",10.0,-7.877762799999999,113.722342,0,0,0,0,0
"4RM9+9G8, Krajan, Klabang Agung, Kec. Tegalampel, Kabupaten Bondowoso, Jawa Timur 68291, Indonesia",DAM GUBRI,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112016168893185049866"">mmuhsinun</a>'], 'photo_reference': 'AUGGfZm265WNl8K5RoCr5xWCR_wm7VGvlhQ9CaiCqwBmsUsVpMNDL_smsBAemeWjsUaf5yod6Ax371Jo4nLCcx6weAtp_5EuIoxuAxT_bNuSlnlxYYaheVje9aQ55ulWxuDMG98DIAX8sUxwJYQmH1iagSsdqCP1vlwMbPBzg0e5hzavEUhi', 'width': 4608}]",ChIJ7xMk_87d1i0ReSCjUdfm0-Y,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",14.0,-7.8665765,113.8188214,0,0,0,0,0
