formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"Bontobaddo, Kalebarembeng, Kec. Bontonompo, Kabupaten Gowa, Sulawesi Selatan 92153, Indonesia",TAMAN WISATA BUMDES BERKAH BERSAMA,ChIJqb_Yhikhvy0RpLjwZb-WHuM,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",11.0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107216722276650274715"">Syaiful Asa</a>'], 'photo_reference': 'AUGGfZmwxuRH4EfNhG5FyZW1OGE8RcwbpwK0D_MvixeoACZqP4DcWQ50nQ4HQZmmxasQtnfiAaPabbKBA5vGEWw5MLD8_we3VD8NG8kG7P-CS3KWDqd9lQbgG_Wtnr0zqsTG8PaShPhdLxJdhpPUFat91SyqEGx3-CJlDhMXjVbLS-Nr7Qf_', 'width': 1080}]",-5.3422328,119.4132513,0,0,1,0,0
"MC5P+22H, Tamallayang, Bontonompo, Gowa Regency, South Sulawesi 92153, Indonesia",Kebun Denassa (Denassa Botanical Garden),ChIJNcuvJAHfvi0RfzDmrzLzQOA,4.9,"['tourist_attraction', 'point_of_interest', 'establishment']",450.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103933576610878771819"">A Google User</a>'], 'photo_reference': 'AUGGfZlfOV89_4pU77WXSekAY3q1s9xxkk3ZNwnjNGTDU6GfiApQV8LbxUFTGx7jyHuWq3nYZEhubg5zY8074arFUntl0ZU7zHI7ZAIqtwSPUSN0nMiSyd9crWQBx97YUw5WRxta3O4mEvsDhLqgmZYgwZJs_yiAoHPIh0YazJZBDQEUn_ni', 'width': 4032}]",-5.3424407,119.4351134,0,0,0,0,1
"MC3R+C8F, Jl. Borongtala, Tamallayang, Kec. Bontonompo, Kabupaten Gowa, Sulawesi Selatan 92153, Indonesia",Kampung Literasi Borongtala,ChIJpbWLeUDfvi0RYRt6Z7YCTnw,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",78.0,"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110755431502015459043"">A Google User</a>'], 'photo_reference': 'AUGGfZmhfnDtCCNb-mdB2A8calISZ6oIPdTW9LoaSY5HCvYjGkHCor5UGx16ognBdM-t_Bhs2w5baWW3zvm__4qW7qrXaX3rBxZhcNFggwZFCzwxfYCczv6BoLjAoUzFXmSzUrlyOF5gtKDf8jUo-be9ix1R9S5Hw365GkjosbIM6kWTlt9u', 'width': 1932}]",-5.3464394,119.440797,0,0,0,0,0
"Jenetallasa, Pallangga, Gowa Regency, South Sulawesi 90224, Indonesia",SAUNG REWAKO,ChIJ3ShapILhvi0ReiF2kmWHdzA,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",208.0,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101393350731796568249"">101393350731796568249</a>'], 'photo_reference': 'AUGGfZloPZWLeVSuMDJFM7uZvgt20PIkypDwSeNye4YIk5nS0EI7JCE5zPfeUGY1sFSZ_1LJttut5TwwKUSl912NiyndrjYSwG6-akUbUybS64PcmXoZ3sm-NDYOVUsSHSgkMirjt_JZWIJrW8l9erLjuqXX4BaAW2ySmjAGpDKIQjJQ3_jN', 'width': 4624}]",-5.2229215,119.4394438,0,0,0,0,0
"Jl. Dato Ripanggentungang, Tamarunang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92112, Indonesia",Rainbow Garden Gowa,ChIJzSi5rm7hvi0RyCFiCGmw1T4,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",360.0,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105751896483596712750"">nur wahidah</a>'], 'photo_reference': 'AUGGfZnJFV4ORvEGmBUhsYlfnWiPTCLpfYM9ZOH1mcvAmF6cI7e3bVSaeOUqDrkY1W9bfaBFb5wFkV7idROV74olSnuVzEefEw0UWJ5Ghti18t06k_SHo75zMsq_xi_Io3qdBPPWYSVKq-E-yPTew_guVoA4cnskdwrRzSWsxEAEQ8rTIt3a', 'width': 2448}]",-5.2144368,119.4758409,0,0,0,0,0
"Jl. Borongtala No.58 A, Tamallayang, Kec. Bontonompo, Kabupaten Gowa, Sulawesi Selatan 92153, Indonesia",Rumah Hijau Denassa (RHD),ChIJcUTohz_fvi0RO8LpKcUmkGE,4.8,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",566.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113596383224121626117"">Darmawan Denassa</a>'], 'photo_reference': 'AUGGfZloSPp-4sXcu7MVXm_Yc7gicv7vYMmfMgai3AimgBRdDJHQZc8YOXGo2kJcWQdzqalhhUdHBZNdmZKGWaOR8yUk0zHK-fNNNubvWVvdyPgtGUIBk4BPKtekOQU1Xjnjb1jJBZ0hFK_hzqfRNrgFTlA6aA_Tp20093YJxxPMmSsOdj63', 'width': 4160}]",-5.3465581,119.4409863,0,0,1,0,0
"PF28+HM, Maccini Baji, Bajeng, Gowa Regency, South Sulawesi, Indonesia",BALIBI FISHING PARK - Lesehan Saung Balibi,ChIJgyyLclLfvi0Rt2Kr0ipfv8c,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",22.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105604447968746585639"">Syahroel Rool</a>'], 'photo_reference': 'AUGGfZmF3x2iD25Zd6pJE416a6iyvCJqmUUU50Du27bo93ysxRT2DpE8flEyffXy6NRHFJBwzdnxZ-edFTIxcI6InwQ7JuLfhHF9zwKCq98i7mcHRRhk31a4ja1MLG66A4oi9QbQcv3TJaEdIPfRzKOr_g3B2P412YqyWWslNEGLnyZvjYUe', 'width': 4160}]",-5.298600599999999,119.4666888,0,0,1,0,0
"MFW9+X3V, Maccini Baji, Bajeng, Gowa Regency, South Sulawesi 92152, Indonesia",Masjid Cadika,ChIJXb24ZjTevi0Rydt_49S0vMk,4.4,"['mosque', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",12.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101405166526427420723"">Zainuddin Zam</a>'], 'photo_reference': 'AUGGfZntTY0uLzB3jWUKNbC41MjIC-AffBw72t2G1YUSJ0txr8yOL2ECc-9H7GaSTvNAGcP2cHeamD279yz34v_sgRo6snWKlGUNwJmLapN7J8BVQjkyKMKnZrvYbiz9NP20AN2IOFv9WXb1HJ9VFH1qWki_qmuF1tpHLTVuCo3c7Fm7za5-', 'width': 4160}]",-5.3025361,119.4677453,0,0,0,1,0
"H9M7+6QV, Salajangki, Bontonompo Selatan, Gowa Regency, South Sulawesi 92153, Indonesia",Pantai MANGNGESU Desa Salajangki,ChIJowuhlU4mvy0R6FBp-e3ecPc,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",12.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106668617880707040494"">A Google User</a>'], 'photo_reference': 'AUGGfZk3FuODxVbAsK5KFceG5jMjdEQbuBIdGBEHGKpQ_KxgNsViVqRZhM80TUqNPYViJlghGSX-WkhEtB9GCTDzvo4S7wafYYflvgZkhRv7yFmXFq2XzHgRpPc9nWriZJtj5NO3jsZjeKoQOuSO4bf9UqROWKdEo72vd6x-bXKn29k0dLVv', 'width': 3024}]",-5.4168993,119.3644307,0,1,0,0,0
"QFXW+MV5 Uin samata, Samata, Makassar, Kabupaten Gowa, Sulawesi Selatan 92113, Indonesia",Bukit Samata,ChIJ9y-rAu_jvi0R77EsNZ5ujJY,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",668.0,"[{'height': 3376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106521691569897415914"">A Google User</a>'], 'photo_reference': 'AUGGfZkMKb15wljOC-KzV7X7pyNkEg_8tTiNXSW8WOoyx26UlsXIGHO9QEQbkx0Kwp-K3LP34iEMkC3P1uybGDQRrHj3jjUb5ow4CH2At_29e-o90CaJR9RMCqcfKHznBpg9WDQWqpRkiLaQPF_j76j0lQvOzBcMZC4XMkYYvkT03l-SLFE2', 'width': 6000}]",-5.2008732,119.4972238,0,1,0,0,0
