formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng
"C45M+CW2, Hamayung, Daha Utara, South Hulu Sungai Regency, South Kalimantan 71253, Indonesia",Kalang Hadangan Daha Utara,ChIJ2b5Q5dMQ5S0RJQk3_mRU3fw,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",14.0,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102380785354760495697"">zaini zai</a>'], 'photo_reference': 'AUGGfZlFZ_kdchwJ06g7vDQbRVAN2AgbdBJhtFSPHJQdVHon71d-oARz8ZodoECiWIYG0eos9BdpXr6SGOwvhXfluyQWdZ2gCAiB6g8Ii0urRMIsLC8BQQRzyoawzDr6jyvFy7FqjdtP8xofoyvWHv89I2BkkO4WKM3YTqUop5Ijm7CIo4mc', 'width': 3328}]",-2.591478,115.134772
"G4F5+2RW, Jl. Alabio Danau Panggang, Sungai Namang, Kec. Babirik, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71454, Indonesia",Wisata Rawa Sungai Namang,ChIJzSrSGLI95S0R03NV33soyUA,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,"[{'height': 2128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117254014465890799280"">A Google User</a>'], 'photo_reference': 'AUGGfZk48Sd-hTQj6vipvdYcuOi9LYo-CNesOaE-V5Lyw6c6nTvEpbsCVbJULAbpTece835USXbtpbdsos3RDAy0fNw0j1Ee3HBdy8pghedLkGH6mSDsdMBRyvPV7OuzCoVnA8Op5VaO0Vl1HW2MSQf0knfgj5gnensA2YtepGaDmLKZz-k9', 'width': 4608}]",-2.4773275,115.1101765
"H44X+7XV, Long Kong, Danau Panggang, North Hulu Sungai Regency, South Kalimantan, Indonesia",Longkong Paunjunan,ChIJa9coVb495S0Rr9aoj7hz7CQ,4.1,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114903993810288815523"">A Google User</a>'], 'photo_reference': 'AUGGfZkTQgoGH05Mh3wdIj_ahk0HrpEbEuST1tOwEZ4W69PpF9ygaYRnJifx7OgYjFtjVLOoMjMhVVBrH_98nw4dffsesQcNoplf3_p121ePQQcy17IQzakyofrTo2DV950a7sNrt8ZcBSsVqcW7QxIXv3zxm1DlCV3sqHd_-_Ld3HHcG5zQ', 'width': 3120}]",-2.4442641,115.1499095
"H42F+7PQ, Teluk Mesjid, Danau Panggang, North Hulu Sungai Regency, South Kalimantan, Indonesia",Area Pancing ikan,ChIJM-M2SwA95S0RXE0L-_GegGI,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,-2.4492847,115.1243526
"H8R7+8RG, Banjang, North Hulu Sungai Regency, South Kalimantan 71661, Indonesia",Rumah Talipuk,ChIJ9X8TagBH5S0Rqv-NETKNosM,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 1828, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111465047983746321006"">syarifudin saja</a>'], 'photo_reference': 'AUGGfZnFbcIZaZ5RxtXidG_77ncddySaF00udYH7L0FQS71KCvv6VtFXRGGM8gFIGk3_reEnHuAfUzDR-aVvoSNgddtEdCj6j4Er7TB7D4dcfv2ydWiBOiRzh4eibu_-MneIAUw0BPOW6ODgdn3SqkxFxc2M-MsJzth1iPiVRECqWdR2ZW5B', 'width': 1080}]",-2.408915,115.314542
"H6H5+3HQ, Unnamed Road, Banyu Hirang, Kec. Amuntai Sel., Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71418, Indonesia",Rumah Terapung Banyu hirang,ChIJ62zk9oM55S0RnkwTW6GcNnQ,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",25.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110110742746239612962"">Panji Wicaksono</a>'], 'photo_reference': 'AUGGfZkkh-hGe59udZBy_Dz6IO06ItgB5_3xCYd_YnGrA7qBTEQ2PZYQk1LiOTnMIq5kgYssJKEN0yE1fe5EYWz03xXhVEuqT-kCRN9TRgj44dSPmV3wBtdQ7xp_uWXDRssM2GJHyjouyTdURHIBE-B9_7OhlAsW3w3H81mBRbS-niFUZoG4', 'width': 4000}]",-2.4223326,115.208961
"Pulantani, Haur Gading, North Hulu Sungai Regency, South Kalimantan 71471, Indonesia",DERMAGA SWARGALOKA PULANTANI,ChIJPajjuIU55S0RvgVo9Nqp2Q8,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 1472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109549907368643729953"">A Google User</a>'], 'photo_reference': 'AUGGfZnpse6zPJ7gAF7pCrTVSznKcG-2kPUEWuiH8T97xHOTW6lANWofLzEbbELZi4wcZoqVISrrxZb7XUS2pcuXD9Dh3_hrNzI91QDgu0qLa5UlakCLTVI6GoYQCDvqN9_6Id-c78QF82kH0aMnz8GRkDXVszWf2R7kvhyCs-7j_ymtIRAp', 'width': 3264}]",-2.3730708,115.2351206
"J3Q7+CC, Tampakang, Paminggir, North Hulu Sungai Regency, South Kalimantan, Indonesia",Pulau Sambujur,ChIJLwR2hSAv5S0RrfuXm7I077I,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",17.0,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100329594071617380312"">Syahrizal Anshari</a>'], 'photo_reference': 'AUGGfZlgH292v09joAbve9BHGQLHEK5gk8TKNl4F457u-kZGzch_SxTrS0D25teOiNBDLymKOeUYaMIs07EVzZnqZJ0SZn2cCttseYcxhd5H-mw0gBdJ7HJtkAXJRf_0Rc2ueCLPNDHBBzu7X9-toZZb9ns-yGJ3066Zvob00MDLI6q24_KI', 'width': 4624}]",-2.3614078,115.0635404
"C37W+JW, Pandak Daun, Daha Utara, South Hulu Sungai Regency, South Kalimantan 71253, Indonesia",Wisata Kalang Hadangan Desa Pandak Daun,ChIJk8_u1OEX5S0RsLnIFsm3fQA,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110878797582462006824"">A Google User</a>'], 'photo_reference': 'AUGGfZkBjelHRiJ7mXTVrLQvxgVXG0rTQjiMquikttNLiIHUcrCA_6x22CP-6HA34ndoYNIUrvbNhTTJN9Op1puGp_EGb-wjHsBtGUyUPVgrH8QOCAWJbzObTDSvhREXNWj8xbyQZeRXKvIGYNfMxQYJqL2vM61yqqIodAewr2NQ8n0XchZ_', 'width': 4160}]",-2.5858763,115.0973231
"J67M+MMX, Jingah Bujur, Haur Gading, North Hulu Sungai Regency, South Kalimantan 71471, Indonesia",Kapal Perang Wisata,ChIJl2rvZhM55S0RlJQWoT0YMqE,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112873204149686003884"">yusuf abinaufal</a>'], 'photo_reference': 'AUGGfZlgm3RfVgSYAseelkDcC4t-ZqvD_wHol8s1KIMC6TeyMCmbnNDTvhMkZ1bnOfQI1Vp5pBPu6UeYP3KSVZuUD4ubWZ02tbIooIYgTdE5HlxFRdksCCuy4tiCEV0s5A3sCLayysBLtwzBJQjaCyA6Rx1x6RviMNNbA0_cGBef99Hrny3M', 'width': 4000}]",-2.385868,115.2342844
