formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"W3W9+MQ3, Unnamed Road, Sillu, Kec. Fatuleu, Kabupaten Kupang, Nusa Tenggara Tim., Indonesia",Air Terjun Hono,ChIJE90hbzt1ViwRIJQcY5yQWzk,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",17.0,"[{'height': 2508, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101031100368527529724"">A Google User</a>'], 'photo_reference': 'AUGGfZleuH6RwOv5wk88KiwaiIA91JahCZjbn_EnrlvegBifAhT0cCxv-xL_V5Mx0Vr8QHpvrKp-Flf0p-Yujye1MYy2NEQA0vTgMO3DZUAIx6IbHApm3__GIub-49TN5-Y5jUvtF67Lb5oEoOQfjvQ0GpohB47790rloS-VgzsiLy3ZMzYu', 'width': 3344}]",-10.05337,124.06942,0,0,0,0,0
"Jl jurusan Bendungan, Raknamo, Kec. Amabi Oefeto, Kabupaten Kupang, Nusa Tenggara Tim., Indonesia",Bendungan Raknamo,ChIJ7zFgKmx5ViwRk02EZZnv4iA,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",92.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103547998866012685320"">Colder Xihk</a>'], 'photo_reference': 'AUGGfZmnezl5LHwpxMKdqZ9KPBGmWsVNPPWDVAROhuLNo1fXA7GLi_E_OSeag7d6vQ48XyWRQ1q1rWJX7QWcCZ79gto5wXu_GEVj41IIhRRMHyBRH04dlUUtvmzM-MQrRlXWskNN1uVaQqndRWOr9xXC6gtCioGfp28NJFMyPWZuFRBa4IqW', 'width': 3024}]",-10.1192817,123.9318357,0,0,0,0,0
"RVGP+X23, Kuanheum, Amabi Oefeto, Kupang Regency, East Nusa Tenggara, Indonesia",Objek Wisata Alam Kali Besar,ChIJr7pm73d8ViwRZv-ewMc_b8I,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",16.0,"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101856178848706036738"">Sischa Solokana</a>'], 'photo_reference': 'AUGGfZlA_ecYR1fFqwPN-KiKw9ubNwZQZLPs4Grhb0fKkAnyf2tvdlGEkVMgqzpv8e5ZYFK3HkZNwCck-NYIduIJK6G4VvcSph8fXpBmwKmOHW7EUi8F_7GJ4XocBaXt83cMv7tvyYzfySYGx8-Lu4gO-PrqIRb_fXvPkYCmMP8xVtU1vR0C', 'width': 4208}]",-10.172625,123.8850526,0,0,1,0,0
"Q3MJ+6W4, Pakubaun, Amarasi Timur, Kupang Regency, East Nusa Tenggara, Indonesia",Rium Beach,ChIJZd2sTC1zViwRH9Du1EN_t-c,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",46.0,"[{'height': 876, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109004803521364735050"">Lexy Saja</a>'], 'photo_reference': 'AUGGfZnjA0bzTUh5Aa3GyEEnym7gRMUWKhcCuSZxbAmnjNrENP-3YqG4eGIx0bFluScGUII1r02uOl3gh9FHbIQ29S_-66ND8gmi-HTf2bu235zcuaT99p-1kcwp0FBhigjxB2gdb9w11QcBYn0u6kuFImK18CJuLiUF_sQrYySswWh0G4B6', 'width': 1760}]",-10.2169882,124.082319,0,1,0,0,0
"2278+26R, Oesusu, Takari, Kupang Regency, East Nusa Tenggara, Indonesia",Taplel Oesusu Waterfall,ChIJy9iGOIXZVSwRVIh5rW1Z2Vg,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",91.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113083854103903664841"">A Google User</a>'], 'photo_reference': 'AUGGfZnFyVyQps_wFXPz2M4YABXfnzSrJMFvK8DbuFPhE1JG8AvjYxOWghOoDcGoFPWqwq2kWJws9wtLHx7YCkyoJ_pdSlILk1aaQr94hdYY_77iOZDP0u_QYgPBfvH10zKGymFqAEs4icnasVk3p9Q_BfLa5Vgoch_v6hva9HRthbTjRDds', 'width': 4608}]",-9.9873848,124.015506,0,0,0,0,0
"QV9H+885, Tesbatan, Amarasi, Kupang Regency, East Nusa Tenggara, Indonesia",Air Terjun Tesbatan Amarasi Kabupaten Kupang,ChIJq6qqqq98ViwRvG-ZMTb2NXM,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",45.0,"[{'height': 2734, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110322474044418814618"">Khoiri oke</a>'], 'photo_reference': 'AUGGfZkH_PlDIaDbMb2Z-eKuvUFkspYxyYpUEFCB2JXAmJfLioW4d2ZZKS54TGIdKI3M6VOYH7fSvUZ8MXh-DZup7ykRNQ6V5PGa1s8Ru1ymO2XnpoXVMOpBX9-TZWS3MmMinQ3dlJ2xFQh8OF95jvTzNwNXakHI20Io86zLCXkkKZ4KWnJJ', 'width': 4100}]",-10.2317392,123.8783511,0,0,0,0,0
"XW6G+VR2, Jl. Oesao - Bokong, Camplong I, Kec. Fatuleu, Kabupaten Kupang, Nusa Tenggara Tim., Indonesia",Nature Camplong,ChIJ-3HEZUzWVSwRqiTIUYBGVkM,4.1,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",496.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101908539490601979228"">rani fatma sari</a>'], 'photo_reference': 'AUGGfZmtmnC6XiSpYbecBUruYmoWYTeRpFIB8kopis6Ar06cGQwT2Y6b4HtaP_AV4HzOqrbak1H8olQOXaLQMW5kS5_7zuAHBJ7yyClTHVB3b8ht4QI_uWBncPpxS0SUYPQK5WYSvDgy_vaI2uTKHLRC0tNeWxur3UeZpnV_hErvvtu4brer', 'width': 3024}]",-10.0378564,123.9270251,0,0,1,0,0
"Buraen, Amarasi Selatan, Kupang Regency, East Nusa Tenggara, Indonesia",Fatubraon Rock,ChIJz91JpVphViwRf4qtz9mULaU,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",220.0,"[{'height': 1333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110387281822215959912"">Baktiar Sontani</a>'], 'photo_reference': 'AUGGfZl566zxQ2BT-NkSczjjqgv0RMM5sBb9Z0TUnXBUDqwlJAQ-OgupeePSewdWPpNsxQZ2TmRKwqB0JpklxU-wGrxl6tRGXBiI-2nf2jRLJVUYl6pMjUNpzqWdmvwUfyZxraVwjtlHsI080_VXZSi42Q48czG-iodu-oyfI8Di2UNvK4I2', 'width': 2000}]",-10.3090514,123.8740652,0,0,0,0,0
"XW8H+47, Camplong II, Fatuleu, Kupang Regency, East Nusa Tenggara, Indonesia",Hutan Camplong,ChIJMwGLSIrXVSwRsaK1K_uiG-o,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",10.0,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111348632312080883314"">A Google User</a>'], 'photo_reference': 'AUGGfZlX4RLEjPR7wH1EBtyusVJy7VFc4Y7E4ztLbxOGgbaqYzxv6SfnmwkOO0Df2DhyZfQvlsb57hnD9xlhFebav09_ZoSmRE-KeXiiXL45y4-AB9X7f784veAlBoAKCEYO3hPDFOjNkG7b4hE_Qvio9QGBl9zYUSv_c1r8JNCmoE_oD37V', 'width': 4160}]",-10.0346771,123.9281996,0,0,0,0,0
"MVRC+C87, Jl.lettv, Buraen, Kec. Amarasi Sel., Kabupaten Kupang, Nusa Tenggara Tim., Indonesia",Tampat Parkir wisata Fatu Braon,ChIJW7AnISFhViwRU1BR_WHnHxY,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",12.0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110141758729500192924"">A Google User</a>'], 'photo_reference': 'AUGGfZlsa2WYdjoR5i6q3aXK3-PVFcomGOqNC_kfr_kA_wGfkgEikdW0wq8qC5Z-rhPuIQkDfUt1j-RGyPh7_HCIHwtj-LMFXQjFo_b2J9OovGtfR6AOOdU_B1a74yGvCCzAWAyNyg7voX7ZKj_6Ulmkc22ZWs728sZuTru13juHOQ7xUnij', 'width': 3000}]",-10.3089538,123.8707916,0,0,1,0,0
