formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng
"873G+6Q4, Rendu Butowe, Aesesa Selatan, Nagekeo Regency, East Nusa Tenggara, Indonesia",Ngaba Tata Waterfall,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110925307161863787201"">A Google User</a>'], 'photo_reference': 'AUGGfZmbN1yCX_8gIlgdZ5D-tt9jNGUM51CycH3RDuElL7QMJdwvVeDQnCTjJI8-Y_lUwrWLg-CzcSK4HliVZCC9LxLfsQN-hjve0L0GFjutkuvs9dZ_ztbUWQdHe5mMLnWKRab_r7h-S9Nn9oURXuohVpBoph36x7FWbqx7jBOIxs-TWzdi', 'width': 1401}]",ChIJbaD1hziTsi0RnIuv8veyjf8,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",19.0,-8.696976099999999,121.2769483
"Labolewa, Aesesa, Nagekeo Regency, East Nusa Tenggara, Indonesia",Kawa traditional village,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100062465987879167733"">kasimirus dhoy</a>'], 'photo_reference': 'AUGGfZldCAeOqciwxFuFy47hRS6-wC2SonY3Ngh6n1Kv8Be0MtttbJVb8v9lN8Caf7ngTaix769LXr4VaBvyLeNEeWa5NywLP5ZoJ7iayE72NEWWQ7R3CrjHqOn59DLGC5JD7LK024AjQBFOa0ibtZSCH4wo2f1wMRUsx7MYIlyFji7OGnU', 'width': 1920}]",ChIJFcjRW2aTsi0R4fdYxNoIiPY,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",17.0,-8.671544299999999,121.2854834
"8689+3W8, Dhereisa, Boawae, Nagekeo Regency, East Nusa Tenggara, Indonesia",Embung Dhereisa,,ChIJ3c7mMbLtsi0RTCbNUkTnNQk,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-8.684846199999999,121.2198321
"C752+2W4, Danga, Aesesa, Nagekeo Regency, East Nusa Tenggara, Indonesia",View jalur tengah,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105068973380272925490"">A Google User</a>'], 'photo_reference': 'AUGGfZm-Sz2VHp3omspI2UaupIEFOQR28Qx2rYh0qBxS8YykTO2EGacXpyUMad73tDnGZYwHbs6ZFSyK_GQi6oI9pKyeRF6QhzIaowksLRnVzyin7qiRrw-t2vAkP9aQAJqBTutA-bH6Z2uU6JodwufjMxULuGx5uc4JxnPMsxilP2DY1PxW', 'width': 4000}]",ChIJvzLOygbzsi0REn-T8czHuJY,3.7,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-8.5924941,121.2523239
"Alorongga, Mbay I, Kabupaten Nagekeo, Nusa Tenggara Tim., Indonesia",Kali Aesesa,"[{'height': 1688, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114942818230693097520"">Patrix Djaga</a>'], 'photo_reference': 'AUGGfZllk2q0QiAK53fJbUE0qgC0n1rUYRsZ6l2dxswHIfIVooQuK2nyINw3ypGsKLR1yv6PBQJinJJq9igQ6NcbhdXHhU8KBYQ5ee28aCi_w-_ZMYmZvl8KLxPV7hbS8YCxCOGSpNC6BHioPthMXsaZrrPcqfG0GI273P5GMpNExonDzfra', 'width': 3754}]",ChIJF7T0cfOLsi0ROp6LeHV-SHM,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-8.5530526,121.2673547
"88XP+3W2, Labolewa, Aesesa, Nagekeo Regency, East Nusa Tenggara, Indonesia",Malawitu-Malaloi,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114494009490001343056"">A Google User</a>'], 'photo_reference': 'AUGGfZnI5fTqUPzFMdzLiXjCtbuYAqgEj7wFXa6Rd9sjahx-Pj1rbQGax0MlFd-7L8iLOtpfZ9DIo2Xo6EH91zAExJBOmOUHUL8bHxFX-KZF50NqvHyv_yv42nzwcQw1I6rlhK98rMt0-eApHGILo18V1ZEED7Q2e-fzKjVOzavv-DBFALU', 'width': 4160}]",ChIJ6btNoy-Tsi0RMvNmA3KY1-I,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-8.6523539,121.3372551
"98GH+X7, Ngegedhawe, Aesesa, Nagekeo Regency, East Nusa Tenggara, Indonesia",Pertigaan Roe-Ratedao.,,ChIJoYYhfACNsi0RDWVxgsfDcyc,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-8.622551,121.32815
"96RV+7R9, Nggolo Mbay, Aesesa, Nagekeo Regency, East Nusa Tenggara, Indonesia",Batu Kodok Rendu,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103925054234421712133"">Putu Pande</a>'], 'photo_reference': 'AUGGfZmpsupQN_9pZi3SXpCIw8ZILsWifJ6ms3SPl7kzFbnwG21KdrG84jOZnfWB0GxRS01JJrIVVPvmvk81AsWcHw4Lk5AY3OT8tUcxpuquto3Dh3lGX_GEstz6LEAGH-jHY404gqLSFaXIr2EUoY_Z6kgi-R98g5zIIeWxe2Wiz3iLXbbP', 'width': 1350}]",ChIJGZtj0uL1si0RU5DCUI0E8mo,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",12.0,-8.6093385,121.2446109
"F795+WC, Towak, Aesesa, Nagekeo Regency, East Nusa Tenggara, Indonesia",Kampung Adat Bare,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100211029025575165395"">A Google User</a>'], 'photo_reference': 'AUGGfZk6Noc5lKTFNS82km7VCmxvKPMvhtdO-0BJB90GI4n4zRSzDHzNrYZlxg1H43CoDwZjD0fttd3iM53OT4ERPKbXqhfmbaoCtBdMDxYMKI6AJ3rIpSek8UM79rm7254r9vpJi4lm01pA3vXAVQCRZtNyC5oZhj5lyFebcPNcI6Nmgufw', 'width': 4032}]",ChIJV7Hxufj1si0RpKiTTv_p55A,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-8.5305097,121.2587542
"754P+H3V, Ratongamobho, Boawae, Nagekeo Regency, East Nusa Tenggara, Indonesia",Kampung Ekosoza,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107091113465763852375"">Heron Dawi</a>'], 'photo_reference': 'AUGGfZlYHHY7_KnuvVDRNX0YH877UwL7QuiOIlU57GLfz_T9G_8fhEg9tH5ktjzCZ7j5rDb9vvCFEd2MAwJIvHKijHwbi2vdO7DKtWBVsIfWBoyp4Cy0jWiXB0yClCBHxwGLCMbZT-nhuQVSlYe2cc2s5x8Z5NvLmSyqpxhRRshOZWd9rnVa', 'width': 3183}]",ChIJJQhVisLrsi0RqrJWya2I2fA,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,-8.7435008,121.1851738
