formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"3QCC+5GC, Tuwiwiyan, Kumpulrejo, Kec. Bangilan, Kabupaten Tuban, Jawa Timur 62364, Indonesia",Air Terjun Tuwiwian Bangilan,"[{'height': 854, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113798286770516930564"">Muin Bekam</a>'], 'photo_reference': 'AUGGfZkquw_egKmFzkTLnw1hwXyhjn2rPdETc2RvPeKhueIzM4P9up_f8NtQ_8-Z4MAaW63Mmc4p_KsSyf2Ai3h5gIa3uJOL_qdhXadsb92YtMXxxIpNqSZltgVPaBzKBqZljNPHo3h1XHKsSllZUCtHLC4TrYGZi7dmCKXFA4j50lbPRsP9', 'width': 573}]",ChIJs_zrmPN1dy4R9aovj7gNZzk,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,-6.9295687,111.7712549,0,0,0,0,0
"3PHH+MR3, Tawuh, Kumpulrejo, Kec. Bangilan, Kabupaten Tuban, Jawa Timur 62364, Indonesia",Wisata Pohpondak Tawun,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113634428198213236109"">A Google User</a>'], 'photo_reference': 'AUGGfZmd-Nzgi7tDFrSDBvhgBgqvoumhODEcE0_LiJyvRkdZdw0jEyDesLTDmNVdO_2GXxuUxtqq0XSmupGzETrpq4Geap4q9vbEuk9PdgYedx9gZklddslkxZ7KQN8zU_AR23qlH2oWN6m9Hag1Twhmky1jj24jhzK7wBGDooPizTXK-SFf', 'width': 3264}]",ChIJac9zbjFzdy4RSW3WoP7I1uc,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-6.9208582,111.7295324,0,0,1,0,0
"Jl. St., Bangilan, Kec. Bangilan, Kabupaten Tuban, Jawa Timur 62364, Indonesia",Keramat Dopyak Bangilan,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106498396088350328242"">Keramat Dopyak</a>'], 'photo_reference': 'AUGGfZkw4kZcUJtWH30j4CO9WVJmnsypvi3z6TkqUNWQUTmf9FS8GUmqsURHPveh15fpSzVVLNmVSCMd4n8VWSRnQ9ij44JxtAzbHmgaVEc5bwtBsGq7c9CmAL6XE9hrOUI2Xi350e5_QtMLTVfYfg3YjZwRRL8doQt_ZDc97teLQs8vhq55', 'width': 4864}]",ChIJj16md1Jydy4R-EyfVD65G7A,4.2,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",105.0,-6.966140999999999,111.7099156,1,0,0,0,0
"2PX3+6FX, Mundri, Sidodadi, Kec. Bangilan, Kabupaten Tuban, Jawa Timur 62364, Indonesia",Wisata Bendungan Mundri,"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115123764932461043319"">M. Arif Chariesma</a>'], 'photo_reference': 'AUGGfZmoj-D714D8dovLNiZuaJ8hTuspBz-FGHFY5kFFc3XpAyAURGHwoOPxFXdDlKAHAFD-wXhWC-LUNftHC5lwK6k80RxM1JWp2GdcrutR1Pfmz5kZ5rdXP9yFaILw-s98Vc7AM0-542Nzkl4fK0t3G7AdIAuzaxWnMmGtk8V5XZ0TWXxW', 'width': 4618}]",ChIJvaB7jvlydy4R073rtZeqU5I,4.1,"['tourist_attraction', 'point_of_interest', 'establishment']",91.0,-6.951896899999999,111.703743,0,0,1,0,0
"2JCR+296, Bendo, Bendonglateng, Kec. Kenduruan, Kabupaten Tuban, Jawa Timur 62363, Indonesia",Air Terjun Kedung Bonjor,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100062849121370694572"">Bayu Nugroho</a>'], 'photo_reference': 'AUGGfZlGkP_B-51EIWyPOVRxw0L3NZ34yUwllY7S9_j8tN_B6VccNT3U2310YfNVXdAI9d8pOmN-K7L1JZEX6bq376GO-9iN5_ywhYReQsz-ey4sNeVD2BH8ZVIj7BCbsyP6eLvxnEDaDmW6MWYWD5dYxS790gBZKNFdvDB5IOqtWvhMlwiC', 'width': 1600}]",ChIJBzSEDMBtdy4RW7lLhvYZ3xU,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",46.0,-6.9799567,111.6408921,0,0,0,0,0
"3QV3+65R, Ndolok, Ngulahan, Kec. Tambakboyo, Kabupaten Tuban, Jawa Timur, Indonesia",Wisata terbengkalai PT pertamina,,ChIJ_wxFEQANdy4REEUpYu1HDOM,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-6.9068774,111.7528787,0,0,1,0,0
"2RP4+C64, Krawak, Singgahan, Krajan, Guwoterus, Kec. Montong, Kabupaten Tuban, Jawa Timur 62361, Indonesia",Sumber Mata Air Krawak,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109432852255237159217"">Taufik Jatmiko</a>'], 'photo_reference': 'AUGGfZmz2Xd0H-W6TQoQJs6udQQfe59FE5r7hK9CCHvpjhp-R5xKXirFIZ1Gqfx3r18TzTaHhrvuQzS6ue8DSs-tJUZwQoXuX8zReNv4vXCXxDNBXKvMcNJAH_fHRiJ_BpJ1NPzCY44u4ZxxXVLaZdxBZMJKmWNi_AFNdBjAQtSsz3Qe3-9w', 'width': 3264}]",ChIJaYWnrU10dy4RvJlW83XCSkU,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",643.0,-6.9639878,111.805567,0,0,0,0,0
"3M49+PH7, Karanggeneng, Sidorejo, Kec. Kenduruan, Kabupaten Tuban, Jawa Timur 62363, Indonesia",Wisata Goa NGGUWO,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107194092628749277187"">A Google User</a>'], 'photo_reference': 'AUGGfZmM_ZVYOzJo5KNW6yeHdB7aBsEh4YqQh7JzztSAZAky6AzCjFVYBJGN5zF8SluNojIIZN5672XBZA18LOrn8HJR_-hTjR_hYZMS3eyHB6UX1mZKCdlpjQJp7sg4A4TBVefeUt5xLz-nDWpXzkHPQDuqGoqrDLkI_PWPD1S15kyH56y1', 'width': 720}]",ChIJ4U9uXklzdy4RyHIoCGViZbA,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-6.943219099999999,111.6689212,0,0,1,0,0
"3Q3R+4G6, Logong, Mulyoagung, Kec. Singgahan, Kabupaten Tuban, Jawa Timur, Indonesia",Bukit batu baki,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101208667598341844689"">Ahmad Ali ahfa</a>'], 'photo_reference': 'AUGGfZkNelN03ILNsr_UX2XuBHSBkwBFGsO62lMYcL53wTZg1hmvqd-z9H_f-dvRJ7yxpb9MHGfq0aMI4PMW6Re6e2jy8837J4Slz72JxqafhIefTCxWXqbPzzvG21hN3nA3r4j6EX1k_avxPGdEqgasoTR6vXq6gIv3prXH-QJbAFa-vQoc', 'width': 3468}]",ChIJi2LAfQB1dy4R0FUhc_2mq3g,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-6.9472052,111.7912764,0,1,0,0,0
"Jl. Raya Mulyoagung, Sawah, Mulyoagung, Kec. Singgahan, Kabupaten Tuban, Jawa Timur 62361, Indonesia",Nglirip Waterfall,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107175558614124247596"">Yuli. Kurniasari</a>'], 'photo_reference': 'AUGGfZn9WC3MJ3Mi49qjZzLO2ureyQVsmf9cMCamx7q1fLIBwfJl60eFFSrKWdoJMj3uY_9haZAnqfiYdiGjt6c2Efvd2VpAXG4vag4jU6T72OjaxyaIuLIBw7naJkkKwVqaNxrP_In1_8ys_7pJIBbf5_jT4gT29wzPo1G3NkMAxmVx2h0K', 'width': 3024}]",ChIJ4ZjL80Z0dy4RaHnwdVlJGL8,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",3356.0,-6.968348499999999,111.7939863,0,0,0,0,0
"Kaligede, Senori, Tuban Regency, East Java 62365, Indonesia",Krapaan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110547863375969981828"">karrelparadipta@rocketmail.com</a>'], 'photo_reference': 'AUGGfZkjX42EC3UxhoWRIh7CFNCJ-ahtJQVK6kSTbBDRPhCcd66ZwpArp3Qj1J-FmWoZbKVmNq1UMKL4kgHbGyTeoQHoDF-ornDoGmwMtDFbnKApCnS3lqWg6ROTl4m4_Erjks4PuTuveOzosepC_qhtN5p2zAg-5739E-OIir77yMh02IFn', 'width': 4160}]",ChIJeaKA96lxdy4RzN9M7hDP-HQ,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",46.0,-7.0322806,111.6934162,0,0,0,0,0
"3MW9+RF, Purung, Sidomulyo, Kec. Jatirogo, Kabupaten Tuban, Jawa Timur, Indonesia",Sumber anget Gunung Purung,,ChIJGbgn7KANdy4RUaaZFjKv6vg,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-6.902889,111.668639,0,1,0,0,0
"XRV4+74X, Nganget, Kedungjambe, Kec. Singgahan, Kabupaten Tuban, Jawa Timur 62361, Indonesia",Thermal Baths Nganget Kedungjambe,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112309978262908334071"">Eko Wahyu</a>'], 'photo_reference': 'AUGGfZm_N2qaeUarMaVPplW5T77GAfGRR1FYmNvrTI5zVJopF_kj-og-xFT0SRp6eN2TFeb61SoWK-14kyhm3LdE05c7JR7gvdkEMA7XGSv3yvVVnZoPFZ_6XVm5lX5EfVI_Eoh-mUYBE3A0smbZjsa1XGouMlQupgi20PHrobrZVZho-uo', 'width': 1920}]",ChIJv7oIY4l2dy4RqzCNi0Spb6k,4.3,"['tourist_attraction', 'spa', 'point_of_interest', 'establishment']",259.0,-7.0067663,111.8053943,0,0,0,0,0
"Sawah, Tingkis, Singgahan, Tuban Regency, East Java 62361, Indonesia","Tingkis ""Batu Van Tuban""","[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101598300950068562830"">Sigit Purnomo</a>'], 'photo_reference': 'AUGGfZmmrihmYjOycgNS30lCmjqVj5vyIJ5fathM3dgKcmoMcbMZy2BjA0zmJ6NQERxOciUJ-9wDDtvAy4Vtbxlr9Go8h0uX8INwo3pRNkJEp5SyZWYoKaiioh3bV98B9IMX6M0bn4e3w4TlKiPvieFMyhaaH7Tm2tQzuu_w7xDcBBqYDXhe', 'width': 4000}]",ChIJAcNdZad1dy4RzJKBnp_-hgc,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",89.0,-6.9691785,111.7939618,0,0,0,0,0
"4M46+8J9, Sumber, Sugihan, Kec. Jatirogo, Kabupaten Tuban, Jawa Timur 62362, Indonesia",Pemancingan Mubarhok Sumber,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113456458747899257935"">A Google User</a>'], 'photo_reference': 'AUGGfZkNwu5kIdOCyeDT1irrvvQL0HU2wK9Fcmf8Zio5-Om_x-uDKgfXlVS-WYQauaYtrXTc4OVI1tux6DfLgOWiGcdMH80BF5lKGb6fcbxvI-Ydbg2EFoWxF8QL4XTjXP7IGyxbmGpCWyrB-0IMjf6n0qmAgVRyXZqx6Dxrbu40pLQ52XYz', 'width': 1080}]",ChIJiTKyWVYTdy4R4uksyQspWnQ,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,-6.894345,111.6626133,0,0,0,0,0
"WPW3+28P, Jangur, Banyuurip, Kec. Senori, Kabupaten Tuban, Jawa Timur 62365, Indonesia",Sumur/belik Gempol,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104889148377851934883"">A Google User</a>'], 'photo_reference': 'AUGGfZlgfOi7-BnEl-6BZawGgv7szRvQQcivFRki-1Kv5-apIfQdmGReUyG9xZVNZ_Sl8gcyY1vtiv1LOdQnVtQB1lR-EDBm_pV3-y4em4RpBTVyaZzm6tnoLiJsmQRU7MtXSHLdvmT4AW-3UupXU009H0ma2x_L7_zDg41OPPcYOa9IAXA3', 'width': 4160}]",ChIJD60IT8Bxdy4R2Vlpes2WCiM,3.8,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,-7.0549179,111.7033236,0,0,0,0,0
"4Q8F+HHM, Ndolok, Ngulahan, Kec. Tambakboyo, Kabupaten Tuban, Jawa Timur 62352, Indonesia",Air Terjun Gajahan,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101564958639832616764"">A Google User</a>'], 'photo_reference': 'AUGGfZkngYbvBhbz2IyD_xLitZ-uSchwqLbVuXomE7cHsjujTQ7A5hbYUCGAaCJ7-Cyr0Osz8DvYFpDv8vXw8avML1dMhcThR9O_T4IJzzuvg7lBhMc4SXLIdqMaWjoAaOb7XmPnmKfYSd8J3G6DiN8Q6q2y_QvIkBgUm8c6cAZp0GqqHWqY', 'width': 1536}]",ChIJFzN-8W8Ldy4RamQE8QgOVRQ,3.7,"['tourist_attraction', 'point_of_interest', 'establishment']",30.0,-6.883530899999999,111.7739371,0,0,0,0,0
"3MX8+8V3, Unnamed Road, Purung, Sidomulyo, Kec. Jatirogo, Kabupaten Tuban, Jawa Timur 62362, Indonesia",Gunung Purung,,ChIJEzp7UI4Ndy4RuawRYM_vupU,2.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-6.9017253,111.6671754,0,1,0,0,0
"2RM5+4P, Sawah, Tingkis, Kec. Singgahan, Kabupaten Tuban, Jawa Timur, Indonesia",Bukit kasturi,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101208667598341844689"">Ahmad Ali ahfa</a>'], 'photo_reference': 'AUGGfZkmuL4C0KY_2ERejX5fYaLEPD4vpPH-9H_y_IARV23LPvKDlLAon20fdz8KvruHCpToLj9pSBirzPcwXtZIOK74yyKaCOKbxAVIVzseRZ4VYpEByfvat2gHujckBpHrWu5UX2EtEltsdNMesOtEZ-6Gp_H-UYaRZ6L9UtJW_n3faDC0', 'width': 3468}]",ChIJEYZkCQB1dy4RlnDYqkKwOkI,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-6.9672063,111.8092799,0,1,0,0,0
"XRC3+29J, Jl. A. Yani, Batu Rejo, Ngawun, Kec. Parengan, Kabupaten Tuban, Jawa Timur 62366, Indonesia",Rest area,"[{'height': 2176, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118445337921561704933"">baimhuha Apriananta</a>'], 'photo_reference': 'AUGGfZl8_KZXcZlhPc7VJG4KIXqBHsYS9gdMJGPKl7nYveoOQ0ib9g-nWFuUqCZ0qXkhbEEqwk0-KymTj59YR2kpbWfyZ94F6BY9WJKVIPTCuzMIGdcSesKOSSb33DSAFOsa5HmxaWh8h_63_aaQ0Y-6fbmG_8jAfQmNxyRlMuSANanvJJM0', 'width': 4608}]",ChIJSS-7Ssl3dy4RmBGp8vb8Dwc,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",39.0,-7.029922699999999,111.8033928,0,0,0,0,0
"2R53+F22, Dusun Trembul, Mulyorejo, Kec. Singgahan, Kabupaten Tuban, Jawa Timur 62361, Indonesia",Sumber Mata Air Trembul,"[{'height': 1792, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108697294122580579391"">akhmad sidiq</a>'], 'photo_reference': 'AUGGfZnY-rG5gTVgCY2NlSgkR6JWHqFi3g1QXYLaCRjCYTLWuL0JmmcB6yd2brkK3SnxRqY_EVRsWdaTZc9v4Jw8VKfxGGTSy0Kcy08elh831EO7-_ZIZpdjPvb6hDALCd6ZYwIcTft5FK3HwLfj9hiTPMchZCP7ukPDm4nswsvqrrnsmUbq', 'width': 3472}]",ChIJuToP8Cl0dy4RdFevmvWLzIo,4.1,"['tourist_attraction', 'point_of_interest', 'establishment']",36.0,-6.9913547,111.8025103,0,0,0,0,0
"Prantaan, Wukirharjo, Parengan, Tuban Regency, East Java 62366, Indonesia",Wana Wisata Prataan,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102422640577852834848"">Hizwa Naufal</a>'], 'photo_reference': 'AUGGfZlQfUNNqT18TtiUOnYs4xS-cA686CruDZKXIaLBf7iy_QnDAjNpJAsR9eowKVMFRs-jkYXBATNmxwU2HXqqDudImGvxNRB-FA1FiMMStlaq9P4YxG6i-n_DGxSM9y_wcvdBjsd3fDXUc3o4uP-YWMZUCQUl5nELnA44fkT2rQlJ3Wfq', 'width': 3264}]",ChIJ6YkD-H2ddy4RWcL9pEy66RQ,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1404.0,-7.035890299999999,111.8558125,0,0,1,0,0
"XQHW+JRV, Krajan, Kedungjambe, Kec. Singgahan, Kabupaten Tuban, Jawa Timur 62361, Indonesia",Sendang Mejiret,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114291995440233303036"">ricky ortuansyah</a>'], 'photo_reference': 'AUGGfZlIplnfsb6xd3mmhQRWTEubD1oWn-4g2Tb_bGMu3opX-1U3CA1kjXTXZiBQKz79ZcbQuBMkBl3eRQKnEFNHKLe0vZotZfdemahME4Xax4ag2OF5JwDFTof2VxaKfz97MOb0nFXsLq6rynaER3XjC4sMR7pz_symHouezZ3Ehfopa3vE', 'width': 4000}]",ChIJHbFOt6B3dy4RxkOsMmUtctY,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-7.0208843,111.7970617,0,0,0,0,0
"2RMQ+82J, Hutan, Nguluhan, Kec. Montong, Kabupaten Tuban, Jawa Timur 62357, Indonesia",Gua Putri Asih,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116822741874883831079"">A Google User</a>'], 'photo_reference': 'AUGGfZm00lNoar9kcv21rrCyVoemSK4yma2-mgF8xTHIN1WruTAI1Ezn81bMqqRKQ0XLrMXdZkGBo3aUuepQ_X97_aoN_uslGXBVCkgOF0ecDzyIh46fTgq4RtnLIg2dlvmkOhd80uSBzJ3_x24WT3fpm3xO0Gio4496TTn6Ytuoei0jiBqB', 'width': 1280}]",ChIJWZwGapR1dy4RZLjPdaDrFvs,4.1,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",90.0,-6.9666742,111.8375044,1,0,0,0,0
"WPXG+J4G, Lanjam, Sidoharjo, Kec. Senori, Kabupaten Tuban, Jawa Timur 62365, Indonesia",Makam Mbah Demang Sungkono diningrat,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104027140347250784881"">A Google User</a>'], 'photo_reference': 'AUGGfZmEklXsdJoI-20M52WwLK-158vBTIluosAJjaD-eWFw2fHunnnqu67FKWfHgbOBQ-jG9nyY7SDWkloprj12N4XzVcPVoFCsjelARvc1_Q1sF3O9yMzezRL9xlMMYTu5fV6rgH9mK-lpJWNMjsMX4PZQv7A-YNeo1HCFsVMU97WmwJ0z', 'width': 1952}]",ChIJr6vYV0Vxdy4RsGCDXfsHXD8,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-7.050943699999999,111.7253143,0,0,0,0,0
"Jl. Raya Barat No.18, Sadang, Kec. Jatirogo, Kabupaten Tuban, Jawa Timur 62362, Indonesia",Difor (Wisata Discover of Forest),"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103853303370015051702"">Ita Purnamasari</a>'], 'photo_reference': 'AUGGfZmfo7UyoUe7U3HM8FC5uFc8dt9Bpj3eSoqL6VukGQmfYTy0FffW0TlMIUVvqabTEZ62y3EMa4nY3E_pv5Z18I-eI7coF1wJfjvwsk-05e8RFA1Dk6bgxArzJET8Q0XQBJUE6RlaeRTdFBKcLxtKPxXBHfboioki356pEkle6lcd8OVg', 'width': 3264}]",ChIJda3bKz8Tdy4RX-Mc3LdlW_8,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",87.0,-6.8819056,111.6538175,0,0,1,0,0
"Galoh, Kedungjambe, Singgahan, Tuban Regency, East Java 62361, Indonesia",DUSUN GALOH,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105726354972435414558"">A Google User</a>'], 'photo_reference': 'AUGGfZlh8udFPCqHoc-XsUma0ofAX-rWptZTcXCWL5F2iIqJjVpiZEMn0HWPyodMpPDZe4q3qhcUWgYSaalfshp9BOtob_WPu7R5Cp6VGMWu-qbi0k1GbE49HYEziGA5FxszTbq9P4-qUk1vqnnmRMisNzxSTftH_C43uVGwxwB1sUovL90', 'width': 1080}]",ChIJ18bTumJ3dy4R_m6UoEfqBiU,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-7.017941299999999,111.8130031,0,0,0,0,0
"4RC2+VH8, Gemulung, Kec. Kerek, Kabupaten Tuban, Jawa Timur, Indonesia",Goa lowo,,ChIJ41STSy8Ldy4RD3P_57Y3ZXo,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,-6.8778253,111.8014418,0,0,0,0,0
"5P7H+JW3, Ngolahan, Jatisari, Kec. Bancar, Kabupaten Tuban, Jawa Timur 62354, Indonesia",PT.phospat Mukti Sahit,,ChIJ05l8HbcNdy4RkgcqtxqyZuE,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-6.8359795,111.7297943,0,0,0,0,0
"XQRV+9JR, RT.01/RW.02, Krajan, Kedungjambe, Kec. Singgahan, Kabupaten Tuban, Jawa Timur, Indonesia",Kolam Pancing pangeran,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111434317405933632314"">BIMA inside</a>'], 'photo_reference': 'AUGGfZmfS5YcYr87NbM_mm1n4WqqkkyLec4BtOAT7w7dUtpGZwavQiQHQvVBm_7iDEWOx02k16h8xNBnWlS8ua1N3FeafQ730okx6ZvPZLC9LA6QXJV4m4yN88uplktOzW5Ff4ncUIEPq7C-ieQUeMvxjkm5NBP3MR24dMryoghNltIqK9Y', 'width': 528}]",ChIJG4fcqq53dy4R6c8rtKaq4q4,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-7.0090215,111.7940093,0,0,0,0,0
"2Q3X+HWF, Dusun Trembul, Mulyorejo, Kec. Singgahan, Kabupaten Tuban, Jawa Timur 62361, Indonesia",Agrie Rice Terrace,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116001092890728761745"">agus satriyono</a>'], 'photo_reference': 'AUGGfZn4AJedCmLRMk2ryVS8GKDy79nA_MovcoorkYlRkBtikn7QlGUKDRkQYRAJn92TzUvFZ3Ux-iqXXUHnOUmC4oBbKnhxoFPlF6txXXSUQB-p6elI9ku-f4ha2XctxzksY5H_vdz5tXzVy1_kZC2abop52M9y52KU84dydC2iprL0hqhx', 'width': 4000}]",ChIJS95wc4N2dy4RjkWFQeyQpwk,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,-6.9960518,111.7997894,0,0,0,0,0
"WMPW+3XR, Unnamed Road, Banyuurip, Kec. Senori, Kabupaten Tuban, Jawa Timur 62365, Indonesia",BUPER & WISATA kampung londo,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108489945667093047697"">A Google User</a>'], 'photo_reference': 'AUGGfZlgqf0qmWF5smSKv5Sc-xAvRNxmLlt1UvGrjqkGDTgQddJZfV80KZzt1FCLIIMCFb_dChCwy9bEJP88XiYGT1ErqrFtEqnCi47rsigW7hKa0Qx1RzHo2JB9O2b5QK1FVCs01F3J5C9y_H39QOxeR3qCa6ONieJ92KbGftJo7U8oGo4', 'width': 2604}]",ChIJS7NT6wFxdy4RTElMEyde2hE,3.6,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,-7.0647715,111.6973962,0,0,1,0,0
